38.158.0.0,38.158.31.255,isp,CA,AS18988 
38.158.32.0,38.158.63.255,isp,US,AS33647 
38.158.64.0,38.158.79.255,isp,US,AS398052 
38.158.80.0,38.158.81.255,isp,DO,AS174 
38.158.82.0,38.158.83.255,isp,PE,AS272838 
38.158.84.0,38.158.87.255,isp,EC,AS174 
38.158.88.0,38.158.91.255,business,AR,AS174 
38.158.92.0,38.158.95.255,isp,DO,AS272867 
38.158.96.0,38.158.127.255,business,AR,AS174 
38.158.128.0,38.158.131.255,isp,US,AS174 
38.158.132.0,38.158.133.255,isp,US,AS13693 
38.158.134.0,38.158.149.255,isp,US,AS174 
38.158.150.0,38.158.150.255,isp,US,AS13693 
38.158.151.0,38.158.151.255,isp,US,AS174 
38.158.152.0,38.158.171.255,isp,US,AS13693 
38.158.172.0,38.158.175.255,isp,US,AS174 
38.158.176.0,38.158.178.255,isp,US,AS13693 
38.158.179.0,38.158.179.255,isp,US,AS174 
38.158.180.0,38.158.183.255,isp,US,AS13693 
38.158.184.0,38.158.191.255,isp,US,AS174 
38.158.192.0,38.158.199.255,hosting,US,AS394911 
38.158.200.0,38.158.201.255,business,DO,AS174 
38.158.202.0,38.158.203.255,isp,MX,AS28447 
38.158.204.0,38.158.207.255,isp,MM,AS174 
38.158.208.0,38.158.223.255,hosting,PR,AS6208 
38.158.224.0,38.158.231.255,isp,US,AS397422 
38.158.232.0,38.158.235.255,business,PE,AS174 
38.158.236.0,38.158.239.255,isp,PR,AS36435 
38.158.240.0,38.158.243.255,isp,US,AS21683 
38.158.244.0,38.158.245.255,isp,MX,AS174 
38.158.246.0,38.158.246.255,business,AZ,AS174 
38.158.247.0,38.158.247.255,business,BR,AS174 
38.158.248.0,38.158.251.255,isp,US,AS174 
38.158.252.0,38.158.255.255,isp,MM,AS150692 
