38.137.0.0,38.137.63.255,isp,IN,AS133661 
38.137.64.0,38.137.95.255,isp,US,AS40128 
38.137.96.0,38.137.127.255,isp,US,AS55140 
38.137.128.0,38.137.159.255,business,US,AS174 
38.137.160.0,38.137.163.255,business,BR,AS267034 
38.137.164.0,38.137.167.255,isp,BR,AS273782 
38.137.168.0,38.137.175.255,isp,ES,AS58327 
38.137.176.0,38.137.179.255,isp,VE,AS273155 
38.137.180.0,38.137.183.255,isp,VE,AS174 
38.137.184.0,38.137.191.255,isp,BR,AS262474 
38.137.192.0,38.137.223.255,business,PE,AS174 
38.137.224.0,38.137.231.255,isp,US,AS18519 
38.137.232.0,38.137.235.255,isp,VE,AS174 
38.137.236.0,38.137.239.255,isp,VE,AS269928 
38.137.240.0,38.137.247.255,isp,VE,AS174 
38.137.248.0,38.137.251.255,isp,UA,AS50115 
38.137.252.0,38.137.255.255,isp,MX,AS174 
