173.252.0.0,173.252.63.255,isp,CA 
173.252.64.0,173.252.127.255,business,US 
173.252.128.0,173.252.129.255,hosting,US 
173.252.130.0,173.252.130.47,isp,US 
173.252.130.48,173.252.130.63,hosting,US 
173.252.130.64,173.252.130.127,business,US 
173.252.130.128,173.252.130.255,hosting,US 
173.252.131.0,173.252.131.15,business,US 
173.252.131.16,173.252.131.255,hosting,US 
173.252.132.0,173.252.132.63,education,US 
173.252.132.64,173.252.132.127,isp,US 
173.252.132.128,173.252.132.135,hosting,US 
173.252.132.136,173.252.132.143,isp,US 
173.252.132.144,173.252.132.159,hosting,US 
173.252.132.160,173.252.132.191,isp,US 
173.252.132.192,173.252.133.15,hosting,US 
173.252.133.16,173.252.133.23,isp,US 
173.252.133.24,173.252.133.79,hosting,US 
173.252.133.80,173.252.133.87,isp,US 
173.252.133.88,173.252.134.255,hosting,US 
173.252.135.0,173.252.135.15,isp,US 
173.252.135.16,173.252.135.31,hosting,US 
173.252.135.32,173.252.135.39,isp,US 
173.252.135.40,173.252.135.47,hosting,US 
173.252.135.48,173.252.135.127,isp,US 
173.252.135.128,173.252.135.143,hosting,US 
173.252.135.144,173.252.135.151,isp,US 
173.252.135.152,173.252.135.155,hosting,US 
173.252.135.156,173.252.135.159,isp,US 
173.252.135.160,173.252.135.223,hosting,US 
173.252.135.224,173.252.135.247,isp,US 
173.252.135.248,173.252.137.151,hosting,US 
173.252.137.152,173.252.137.167,isp,US 
173.252.137.168,173.252.137.183,hosting,US 
173.252.137.184,173.252.137.191,isp,US 
173.252.137.192,173.252.138.31,hosting,US 
173.252.138.32,173.252.138.55,isp,US 
173.252.138.56,173.252.138.63,business,US 
173.252.138.64,173.252.138.103,isp,US 
173.252.138.104,173.252.138.111,business,US 
173.252.138.112,173.252.138.255,isp,US 
173.252.139.0,173.252.139.111,hosting,US 
173.252.139.112,173.252.139.127,isp,US 
173.252.139.128,173.252.141.127,hosting,US 
173.252.141.128,173.252.141.143,isp,US 
173.252.141.144,173.252.141.151,hosting,US 
173.252.141.152,173.252.141.191,business,US 
173.252.141.192,173.252.141.207,isp,US 
173.252.141.208,173.252.141.223,business,US 
173.252.141.224,173.252.142.23,isp,US 
173.252.142.24,173.252.142.31,business,US 
173.252.142.32,173.252.142.47,hosting,US 
173.252.142.48,173.252.142.63,business,US 
173.252.142.64,173.252.142.95,hosting,US 
173.252.142.96,173.252.142.143,business,US 
173.252.142.144,173.252.142.191,isp,US 
173.252.142.192,173.252.142.239,business,US 
173.252.142.240,173.252.142.255,hosting,US 
173.252.143.0,173.252.144.255,business,US 
173.252.145.0,173.252.145.127,isp,US 
173.252.145.128,173.252.145.159,business,CA 
173.252.145.160,173.252.145.255,isp,US 
173.252.146.0,173.252.147.255,hosting,US 
173.252.148.0,173.252.148.143,business,US 
