194.127.0.0,194.127.95.255,hosting,DE,AS15580 
194.127.96.0,194.127.96.255,business,DE,AS3209 
194.127.97.0,194.127.97.255,isp,PL,AS50606 
194.127.98.0,194.127.99.255,hosting,FR,AS212238 
194.127.100.0,194.127.100.255,isp,SK,AS29148 
194.127.101.0,194.127.101.255,business,DE, 
194.127.102.0,194.127.103.255,business,DE,AS9145 
194.127.104.0,194.127.105.255,isp,AU,AS133206 
194.127.106.0,194.127.106.255,isp,SK,AS29148 
194.127.107.0,194.127.107.255,business,DE,AS3320 
194.127.108.0,194.127.108.255,business,IQ,AS208324 
194.127.109.0,194.127.109.255,isp,IQ,AS206471 
194.127.110.0,194.127.110.255,business,IQ,AS208324 
194.127.111.0,194.127.111.255,business,IQ, 
194.127.112.0,194.127.115.255,isp,RU,AS51522 
194.127.116.0,194.127.118.255,business,TR,AS47952 
194.127.119.0,194.127.119.255,business,TR, 
194.127.120.0,194.127.121.255,business,DE,AS3320 
194.127.122.0,194.127.122.255,business,DE,AS8767 
194.127.123.0,194.127.128.255,business,DE, 
194.127.129.0,194.127.129.255,isp,SK,AS29148 
194.127.130.0,194.127.131.255,isp,SE,AS28954 
194.127.132.0,194.127.133.255,business,DE,AS43623 
194.127.134.0,194.127.134.255,business,DE,AS3320 
194.127.135.0,194.127.135.255,isp,SK,AS29148 
194.127.136.0,194.127.136.255,business,PL,AS5617 
194.127.137.0,194.127.137.255,hosting,IQ,AS211841 
194.127.138.0,194.127.138.255,business,DE,AS48545 
194.127.139.0,194.127.139.255,hosting,AT,AS43916 
194.127.140.0,194.127.151.255,business,DE,AS8881 
194.127.152.0,194.127.153.255,isp,SE,AS28954 
194.127.154.0,194.127.155.255,business,DE, 
194.127.156.0,194.127.156.255,business,DE,AS207793 
194.127.157.0,194.127.157.255,business,DE,AS8426 
194.127.158.0,194.127.159.255,isp,ES,AS57910 
194.127.160.0,194.127.160.255,business,DE,AS207793 
194.127.161.0,194.127.161.255,business,DE, 
194.127.162.0,194.127.163.255,isp,ES,AS57910 
194.127.164.0,194.127.164.255,business,EE,AS3214 
194.127.165.0,194.127.166.255,hosting,GB,AS47553 
194.127.167.0,194.127.167.255,hosting,EE,AS43357 
194.127.168.0,194.127.169.255,business,DE,AS3320 
194.127.170.0,194.127.170.255,business,DE,AS207793 
194.127.171.0,194.127.171.255,hosting,DE,AS16277 
194.127.172.0,194.127.172.141,hosting,NL,AS62240 
194.127.172.142,194.127.172.143,hosting,GB,AS62240 
194.127.172.144,194.127.172.255,hosting,NL,AS62240 
