194.223.0.0,194.223.95.255,isp,AU 
194.223.96.0,194.223.127.255,isp,JP 
194.223.128.0,194.223.130.23,isp,SG 
194.223.130.24,194.223.130.31,business,SG 
194.223.130.32,194.223.130.63,isp,SG 
194.223.130.64,194.223.130.95,business,SG 
194.223.130.96,194.223.130.127,isp,SG 
194.223.130.128,194.223.130.143,business,SG 
194.223.130.144,194.223.130.199,isp,SG 
194.223.130.200,194.223.130.207,business,SG 
194.223.130.208,194.223.130.208,isp,SG 
194.223.130.209,194.223.130.222,business,SG 
194.223.130.223,194.223.130.223,isp,SG 
194.223.130.224,194.223.130.231,business,SG 
194.223.130.232,194.223.130.239,isp,SG 
194.223.130.240,194.223.131.15,business,SG 
194.223.131.16,194.223.131.23,isp,SG 
194.223.131.24,194.223.131.47,business,SG 
194.223.131.48,194.223.131.79,isp,SG 
194.223.131.80,194.223.131.95,business,SG 
194.223.131.96,194.223.131.127,isp,SG 
194.223.131.128,194.223.131.135,business,SG 
194.223.131.136,194.223.131.136,isp,SG 
194.223.131.137,194.223.131.142,business,SG 
194.223.131.143,194.223.131.191,isp,SG 
194.223.131.192,194.223.131.207,business,SG 
194.223.131.208,194.223.131.215,isp,SG 
194.223.131.216,194.223.131.223,business,SG 
194.223.131.224,194.223.131.255,isp,SG 
194.223.132.0,194.223.132.7,business,SG 
194.223.132.8,194.223.132.15,business,US 
194.223.132.16,194.223.132.39,isp,SG 
194.223.132.40,194.223.132.55,business,SG 
194.223.132.56,194.223.132.63,isp,SG 
194.223.132.64,194.223.132.95,business,SG 
194.223.132.96,194.223.132.143,isp,SG 
194.223.132.144,194.223.132.159,business,SG 
194.223.132.160,194.223.132.255,isp,SG 
194.223.133.0,194.223.133.7,business,SG 
194.223.133.8,194.223.133.15,isp,SG 
194.223.133.16,194.223.133.38,business,SG 
194.223.133.39,194.223.133.63,isp,SG 
194.223.133.64,194.223.133.71,isp,GB 
194.223.133.72,194.223.133.79,isp,SG 
194.223.133.80,194.223.133.119,business,SG 
194.223.133.120,194.223.133.135,isp,SG 
194.223.133.136,194.223.133.143,business,SG 
194.223.133.144,194.223.133.183,isp,SG 
194.223.133.184,194.223.133.191,business,SG 
194.223.133.192,194.223.133.199,isp,SG 
194.223.133.200,194.223.133.223,business,SG 
194.223.133.224,194.223.133.239,isp,SG 
194.223.133.240,194.223.134.15,business,SG 
194.223.134.16,194.223.134.39,isp,SG 
194.223.134.40,194.223.134.47,business,SG 
194.223.134.48,194.223.134.55,isp,SG 
194.223.134.56,194.223.134.71,business,SG 
194.223.134.72,194.223.134.79,isp,SG 
194.223.134.80,194.223.134.96,business,SG 
194.223.134.97,194.223.134.175,isp,SG 
194.223.134.176,194.223.134.183,business,SG 
194.223.134.184,194.223.134.191,isp,SG 
194.223.134.192,194.223.134.207,business,SG 
194.223.134.208,194.223.134.223,isp,SG 
194.223.134.224,194.223.134.231,business,SG 
194.223.134.232,194.223.134.239,isp,SG 
194.223.134.240,194.223.134.247,business,SG 
194.223.134.248,194.223.134.255,isp,SG 
194.223.135.0,194.223.135.15,business,SG 
