194.145.0.0,194.145.15.255,business,DE,AS14340 
194.145.16.0,194.145.31.255,hosting,DE,AS14340 
194.145.32.0,194.145.52.255,business,FI,AS16086 
194.145.53.0,194.145.58.255,hosting,FR,AS8723 
194.145.59.0,194.145.62.255,business,DE, 
194.145.63.0,194.145.63.255,hosting,BG,AS8860 
194.145.64.0,194.145.95.255,business,DE,AS8735 
194.145.96.0,194.145.111.255,education,PL,AS8766 
194.145.112.0,194.145.113.255,business,FR, 
194.145.114.0,194.145.114.255,hosting,DE,AS25220 
194.145.115.0,194.145.115.255,isp,GB,AS204316 
194.145.116.0,194.145.116.255,isp,DE,AS39063 
194.145.117.0,194.145.117.255,isp,US,AS53856 
194.145.118.0,194.145.118.255,business,US, 
194.145.119.0,194.145.119.255,hosting,IR,AS42337 
194.145.120.0,194.145.120.255,business,RO, 
194.145.121.0,194.145.121.255,business,PT,AS9118 
194.145.122.0,194.145.124.255,hosting,DE,AS9182 
194.145.125.0,194.145.125.255,isp,DE,AS39063 
194.145.126.0,194.145.126.255,hosting,GB,AS48210 
194.145.127.0,194.145.127.255,hosting,BE,AS39923 
194.145.128.0,194.145.135.255,hosting,IE,AS2110 
194.145.136.0,194.145.136.255,isp,TR,AS206119 
194.145.137.0,194.145.137.255,isp,TR,AS209007 
194.145.138.0,194.145.138.255,hosting,TR,AS201086 
194.145.139.0,194.145.139.255,isp,TR,AS212905 
194.145.140.0,194.145.141.255,isp,ES,AS6750 
194.145.142.0,194.145.143.255,hosting,US,AS57878 
194.145.144.0,194.145.144.255,business,FR, 
194.145.145.0,194.145.145.255,business,SE, 
194.145.146.0,194.145.146.255,business,DE,AS12316 
194.145.147.0,194.145.147.255,business,RU,AS48030 
194.145.148.0,194.145.149.255,isp,GB, 
194.145.150.0,194.145.151.255,hosting,DE,AS12817 
194.145.152.0,194.145.152.255,hosting,BE,AS39923 
194.145.153.0,194.145.153.255,business,RS,AS34131 
194.145.154.0,194.145.154.255,business,FR, 
194.145.155.0,194.145.155.255,hosting,BE,AS39923 
194.145.156.0,194.145.156.255,business,CZ,AS29208 
194.145.157.0,194.145.157.255,business,CH,AS6730 
194.145.158.0,194.145.158.255,business,RU,AS12686 
194.145.159.0,194.145.159.255,business,RO,AS34176 
194.145.160.0,194.145.163.255,isp,BG, 
194.145.164.0,194.145.167.255,isp,SE,AS42708 
194.145.168.0,194.145.171.255,business,RU,AS25073 
194.145.172.0,194.145.175.255,business,SE,AS29518 
194.145.176.0,194.145.179.255,business,AT,AS33917 
194.145.180.0,194.145.183.255,hosting,CZ,AS24971 
194.145.184.0,194.145.187.255,isp,PL,AS33923 
194.145.188.0,194.145.191.255,hosting,GB,AS33920 
194.145.192.0,194.145.193.255,business,DE, 
194.145.194.0,194.145.195.255,isp,NL, 
194.145.196.0,194.145.197.255,hosting,US,AS57878 
194.145.198.0,194.145.199.255,isp,UA,AS34715 
194.145.200.0,194.145.201.255,hosting,NL,AS29028 
194.145.202.0,194.145.202.255,business,PL,AS204453 
194.145.203.0,194.145.203.255,business,UA,AS41656 
194.145.204.0,194.145.205.255,business,PL, 
194.145.206.0,194.145.207.255,hosting,SK,AS57547 
194.145.208.0,194.145.209.255,hosting,NL,AS200514 
194.145.210.0,194.145.213.255,business,FR, 
194.145.214.0,194.145.215.255,isp,UA,AS34792 
194.145.216.0,194.145.217.255,isp,RU,AS34786 
194.145.218.0,194.145.219.255,business,DE,AS8881 
194.145.220.0,194.145.221.255,isp,FR,AS41737 
194.145.222.0,194.145.223.255,business,GB,AS3257 
194.145.224.0,194.145.224.255,hosting,DE,AS29014 
194.145.225.0,194.145.225.255,business,PL,AS200822 
194.145.226.0,194.145.226.255,hosting,DE,AS45012 
194.145.227.0,194.145.227.255,hosting,UA,AS48693 
194.145.228.0,194.145.228.255,hosting,PL,AS15694 
194.145.229.0,194.145.229.255,hosting,PL,AS34212 
194.145.230.0,194.145.230.255,hosting,DE,AS208614 
194.145.231.0,194.145.231.255,business,IT,AS5394 
194.145.232.0,194.145.234.255,business,DE,AS34172 
194.145.235.0,194.145.235.255,business,FR,AS57226 
194.145.236.0,194.145.236.255,business,DE,AS34193 
194.145.237.0,194.145.237.255,hosting,HK,AS214785 
194.145.238.0,194.145.238.255,business,RO,AS34184 
194.145.239.0,194.145.239.255,hosting,DE,AS34191 
194.145.240.0,194.145.241.255,business,GB,AS9009 
194.145.242.0,194.145.243.255,isp,GB,AS43915 
194.145.244.0,194.145.246.191,hosting,NL,AS202016 
194.145.246.192,194.145.246.207,business,NL,AS202016 
194.145.246.208,194.145.247.255,hosting,NL,AS202016 
194.145.248.0,194.145.251.255,isp,IT,AS48544 
194.145.252.0,194.145.255.255,business,DE, 
