194.163.0.0,194.163.15.255,isp,OM,AS204170 
194.163.16.0,194.163.19.255,hosting,DE,AS61157 
194.163.20.0,194.163.20.15,business,DE,AS61157 
194.163.20.16,194.163.20.63,hosting,DE,AS61157 
194.163.20.64,194.163.20.127,business,DE,AS61157 
194.163.20.128,194.163.31.255,hosting,DE,AS61157 
194.163.32.0,194.163.43.255,hosting,SG,AS47583 
194.163.44.0,194.163.47.255,hosting,US,AS47583 
194.163.48.0,194.163.63.255,isp,DE,AS197637 
194.163.64.0,194.163.67.255,business,CH,AS12928 
194.163.68.0,194.163.68.255,hosting,TR,AS834 
194.163.69.0,194.163.69.255,hosting,HK,AS16509 
194.163.70.0,194.163.71.255,hosting,TR,AS834 
194.163.72.0,194.163.79.255,hosting,DE,AS834 
194.163.80.0,194.163.80.255,isp,AU,AS136796 
194.163.81.0,194.163.81.255,isp,ZA,AS136796 
194.163.82.0,194.163.82.255,isp,SG,AS136796 
194.163.83.0,194.163.83.255,isp,DE,AS136796 
194.163.84.0,194.163.87.255,hosting,DE,AS834 
194.163.88.0,194.163.92.255,isp,US,AS834 
194.163.93.0,194.163.93.255,isp,DE,AS834 
194.163.94.0,194.163.95.255,isp,US,AS834 
194.163.96.0,194.163.127.255,hosting,DE,AS834 
194.163.128.0,194.163.191.255,hosting,DE,AS51167 
194.163.192.0,194.163.223.255,business,DE, 
194.163.224.0,194.163.239.255,isp,GB,AS199468 
194.163.240.0,194.163.248.255,hosting,DE,AS61157 
194.163.249.0,194.163.249.255,business,DE,AS61157 
194.163.250.0,194.163.250.7,hosting,DE,AS61157 
194.163.250.8,194.163.250.15,business,DE,AS61157 
194.163.250.16,194.163.250.31,hosting,DE,AS61157 
194.163.250.32,194.163.250.39,business,DE,AS61157 
194.163.250.40,194.163.250.143,hosting,DE,AS61157 
194.163.250.144,194.163.250.159,business,DE,AS61157 
194.163.250.160,194.163.251.255,hosting,DE,AS61157 
194.163.252.0,194.163.252.255,business,DE,AS61157 
194.163.253.0,194.163.253.55,hosting,DE,AS61157 
194.163.253.56,194.163.253.111,business,DE,AS61157 
194.163.253.112,194.163.253.127,hosting,DE,AS61157 
194.163.253.128,194.163.253.255,business,DE,AS61157 
194.163.254.0,194.163.254.255,hosting,DE,AS61157 
194.163.255.0,194.163.255.255,business,DE,AS61157 
