194.144.0.0,194.144.59.255,isp,IS 
194.144.60.0,194.144.61.255,business,IS 
194.144.62.0,194.144.103.255,isp,IS 
194.144.104.0,194.144.104.255,business,IS 
194.144.105.0,194.144.118.255,isp,IS 
194.144.119.0,194.144.119.63,business,IS 
194.144.119.64,194.144.119.127,isp,IS 
194.144.119.128,194.144.120.15,business,IS 
194.144.120.16,194.144.120.31,isp,IS 
194.144.120.32,194.144.120.255,business,IS 
194.144.121.0,194.144.126.255,isp,IS 
194.144.127.0,194.144.128.255,business,IS 
194.144.129.0,194.144.136.255,isp,IS 
194.144.137.0,194.144.138.255,business,IS 
194.144.139.0,194.144.139.255,isp,IS 
194.144.140.0,194.144.141.255,business,IS 
194.144.142.0,194.144.143.255,isp,IS 
194.144.144.0,194.144.144.255,business,IS 
194.144.145.0,194.144.145.255,isp,IS 
194.144.146.0,194.144.146.255,business,IS 
194.144.147.0,194.144.149.255,isp,IS 
194.144.150.0,194.144.152.255,business,IS 
194.144.153.0,194.144.153.255,isp,IS 
194.144.154.0,194.144.155.255,business,IS 
194.144.156.0,194.144.156.255,isp,IS 
194.144.157.0,194.144.162.15,business,IS 
194.144.162.16,194.144.162.47,isp,IS 
194.144.162.48,194.144.162.159,business,IS 
194.144.162.160,194.144.162.175,isp,IS 
194.144.162.176,194.144.166.255,business,IS 
194.144.167.0,194.144.167.255,isp,IS 
194.144.168.0,194.144.170.255,business,IS 
194.144.171.0,194.144.171.255,isp,IS 
194.144.172.0,194.144.187.255,business,IS 
194.144.188.0,194.144.188.255,isp,IS 
194.144.189.0,194.144.200.255,business,IS 
194.144.201.0,194.144.201.255,isp,IS 
194.144.202.0,194.144.209.255,business,IS 
194.144.210.0,194.144.221.255,isp,IS 
194.144.222.0,194.144.222.167,business,IS 
194.144.222.168,194.144.222.175,isp,IS 
194.144.222.176,194.144.222.255,business,IS 
194.144.223.0,194.144.223.255,isp,IS 
194.144.224.0,194.144.224.255,business,IS 
194.144.225.0,194.144.225.255,isp,IS 
194.144.226.0,194.144.239.255,business,IS 
194.144.240.0,194.144.241.255,isp,IS 
194.144.242.0,194.144.244.39,business,IS 
194.144.244.40,194.144.244.47,isp,IS 
194.144.244.48,194.144.248.7,business,IS 
194.144.248.8,194.144.248.15,isp,IS 
194.144.248.16,194.144.249.151,business,IS 
194.144.249.152,194.144.249.159,isp,IS 
194.144.249.160,194.144.249.255,business,IS 
194.144.250.0,194.144.255.255,isp,IS 
