111.125.0.0,111.125.63.255,isp,JP 
111.125.64.0,111.125.127.255,isp,PH 
111.125.128.0,111.125.135.255,isp,TW 
111.125.136.0,111.125.143.255,isp,IN 
111.125.144.0,111.125.151.255,isp,JP 
111.125.152.0,111.125.159.255,isp,AF 
111.125.160.0,111.125.175.255,hosting,AU 
111.125.176.0,111.125.179.255,business,AU 
111.125.180.0,111.125.185.255,hosting,AU 
111.125.186.0,111.125.189.255,business,AU 
111.125.190.0,111.125.190.255,hosting,AU 
111.125.191.0,111.125.191.255,business,AU 
111.125.192.0,111.125.213.255,isp,IN 
111.125.214.0,111.125.215.255,business,IN 
111.125.216.0,111.125.216.255,isp,IN 
111.125.217.0,111.125.217.255,business,IN 
111.125.218.0,111.125.218.127,isp,IN 
111.125.218.128,111.125.218.255,business,IN 
111.125.219.0,111.125.219.127,isp,IN 
111.125.219.128,111.125.219.255,business,IN 
111.125.220.0,111.125.223.255,isp,IN 
111.125.224.0,111.125.224.255,business,IN 
111.125.225.0,111.125.225.255,isp,IN 
111.125.226.0,111.125.228.255,business,IN 
111.125.229.0,111.125.237.255,isp,IN 
111.125.238.0,111.125.239.255,business,IN 
111.125.240.0,111.125.243.255,isp,IN 
111.125.244.0,111.125.244.255,business,IN 
111.125.245.0,111.125.250.127,isp,IN 
111.125.250.128,111.125.250.255,business,IN 
111.125.251.0,111.125.255.255,isp,IN 
