111.237.83.0,111.237.83.191,business,JP,AS2516 
111.237.83.192,111.237.112.255,isp,JP,AS2516 
111.237.113.0,111.237.114.191,business,JP,AS2516 
111.237.114.192,111.237.116.15,isp,JP,AS2516 
111.237.116.16,111.237.116.31,business,JP,AS2516 
111.237.116.32,111.237.116.143,isp,JP,AS2516 
111.237.116.144,111.237.116.167,business,JP,AS2516 
111.237.116.168,111.237.116.191,isp,JP,AS2516 
111.237.116.192,111.237.116.199,business,JP,AS2516 
111.237.116.200,111.237.116.223,isp,JP,AS2516 
111.237.116.224,111.237.116.239,business,JP,AS2516 
111.237.116.240,111.237.117.15,isp,JP,AS2516 
111.237.117.16,111.237.117.31,business,JP,AS2516 
111.237.117.32,111.237.117.223,isp,JP,AS2516 
111.237.117.224,111.237.117.239,business,JP,AS2516 
111.237.117.240,111.238.7.31,isp,JP,AS2516 
