62.162.0.0,62.162.64.63,isp,MK 
62.162.64.64,62.162.64.127,business,MK 
62.162.64.128,62.162.102.255,isp,MK 
62.162.103.0,62.162.103.31,business,MK 
62.162.103.32,62.162.103.159,isp,MK 
62.162.103.160,62.162.103.191,business,MK 
62.162.103.192,62.162.115.255,isp,MK 
62.162.116.0,62.162.116.255,business,MK 
62.162.117.0,62.162.126.63,isp,MK 
62.162.126.64,62.162.126.79,business,MK 
62.162.126.80,62.162.130.103,isp,MK 
62.162.130.104,62.162.130.111,business,MK 
62.162.130.112,62.162.255.255,isp,MK 
