62.221.0.0,62.221.15.255,isp,ES,AS1273 
62.221.16.0,62.221.16.255,isp,IE,AS1273 
62.221.17.0,62.221.31.255,isp,EU,AS1273 
62.221.32.0,62.221.33.255,isp,UA,AS6703 
62.221.34.0,62.221.34.255,business,UA,AS12883 
62.221.35.0,62.221.35.255,isp,UA,AS6703 
62.221.36.0,62.221.36.255,business,UA,AS12883 
62.221.37.0,62.221.39.255,isp,UA,AS12883 
62.221.40.0,62.221.41.255,business,UA,AS12883 
62.221.42.0,62.221.45.255,isp,UA,AS12883 
62.221.46.0,62.221.47.255,isp,UA,AS6703 
62.221.48.0,62.221.49.255,isp,UA,AS12883 
62.221.50.0,62.221.54.255,isp,UA,AS6703 
62.221.55.0,62.221.55.255,isp,UA,AS12883 
62.221.56.0,62.221.56.255,isp,UA,AS6703 
62.221.57.0,62.221.59.255,isp,UA,AS12883 
62.221.60.0,62.221.61.255,isp,UA,AS6703 
62.221.62.0,62.221.63.255,isp,UA,AS12883 
62.221.64.0,62.221.127.255,isp,MD,AS1547 
62.221.128.0,62.221.141.255,isp,BG,AS8717 
62.221.142.0,62.221.142.255,isp,BG,AS13124 
62.221.143.0,62.221.159.255,isp,BG,AS8717 
62.221.160.0,62.221.167.255,business,IT,AS13253 
62.221.168.0,62.221.191.255,business,IT,AS13183 
62.221.192.0,62.221.192.127,hosting,NL,AS48635 
62.221.192.128,62.221.202.255,isp,NL,AS48635 
62.221.203.0,62.221.203.255,business,NL,AS48635 
62.221.204.0,62.221.206.255,isp,NL,AS48635 
62.221.207.0,62.221.223.255,hosting,NL,AS48635 
62.221.224.0,62.221.224.255,business,NL, 
62.221.225.0,62.221.225.255,business,IE, 
62.221.226.0,62.221.226.255,isp,FR, 
62.221.227.0,62.221.227.255,business,NL, 
62.221.228.0,62.221.231.255,isp,DE,AS208988 
62.221.232.0,62.221.239.255,hosting,DE,AS12329 
62.221.240.0,62.221.240.71,business,DE,AS12329 
62.221.240.72,62.221.240.127,hosting,DE,AS12329 
62.221.240.128,62.221.240.159,business,DE,AS12329 
62.221.240.160,62.221.247.255,hosting,DE,AS12329 
62.221.248.0,62.221.249.255,hosting,NL,AS48635 
62.221.250.0,62.221.250.255,hosting,BE,AS48635 
62.221.251.0,62.221.255.255,hosting,NL,AS48635 
