62.247.0.0,62.247.0.31,business,SE,AS702 
62.247.0.32,62.247.1.255,isp,SE,AS702 
62.247.2.0,62.247.3.255,business,SE,AS702 
62.247.4.0,62.247.128.15,isp,SE,AS702 
62.247.128.16,62.247.128.31,business,SE,AS702 
62.247.128.32,62.247.128.59,isp,SE,AS702 
62.247.128.60,62.247.128.63,business,SE,AS702 
62.247.128.64,62.247.128.67,isp,SE,AS702 
62.247.128.68,62.247.128.87,business,SE,AS702 
62.247.128.88,62.247.128.95,isp,SE,AS702 
62.247.128.96,62.247.128.127,business,SE,AS702 
62.247.128.128,62.247.128.143,isp,SE,AS702 
62.247.128.144,62.247.128.183,business,SE,AS702 
62.247.128.184,62.247.128.191,isp,SE,AS702 
62.247.128.192,62.247.128.199,business,SE,AS702 
62.247.128.200,62.247.128.215,isp,SE,AS702 
62.247.128.216,62.247.128.231,business,SE,AS702 
62.247.128.232,62.247.128.239,isp,SE,AS702 
62.247.128.240,62.247.128.247,business,SE,AS702 
62.247.128.248,62.247.128.251,isp,SE,AS702 
62.247.128.252,62.247.129.255,business,SE,AS702 
62.247.130.0,62.247.131.255,isp,SE,AS702 
62.247.132.0,62.247.135.255,business,SE,AS702 
62.247.136.0,62.247.251.255,isp,SE,AS702 
62.247.252.0,62.247.252.255,business,SE,AS702 
62.247.253.0,62.247.255.255,isp,SE,AS702 
