62.241.0.0,62.241.3.255,business,IT 
62.241.4.0,62.241.5.255,hosting,IT 
62.241.6.0,62.241.31.255,business,IT 
62.241.32.0,62.241.47.255,isp,NO 
62.241.48.0,62.241.63.255,hosting,DE 
62.241.64.0,62.241.127.255,isp,FR 
62.241.128.0,62.241.159.255,isp,EG 
62.241.160.0,62.241.191.255,isp,GB 
62.241.192.0,62.241.192.31,business,FI 
62.241.192.32,62.241.192.63,isp,FI 
62.241.192.64,62.241.193.79,business,FI 
62.241.193.80,62.241.193.87,isp,FI 
62.241.193.88,62.241.193.111,business,FI 
62.241.193.112,62.241.193.119,isp,FI 
62.241.193.120,62.241.193.135,business,FI 
62.241.193.136,62.241.193.151,isp,FI 
62.241.193.152,62.241.193.255,business,FI 
62.241.194.0,62.241.194.255,isp,FI 
62.241.195.0,62.241.195.55,business,FI 
62.241.195.56,62.241.195.63,isp,FI 
62.241.195.64,62.241.195.79,business,FI 
62.241.195.80,62.241.195.87,education,FI 
62.241.195.88,62.241.195.207,business,FI 
62.241.195.208,62.241.195.215,isp,FI 
62.241.195.216,62.241.195.255,business,FI 
62.241.196.0,62.241.196.255,isp,FI 
62.241.197.0,62.241.197.255,business,FI 
62.241.198.0,62.241.198.255,isp,FI 
62.241.199.0,62.241.199.47,business,FI 
62.241.199.48,62.241.199.51,isp,FI 
62.241.199.52,62.241.199.163,business,FI 
62.241.199.164,62.241.199.167,isp,FI 
62.241.199.168,62.241.199.171,business,FI 
62.241.199.172,62.241.199.175,isp,FI 
62.241.199.176,62.241.199.223,business,FI 
62.241.199.224,62.241.199.255,isp,FI 
62.241.200.0,62.241.206.51,business,FI 
62.241.206.52,62.241.206.55,isp,FI 
62.241.206.56,62.241.219.31,business,FI 
62.241.219.32,62.241.219.39,isp,FI 
62.241.219.40,62.241.219.223,business,FI 
62.241.219.224,62.241.219.231,isp,FI 
62.241.219.232,62.241.222.255,business,FI 
62.241.223.0,62.241.231.255,isp,FI 
62.241.232.0,62.241.240.255,business,FI 
62.241.241.0,62.241.241.7,isp,FI 
62.241.241.8,62.241.241.79,business,FI 
62.241.241.80,62.241.241.111,isp,FI 
62.241.241.112,62.241.241.167,business,FI 
62.241.241.168,62.241.241.175,isp,FI 
62.241.241.176,62.241.241.255,business,FI 
62.241.242.0,62.241.242.255,isp,FI 
62.241.243.0,62.241.247.255,business,FI 
62.241.248.0,62.241.251.255,isp,FI 
62.241.252.0,62.241.252.111,business,FI 
62.241.252.112,62.241.252.127,isp,FI 
62.241.252.128,62.241.254.255,business,FI 
62.241.255.0,62.241.255.127,isp,FI 
62.241.255.128,62.241.255.255,business,FI 
