62.130.0.0,62.130.2.255,business,GB 
62.130.3.0,62.130.3.255,education,GB 
62.130.4.0,62.130.154.255,business,GB 
62.130.155.0,62.130.155.255,education,GB 
62.130.156.0,62.130.179.255,business,GB 
62.130.180.0,62.130.180.255,isp,GB 
62.130.181.0,62.130.190.255,business,GB 
62.130.191.0,62.130.192.255,education,GB 
62.130.193.0,62.130.197.255,business,GB 
62.130.198.0,62.130.198.255,isp,GB 
62.130.199.0,62.130.206.255,business,GB 
62.130.207.0,62.130.207.255,isp,GB 
62.130.208.0,62.130.214.255,business,GB 
62.130.215.0,62.130.216.255,isp,GB 
62.130.217.0,62.130.251.255,business,GB 
62.130.252.0,62.130.252.255,isp,GB 
62.130.253.0,62.130.255.255,business,GB 
