62.245.0.0,62.245.31.255,hosting,BR,AS136907 
62.245.32.0,62.245.63.255,isp,RU,AS5563 
62.245.64.0,62.245.111.79,isp,CZ,AS16019 
62.245.111.80,62.245.111.95,business,CZ,AS16019 
62.245.111.96,62.245.111.127,isp,CZ,AS16019 
62.245.111.128,62.245.111.135,business,CZ,AS16019 
62.245.111.136,62.245.127.255,isp,CZ,AS16019 
62.245.128.0,62.245.128.7,business,DE,AS8767 
62.245.128.8,62.245.128.31,isp,DE,AS8767 
62.245.128.32,62.245.128.223,business,DE,AS8767 
62.245.128.224,62.245.128.247,isp,DE,AS8767 
62.245.128.248,62.245.128.255,business,DE,AS8767 
62.245.129.0,62.245.129.71,isp,DE,AS8767 
62.245.129.72,62.245.129.75,business,DE,AS8767 
62.245.129.76,62.245.129.103,isp,DE,AS8767 
62.245.129.104,62.245.129.199,business,DE,AS8767 
62.245.129.200,62.245.129.207,isp,DE,AS8767 
62.245.129.208,62.245.129.223,business,DE,AS8767 
62.245.129.224,62.245.130.63,isp,DE,AS8767 
62.245.130.64,62.245.130.71,business,DE,AS8767 
62.245.130.72,62.245.130.255,isp,DE,AS8767 
62.245.131.0,62.245.131.79,business,DE,AS8767 
62.245.131.80,62.245.131.87,isp,DE,AS8767 
62.245.131.88,62.245.131.111,business,DE,AS8767 
62.245.131.112,62.245.131.207,isp,DE,AS8767 
62.245.131.208,62.245.134.7,business,DE,AS8767 
62.245.134.8,62.245.134.23,isp,DE,AS8767 
62.245.134.24,62.245.134.63,business,DE,AS8767 
62.245.134.64,62.245.134.119,isp,DE,AS8767 
62.245.134.120,62.245.134.127,business,DE,AS8767 
62.245.134.128,62.245.134.159,isp,DE,AS8767 
62.245.134.160,62.245.134.191,business,DE,AS8767 
62.245.134.192,62.245.134.255,isp,DE,AS8767 
62.245.135.0,62.245.135.95,business,DE,AS8767 
62.245.135.96,62.245.135.99,isp,DE,AS8767 
62.245.135.100,62.245.135.143,business,DE,AS8767 
62.245.135.144,62.245.135.159,isp,DE,AS8767 
62.245.135.160,62.245.135.255,business,DE,AS8767 
62.245.136.0,62.245.141.255,isp,DE,AS8767 
62.245.142.0,62.245.142.7,business,DE,AS8767 
62.245.142.8,62.245.142.13,isp,DE,AS8767 
62.245.142.14,62.245.142.43,business,DE,AS8767 
62.245.142.44,62.245.142.55,isp,DE,AS8767 
62.245.142.56,62.245.142.63,business,DE,AS8767 
62.245.142.64,62.245.142.79,isp,DE,AS8767 
62.245.142.80,62.245.142.127,business,DE,AS8767 
62.245.142.128,62.245.143.11,isp,DE,AS8767 
62.245.143.12,62.245.143.23,business,DE,AS8767 
62.245.143.24,62.245.143.35,isp,DE,AS8767 
62.245.143.36,62.245.143.79,business,DE,AS8767 
62.245.143.80,62.245.143.83,isp,DE,AS8767 
62.245.143.84,62.245.143.95,business,DE,AS8767 
62.245.143.96,62.245.143.127,isp,DE,AS8767 
62.245.143.128,62.245.143.191,business,DE,AS8767 
62.245.143.192,62.245.143.199,isp,DE,AS8767 
62.245.143.200,62.245.143.239,business,DE,AS8767 
62.245.143.240,62.245.143.255,isp,DE,AS8767 
62.245.144.0,62.245.144.107,business,DE,AS8767 
62.245.144.108,62.245.144.111,isp,DE,AS8767 
62.245.144.112,62.245.144.127,business,DE,AS8767 
62.245.144.128,62.245.144.135,isp,DE,AS8767 
62.245.144.136,62.245.144.143,business,DE,AS8767 
62.245.144.144,62.245.144.159,isp,DE,AS8767 
62.245.144.160,62.245.144.175,business,DE,AS8767 
62.245.144.176,62.245.144.199,isp,DE,AS8767 
62.245.144.200,62.245.144.207,business,DE,AS8767 
62.245.144.208,62.245.144.215,isp,DE,AS8767 
62.245.144.216,62.245.144.223,business,DE,AS8767 
62.245.144.224,62.245.144.255,isp,DE,AS8767 
62.245.145.0,62.245.145.39,business,DE,AS8767 
62.245.145.40,62.245.145.47,isp,DE,AS8767 
62.245.145.48,62.245.145.83,business,DE,AS8767 
62.245.145.84,62.245.145.127,isp,DE,AS8767 
62.245.145.128,62.245.145.255,business,DE,AS8767 
62.245.146.0,62.245.146.255,isp,DE,AS8767 
62.245.147.0,62.245.147.15,business,DE,AS8767 
62.245.147.16,62.245.147.39,isp,DE,AS8767 
62.245.147.40,62.245.147.47,business,DE,AS8767 
62.245.147.48,62.245.147.63,isp,DE,AS8767 
62.245.147.64,62.245.147.71,business,DE,AS8767 
62.245.147.72,62.245.147.79,isp,DE,AS8767 
62.245.147.80,62.245.147.95,business,DE,AS8767 
62.245.147.96,62.245.147.103,isp,DE,AS8767 
62.245.147.104,62.245.147.111,business,DE,AS8767 
62.245.147.112,62.245.147.199,isp,DE,AS8767 
62.245.147.200,62.245.147.215,business,DE,AS8767 
62.245.147.216,62.245.147.223,isp,DE,AS8767 
62.245.147.224,62.245.148.63,business,DE,AS8767 
