14.201.7.16,14.201.7.175,business,AU 
14.201.7.176,14.201.7.191,isp,AU 
14.201.7.192,14.201.7.255,business,AU 
14.201.8.0,14.201.108.255,isp,AU 
14.201.109.0,14.201.109.127,business,AU 
14.201.109.128,14.201.109.159,isp,AU 
14.201.109.160,14.201.109.255,business,AU 
14.201.110.0,14.201.148.255,isp,AU 
14.201.149.0,14.201.149.3,business,AU 
14.201.149.4,14.201.149.7,education,AU 
14.201.149.8,14.201.149.23,isp,AU 
14.201.149.24,14.201.149.59,business,AU 
14.201.149.60,14.201.149.63,isp,AU 
14.201.149.64,14.201.149.99,business,AU 
14.201.149.100,14.201.149.103,isp,AU 
14.201.149.104,14.201.149.163,business,AU 
14.201.149.164,14.201.149.167,isp,AU 
14.201.149.168,14.201.149.255,business,AU 
14.201.150.0,14.201.163.255,isp,AU 
14.201.164.0,14.201.164.143,business,AU 
14.201.164.144,14.201.164.159,isp,AU 
14.201.164.160,14.201.164.223,business,AU 
14.201.164.224,14.201.164.239,isp,AU 
14.201.164.240,14.201.164.255,business,AU 
14.201.165.0,14.201.169.255,isp,AU 
14.201.170.0,14.201.170.11,business,AU 
14.201.170.12,14.201.170.15,isp,AU 
14.201.170.16,14.201.170.19,education,AU 
14.201.170.20,14.201.170.35,business,AU 
14.201.170.36,14.201.170.39,isp,AU 
14.201.170.40,14.201.170.43,education,AU 
14.201.170.44,14.201.170.47,business,AU 
14.201.170.48,14.201.170.55,isp,AU 
14.201.170.56,14.201.170.95,business,AU 
14.201.170.96,14.201.170.111,isp,AU 
14.201.170.112,14.201.170.119,business,AU 
14.201.170.120,14.201.170.135,isp,AU 
14.201.170.136,14.201.170.143,business,AU 
14.201.170.144,14.201.170.147,isp,AU 
14.201.170.148,14.201.170.151,business,AU 
14.201.170.152,14.201.170.159,isp,AU 
14.201.170.160,14.201.170.171,business,AU 
14.201.170.172,14.201.170.179,isp,AU 
14.201.170.180,14.201.170.183,business,AU 
14.201.170.184,14.201.170.191,isp,AU 
14.201.170.192,14.201.170.227,business,AU 
14.201.170.228,14.201.170.231,isp,AU 
14.201.170.232,14.201.170.235,business,AU 
14.201.170.236,14.201.170.239,isp,AU 
14.201.170.240,14.201.170.255,business,AU 
14.201.171.0,14.201.179.255,isp,AU 
14.201.180.0,14.201.180.63,business,AU 
14.201.180.64,14.201.180.95,education,AU 
14.201.180.96,14.201.180.255,business,AU 
14.201.181.0,14.201.209.255,isp,AU 
14.201.210.0,14.201.210.15,business,AU 
14.201.210.16,14.201.210.31,isp,AU 
14.201.210.32,14.201.210.71,business,AU 
14.201.210.72,14.201.210.79,isp,AU 
14.201.210.80,14.201.210.159,business,AU 
14.201.210.160,14.201.210.167,education,AU 
14.201.210.168,14.201.210.175,isp,AU 
14.201.210.176,14.201.210.255,business,AU 
14.201.211.0,14.201.221.255,isp,AU 
14.201.222.0,14.201.222.15,business,AU 
14.201.222.16,14.201.222.47,isp,AU 
14.201.222.48,14.201.222.63,education,AU 
14.201.222.64,14.201.222.79,isp,AU 
14.201.222.80,14.201.222.175,business,AU 
14.201.222.176,14.201.222.191,isp,AU 
14.201.222.192,14.201.222.239,business,AU 
14.201.222.240,14.201.222.255,isp,AU 
14.201.223.0,14.201.223.27,business,AU 
14.201.223.28,14.201.223.31,isp,AU 
14.201.223.32,14.201.223.59,business,AU 
14.201.223.60,14.201.223.67,isp,AU 
14.201.223.68,14.201.223.71,business,AU 
14.201.223.72,14.201.223.75,isp,AU 
14.201.223.76,14.201.223.83,business,AU 
14.201.223.84,14.201.223.87,isp,AU 
14.201.223.88,14.201.223.91,education,AU 
14.201.223.92,14.201.223.107,business,AU 
14.201.223.108,14.201.223.111,isp,AU 
14.201.223.112,14.201.223.131,business,AU 
14.201.223.132,14.201.223.135,isp,AU 
14.201.223.136,14.201.223.171,business,AU 
14.201.223.172,14.201.223.175,isp,AU 
14.201.223.176,14.201.223.179,business,AU 
14.201.223.180,14.201.223.183,isp,AU 
14.201.223.184,14.201.223.187,business,AU 
14.201.223.188,14.201.223.191,isp,AU 
14.201.223.192,14.201.223.207,business,AU 
14.201.223.208,14.201.223.211,isp,AU 
14.201.223.212,14.201.223.227,business,AU 
14.201.223.228,14.201.223.231,isp,AU 
14.201.223.232,14.201.223.239,business,AU 
14.201.223.240,14.201.240.255,isp,AU 
14.201.241.0,14.201.241.7,business,AU 
14.201.241.8,14.201.241.15,isp,AU 
14.201.241.16,14.201.241.23,business,AU 
14.201.241.24,14.201.241.31,isp,AU 
14.201.241.32,14.201.241.103,business,AU 
14.201.241.104,14.201.241.119,isp,AU 
14.201.241.120,14.201.241.215,business,AU 
14.201.241.216,14.201.241.223,isp,AU 
14.201.241.224,14.201.241.231,business,AU 
14.201.241.232,14.202.14.255,isp,AU 
