14.136.0.0,14.136.86.255,isp,HK,AS9269 
14.136.87.0,14.136.87.31,business,HK,AS9269 
14.136.87.32,14.136.191.255,isp,HK,AS9269 
14.136.192.0,14.136.192.191,isp,HK,AS10103 
14.136.192.192,14.136.192.247,isp,HK,AS9269 
14.136.192.248,14.136.192.255,isp,HK,AS10103 
14.136.193.0,14.136.197.63,isp,HK,AS9269 
14.136.197.64,14.136.197.191,isp,HK,AS10103 
14.136.197.192,14.136.197.223,isp,HK,AS9269 
14.136.197.224,14.136.197.231,isp,HK,AS10103 
14.136.197.232,14.136.255.255,isp,HK,AS9269 
