93.121.0.0,93.121.127.255,business,GB,AS44574 
93.121.128.0,93.121.136.255,isp,GP,AS21351 
93.121.137.0,93.121.138.255,isp,GF,AS21351 
93.121.139.0,93.121.141.255,isp,GP,AS21351 
93.121.142.0,93.121.142.255,isp,GF,AS21351 
93.121.143.0,93.121.163.255,isp,GP,AS21351 
93.121.164.0,93.121.164.255,isp,MQ,AS21351 
93.121.165.0,93.121.170.255,isp,GP,AS21351 
93.121.171.0,93.121.171.255,isp,GF,AS21351 
93.121.172.0,93.121.174.255,isp,GP,AS21351 
93.121.175.0,93.121.175.255,isp,GF,AS21351 
93.121.176.0,93.121.182.255,isp,GP,AS21351 
93.121.183.0,93.121.183.255,isp,MQ,AS21351 
93.121.184.0,93.121.184.255,isp,GP,AS21351 
93.121.185.0,93.121.187.255,isp,GF,AS21351 
93.121.188.0,93.121.199.255,isp,GP,AS21351 
93.121.200.0,93.121.200.255,isp,MQ,AS21351 
93.121.201.0,93.121.205.255,isp,GP,AS21351 
93.121.206.0,93.121.206.255,isp,MQ,AS21351 
93.121.207.0,93.121.240.255,isp,GP,AS21351 
93.121.241.0,93.121.241.255,isp,GF,AS21351 
93.121.242.0,93.121.244.255,isp,GP,AS21351 
93.121.245.0,93.121.247.255,isp,MQ,AS21351 
93.121.248.0,93.121.254.255,isp,GP,AS21351 
93.121.255.0,93.121.255.255,isp,MQ,AS21351 
