93.181.0.0,93.181.43.255,isp,DE,AS42965 
93.181.44.0,93.181.45.255,business,DE,AS42965 
93.181.46.0,93.181.63.255,isp,DE,AS42965 
93.181.64.0,93.181.127.255,isp,CZ,AS15425 
93.181.128.0,93.181.150.255,isp,PL,AS43939 
93.181.151.0,93.181.151.31,business,PL,AS43939 
93.181.151.32,93.181.191.255,isp,PL,AS43939 
93.181.192.0,93.181.223.255,isp,RU,AS13118 
93.181.224.0,93.181.224.39,business,RU,AS13118 
93.181.224.40,93.181.224.47,isp,RU,AS13118 
93.181.224.48,93.181.224.55,business,RU,AS13118 
93.181.224.56,93.181.224.63,isp,RU,AS13118 
93.181.224.64,93.181.224.79,business,RU,AS13118 
93.181.224.80,93.181.224.87,isp,RU,AS13118 
93.181.224.88,93.181.224.143,business,RU,AS13118 
93.181.224.144,93.181.224.159,isp,RU,AS13118 
93.181.224.160,93.181.224.167,business,RU,AS13118 
93.181.224.168,93.181.224.191,isp,RU,AS13118 
93.181.224.192,93.181.224.207,business,RU,AS13118 
93.181.224.208,93.181.224.223,isp,RU,AS13118 
93.181.224.224,93.181.224.247,business,RU,AS13118 
93.181.224.248,93.181.225.255,isp,RU,AS13118 
93.181.226.0,93.181.239.255,isp,RU,AS12389 
93.181.240.0,93.181.255.255,business,RU,AS13118 
