93.184.0.0,93.184.15.255,isp,PS,AS47253 
93.184.16.0,93.184.31.255,business,CH,AS21232 
93.184.32.0,93.184.32.255,isp,FR,AS13193 
93.184.33.0,93.184.33.127,business,FR,AS13193 
93.184.33.128,93.184.33.159,isp,FR,AS13193 
93.184.33.160,93.184.34.159,business,FR,AS13193 
93.184.34.160,93.184.34.191,isp,FR,AS13193 
93.184.34.192,93.184.34.255,business,FR,AS13193 
93.184.35.0,93.184.35.31,isp,FR,AS13193 
93.184.35.32,93.184.35.63,business,FR,AS13193 
93.184.35.64,93.184.36.191,isp,FR,AS13193 
93.184.36.192,93.184.36.255,business,FR,AS13193 
93.184.37.0,93.184.37.63,isp,FR,AS13193 
93.184.37.64,93.184.37.127,business,FR,AS13193 
93.184.37.128,93.184.45.15,isp,FR,AS13193 
93.184.45.16,93.184.45.31,business,FR,AS13193 
93.184.45.32,93.184.47.255,isp,FR,AS13193 
93.184.48.0,93.184.61.255,business,DE,AS25394 
93.184.62.0,93.184.62.143,hosting,DE,AS25394 
93.184.62.144,93.184.62.159,business,DE,AS25394 
93.184.62.160,93.184.63.255,hosting,DE,AS25394 
93.184.64.0,93.184.68.95,isp,SK,AS29405 
93.184.68.96,93.184.68.127,business,SK,AS29405 
93.184.68.128,93.184.76.255,isp,SK,AS29405 
93.184.77.0,93.184.78.255,business,SK,AS29405 
93.184.79.0,93.184.79.255,isp,SK,AS29405 
93.184.80.0,93.184.95.255,isp,RS,AS197423 
93.184.96.0,93.184.96.63,hosting,NL,AS31477 
93.184.96.64,93.184.96.159,business,NL,AS31477 
93.184.96.160,93.184.96.191,hosting,NL,AS31477 
93.184.96.192,93.184.96.239,business,NL,AS31477 
93.184.96.240,93.184.97.223,hosting,NL,AS31477 
93.184.97.224,93.184.97.255,business,NL,AS31477 
93.184.98.0,93.184.98.255,hosting,NL,AS31477 
93.184.99.0,93.184.100.255,business,NL,AS31477 
93.184.101.0,93.184.101.255,hosting,NL,AS31477 
93.184.102.0,93.184.103.255,business,NL,AS31477 
93.184.104.0,93.184.106.255,hosting,NL,AS31477 
93.184.107.0,93.184.107.255,isp,NL,AS31477 
93.184.108.0,93.184.109.255,hosting,NL,AS31477 
93.184.110.0,93.184.111.255,isp,NL,AS31477 
93.184.112.0,93.184.119.255,hosting,NO,AS49788 
93.184.120.0,93.184.125.127,isp,NO,AS29300 
93.184.125.128,93.184.125.255,business,SE,AS29300 
93.184.126.0,93.184.127.255,isp,NO,AS29300 
93.184.128.0,93.184.128.255,business,DE,AS43066 
93.184.129.0,93.184.129.31,hosting,DE,AS43066 
93.184.129.32,93.184.129.127,business,DE,AS43066 
93.184.129.128,93.184.130.255,hosting,DE,AS43066 
93.184.131.0,93.184.131.255,business,DE,AS43066 
93.184.132.0,93.184.133.255,hosting,DE,AS43066 
93.184.134.0,93.184.143.255,business,DE,AS43066 
93.184.144.0,93.184.146.255,isp,TR,AS47288 
93.184.147.0,93.184.147.3,business,TR,AS47288 
93.184.147.4,93.184.147.19,isp,TR,AS47288 
93.184.147.20,93.184.147.23,business,TR,AS47288 
93.184.147.24,93.184.148.31,isp,TR,AS47288 
93.184.148.32,93.184.148.47,business,TR,AS47288 
93.184.148.48,93.184.149.255,isp,TR,AS47288 
93.184.150.0,93.184.150.7,business,TR,AS47288 
93.184.150.8,93.184.159.255,isp,TR,AS47288 
93.184.160.0,93.184.163.255,isp,RU,AS47522 
93.184.164.0,93.184.165.255,hosting,RU,AS34527 
93.184.166.0,93.184.175.255,isp,RU,AS47522 
93.184.176.0,93.184.178.255,isp,DE,AS47297 
93.184.179.0,93.184.179.143,business,DE,AS47297 
93.184.179.144,93.184.179.159,isp,DE,AS47297 
93.184.179.160,93.184.179.167,business,DE,AS47297 
93.184.179.168,93.184.179.255,isp,DE,AS47297 
93.184.180.0,93.184.180.31,business,DE,AS47297 
93.184.180.32,93.184.180.55,isp,DE,AS47297 
93.184.180.56,93.184.180.63,business,DE,AS47297 
93.184.180.64,93.184.180.255,isp,DE,AS47297 
93.184.181.0,93.184.181.255,business,DE,AS47297 
93.184.182.0,93.184.191.255,isp,DE,AS47297 
93.184.192.0,93.184.207.255,hosting,DK,AS47304 
93.184.208.0,93.184.208.255,business,EU, 
93.184.209.0,93.184.209.127,hosting,US,AS15133 
93.184.209.128,93.184.211.31,business,EU, 
93.184.211.32,93.184.211.63,hosting,US,AS15133 
93.184.211.64,93.184.211.127,business,EU, 
93.184.211.128,93.184.211.255,hosting,US,AS15133 
93.184.212.0,93.184.215.255,business,US,AS15133 
93.184.216.0,93.184.216.255,hosting,US,AS15133 
93.184.217.0,93.184.217.47,business,EU, 
93.184.217.48,93.184.217.63,hosting,US,AS15133 
93.184.217.64,93.184.217.127,business,EU, 
93.184.217.128,93.184.218.31,hosting,US,AS15133 
93.184.218.32,93.184.218.111,business,US, 
93.184.218.112,93.184.218.127,business,EU, 
93.184.218.128,93.184.218.159,hosting,US,AS15133 
93.184.218.160,93.184.218.191,business,US, 
93.184.218.192,93.184.219.255,hosting,US,AS15133 
93.184.220.0,93.184.223.255,business,US,AS15133 
93.184.224.0,93.184.239.255,isp,AZ,AS39280 
93.184.240.0,93.184.242.239,hosting,GB,AS47351 
93.184.242.240,93.184.242.255,business,GB,AS47351 
93.184.243.0,93.184.255.255,hosting,GB,AS47351 
