93.186.0.0,93.186.15.255,isp,DE 
93.186.16.0,93.186.31.255,business,GB 
93.186.32.0,93.186.47.255,isp,GB 
93.186.48.0,93.186.63.255,isp,RU 
93.186.64.0,93.186.79.255,isp,RS 
93.186.80.0,93.186.95.255,business,IT 
93.186.96.0,93.186.111.255,isp,RU 
93.186.112.0,93.186.112.255,hosting,TR 
93.186.113.0,93.186.113.255,isp,TR 
93.186.114.0,93.186.114.255,business,TR 
93.186.115.0,93.186.115.255,hosting,TR 
93.186.116.0,93.186.116.255,business,TR 
93.186.117.0,93.186.117.255,hosting,TR 
93.186.118.0,93.186.118.255,business,TR 
93.186.119.0,93.186.120.255,hosting,TR 
93.186.121.0,93.186.121.255,business,TR 
93.186.122.0,93.186.123.255,hosting,TR 
93.186.124.0,93.186.124.255,isp,TR 
93.186.125.0,93.186.126.255,business,TR 
93.186.127.0,93.186.127.255,isp,TR 
93.186.128.0,93.186.129.255,business,IT 
93.186.130.0,93.186.130.255,business,US 
93.186.131.0,93.186.131.255,business,DE 
93.186.132.0,93.186.132.127,business,RO 
93.186.132.128,93.186.132.255,business,TR 
93.186.133.0,93.186.133.255,business,SG 
93.186.134.0,93.186.135.255,hosting,IT 
93.186.136.0,93.186.136.255,business,IT 
93.186.137.0,93.186.137.15,hosting,IT 
93.186.137.16,93.186.137.31,hosting,GR 
93.186.137.32,93.186.137.127,hosting,IT 
93.186.137.128,93.186.137.255,hosting,GR 
93.186.138.0,93.186.139.255,business,GR 
93.186.140.0,93.186.142.63,business,IT 
93.186.142.64,93.186.142.71,business,GB 
93.186.142.72,93.186.143.255,business,IT 
93.186.144.0,93.186.159.255,business,GB 
93.186.160.0,93.186.163.255,hosting,DE 
93.186.164.0,93.186.167.255,business,DE 
93.186.168.0,93.186.172.255,hosting,DE 
93.186.173.0,93.186.173.31,isp,DE 
93.186.173.32,93.186.175.255,hosting,DE 
93.186.176.0,93.186.183.127,hosting,NL 
93.186.183.128,93.186.183.143,hosting,CA 
93.186.183.144,93.186.183.255,hosting,NL 
93.186.184.0,93.186.184.191,business,NL 
93.186.184.192,93.186.184.223,hosting,NL 
93.186.184.224,93.186.184.254,business,NL 
93.186.184.255,93.186.185.15,hosting,NL 
93.186.185.16,93.186.185.31,isp,NL 
93.186.185.32,93.186.185.119,hosting,NL 
93.186.185.120,93.186.185.139,business,NL 
93.186.185.140,93.186.185.159,hosting,NL 
93.186.185.160,93.186.185.191,business,NL 
93.186.185.192,93.186.187.255,hosting,NL 
93.186.188.0,93.186.188.63,business,NL 
93.186.188.64,93.186.188.87,hosting,NL 
93.186.188.88,93.186.188.95,business,NL 
93.186.188.96,93.186.188.175,hosting,NL 
93.186.188.176,93.186.188.191,isp,NL 
93.186.188.192,93.186.188.207,hosting,NL 
93.186.188.208,93.186.188.215,business,NL 
93.186.188.216,93.186.188.255,hosting,NL 
93.186.189.0,93.186.190.127,business,NL 
93.186.190.128,93.186.191.255,hosting,NL 
93.186.192.0,93.186.203.255,hosting,DE 
93.186.204.0,93.186.207.255,business,DE 
93.186.208.0,93.186.223.255,isp,GE 
93.186.224.0,93.186.239.255,business,RU 
93.186.240.0,93.186.246.143,hosting,IT 
93.186.246.144,93.186.246.159,isp,IT 
93.186.246.160,93.186.246.239,hosting,IT 
93.186.246.240,93.186.246.255,isp,IT 
93.186.247.0,93.186.247.255,hosting,IT 
93.186.248.0,93.186.248.255,business,IT 
93.186.249.0,93.186.255.255,hosting,IT 
