93.166.46.152,93.166.46.159,business,DK,AS3292 
93.166.46.160,93.166.122.143,isp,DK,AS3292 
93.166.122.144,93.166.122.151,business,DK,AS3292 
93.166.122.152,93.166.122.199,isp,DK,AS3292 
93.166.122.200,93.166.122.207,business,DK,AS3292 
93.166.122.208,93.166.150.231,isp,DK,AS3292 
93.166.150.232,93.166.150.239,business,DK,AS3292 
93.166.150.240,93.166.173.79,isp,DK,AS3292 
93.166.173.80,93.166.173.87,business,DK,AS3292 
93.166.173.88,93.166.250.103,isp,DK,AS3292 
93.166.250.104,93.166.250.111,business,DK,AS3292 
93.166.250.112,93.167.191.87,isp,DK,AS3292 
