93.109.0.0,93.109.211.31,isp,CY,AS6866 
93.109.211.32,93.109.211.63,business,CY,AS6866 
93.109.211.64,93.109.211.83,isp,CY,AS6866 
93.109.211.84,93.109.211.87,business,CY,AS6866 
93.109.211.88,93.109.216.255,isp,CY,AS6866 
93.109.217.0,93.109.217.255,isp,CY,AS206717 
93.109.218.0,93.109.223.255,isp,CY,AS6866 
93.109.224.0,93.109.225.255,hosting,CY,AS203598 
93.109.226.0,93.109.255.255,isp,CY,AS6866 
