202.128.0.0,202.128.31.255,isp,GU 
202.128.32.0,202.128.63.255,isp,PH 
202.128.64.0,202.128.95.255,isp,GU 
202.128.96.0,202.128.97.255,hosting,AU 
202.128.98.0,202.128.98.255,business,SG 
202.128.99.0,202.128.99.255,business,HK 
202.128.100.0,202.128.101.255,business,KR 
202.128.102.0,202.128.102.255,government,AU 
202.128.103.0,202.128.103.255,business,AU 
202.128.104.0,202.128.105.255,hosting,HK 
202.128.106.0,202.128.106.255,business,AU 
202.128.107.0,202.128.107.255,business,IN 
202.128.108.0,202.128.109.255,business,SC 
202.128.110.0,202.128.111.255,business,IN 
202.128.112.0,202.128.127.255,business,AU 
202.128.128.0,202.128.129.255,isp,HK 
202.128.130.0,202.128.130.63,isp,KR 
202.128.130.64,202.128.130.71,business,KR 
202.128.130.72,202.128.130.199,isp,KR 
202.128.130.200,202.128.130.207,isp,KE 
202.128.130.208,202.128.131.95,isp,KR 
202.128.131.96,202.128.131.127,business,KR 
202.128.131.128,202.128.136.255,isp,KR 
202.128.137.0,202.128.159.255,isp,HK 
202.128.160.0,202.128.160.63,business,SG 
202.128.160.64,202.128.161.255,isp,SG 
202.128.162.0,202.128.164.255,business,SG 
202.128.165.0,202.128.165.7,isp,SG 
202.128.165.8,202.128.168.191,business,SG 
202.128.168.192,202.128.168.255,isp,SG 
202.128.169.0,202.128.170.143,business,SG 
202.128.170.144,202.128.170.159,isp,SG 
202.128.170.160,202.128.170.255,business,SG 
202.128.171.0,202.128.172.255,isp,SG 
202.128.173.0,202.128.174.255,business,SG 
202.128.175.0,202.128.177.255,isp,SG 
202.128.178.0,202.128.179.255,business,SG 
202.128.180.0,202.128.180.255,isp,SG 
202.128.181.0,202.128.181.255,business,SG 
202.128.182.0,202.128.183.255,isp,SG 
202.128.184.0,202.128.184.255,business,SG 
202.128.185.0,202.128.185.255,isp,SG 
202.128.186.0,202.128.186.255,business,SG 
202.128.187.0,202.128.187.255,isp,SG 
202.128.188.0,202.128.188.255,business,SG 
202.128.189.0,202.128.193.255,isp,SG 
202.128.194.0,202.128.194.255,business,SG 
202.128.195.0,202.128.200.255,isp,SG 
202.128.201.0,202.128.203.63,business,SG 
202.128.203.64,202.128.204.255,isp,SG 
202.128.205.0,202.128.208.255,business,SG 
202.128.209.0,202.128.214.255,isp,SG 
202.128.215.0,202.128.216.255,business,SG 
202.128.217.0,202.128.217.255,isp,SG 
202.128.218.0,202.128.218.255,business,SG 
202.128.219.0,202.128.223.255,isp,SG 
202.128.224.0,202.128.255.255,business,HK 
