202.124.0.0,202.124.15.255,business,JP 
202.124.16.0,202.124.27.255,isp,CN 
202.124.28.0,202.124.31.255,business,HK 
202.124.32.0,202.124.47.255,isp,KH 
202.124.48.0,202.124.63.255,isp,JP 
202.124.64.0,202.124.95.255,isp,AU 
202.124.96.0,202.124.96.255,isp,NZ 
202.124.97.0,202.124.97.255,business,NZ 
202.124.98.0,202.124.98.127,isp,NZ 
202.124.98.128,202.124.99.255,business,NZ 
202.124.100.0,202.124.100.255,isp,NZ 
202.124.101.0,202.124.101.255,business,NZ 
202.124.102.0,202.124.102.255,isp,NZ 
202.124.103.0,202.124.103.95,business,NZ 
202.124.103.96,202.124.103.199,isp,NZ 
202.124.103.200,202.124.105.255,business,NZ 
202.124.106.0,202.124.107.255,isp,NZ 
202.124.108.0,202.124.109.255,business,NZ 
202.124.110.0,202.124.110.31,isp,NZ 
202.124.110.32,202.124.110.63,business,NZ 
202.124.110.64,202.124.110.255,isp,NZ 
202.124.111.0,202.124.111.255,business,NZ 
202.124.112.0,202.124.112.255,isp,NZ 
202.124.113.0,202.124.116.255,business,NZ 
202.124.117.0,202.124.117.255,isp,NZ 
202.124.118.0,202.124.118.255,business,NZ 
202.124.119.0,202.124.120.255,isp,NZ 
202.124.121.0,202.124.121.255,business,NZ 
202.124.122.0,202.124.123.255,isp,NZ 
202.124.124.0,202.124.124.255,business,NZ 
202.124.125.0,202.124.125.255,education,NZ 
202.124.126.0,202.124.127.255,isp,NZ 
202.124.128.0,202.124.130.255,isp,PH 
202.124.131.0,202.124.131.55,business,PH 
202.124.131.56,202.124.131.63,education,PH 
202.124.131.64,202.124.131.79,business,PH 
202.124.131.80,202.124.131.95,isp,PH 
202.124.131.96,202.124.131.119,business,PH 
202.124.131.120,202.124.131.127,isp,PH 
202.124.131.128,202.124.131.135,business,PH 
202.124.131.136,202.124.131.151,isp,PH 
202.124.131.152,202.124.131.159,business,PH 
202.124.131.160,202.124.131.175,isp,PH 
202.124.131.176,202.124.131.183,business,PH 
202.124.131.184,202.124.131.247,isp,PH 
202.124.131.248,202.124.131.255,business,PH 
202.124.132.0,202.124.132.15,isp,PH 
202.124.132.16,202.124.132.23,business,PH 
202.124.132.24,202.124.132.47,isp,PH 
202.124.132.48,202.124.132.63,business,PH 
202.124.132.64,202.124.132.87,isp,PH 
202.124.132.88,202.124.132.103,business,PH 
202.124.132.104,202.124.132.111,isp,PH 
202.124.132.112,202.124.132.119,business,PH 
202.124.132.120,202.124.132.159,isp,PH 
202.124.132.160,202.124.132.223,business,PH 
202.124.132.224,202.124.132.247,isp,PH 
202.124.132.248,202.124.132.255,business,PH 
202.124.133.0,202.124.133.191,isp,PH 
202.124.133.192,202.124.133.255,business,PH 
202.124.134.0,202.124.134.119,isp,PH 
202.124.134.120,202.124.134.127,education,PH 
202.124.134.128,202.124.134.151,business,PH 
202.124.134.152,202.124.135.63,isp,PH 
202.124.135.64,202.124.135.231,business,PH 
202.124.135.232,202.124.135.247,isp,PH 
202.124.135.248,202.124.136.127,business,PH 
202.124.136.128,202.124.136.191,isp,PH 
202.124.136.192,202.124.136.255,business,PH 
202.124.137.0,202.124.137.63,isp,PH 
202.124.137.64,202.124.137.191,business,PH 
202.124.137.192,202.124.137.199,education,PH 
202.124.137.200,202.124.137.223,business,PH 
202.124.137.224,202.124.137.239,isp,PH 
202.124.137.240,202.124.137.255,education,PH 
202.124.138.0,202.124.138.63,business,PH 
202.124.138.64,202.124.138.95,isp,PH 
202.124.138.96,202.124.138.103,business,PH 
202.124.138.104,202.124.138.135,isp,PH 
202.124.138.136,202.124.138.143,business,PH 
202.124.138.144,202.124.138.175,isp,PH 
202.124.138.176,202.124.138.207,business,PH 
202.124.138.208,202.124.138.223,isp,PH 
202.124.138.224,202.124.138.239,business,PH 
202.124.138.240,202.124.138.247,isp,PH 
202.124.138.248,202.124.139.7,business,PH 
202.124.139.8,202.124.139.15,isp,PH 
202.124.139.16,202.124.139.31,business,PH 
202.124.139.32,202.124.139.63,education,PH 
202.124.139.64,202.124.139.79,isp,PH 
202.124.139.80,202.124.139.95,business,PH 
202.124.139.96,202.124.139.143,isp,PH 
202.124.139.144,202.124.139.199,business,PH 
202.124.139.200,202.124.145.47,isp,PH 
202.124.145.48,202.124.145.63,business,PH 
202.124.145.64,202.124.145.95,isp,PH 
202.124.145.96,202.124.145.111,business,PH 
202.124.145.112,202.124.145.127,isp,PH 
202.124.145.128,202.124.145.223,business,PH 
202.124.145.224,202.124.145.239,isp,PH 
202.124.145.240,202.124.145.255,business,PH 
202.124.146.0,202.124.146.7,isp,PH 
202.124.146.8,202.124.146.15,business,PH 
202.124.146.16,202.124.146.31,isp,PH 
202.124.146.32,202.124.146.111,business,PH 
202.124.146.112,202.124.146.127,isp,PH 
202.124.146.128,202.124.146.135,business,PH 
202.124.146.136,202.124.146.151,isp,PH 
202.124.146.152,202.124.146.207,business,PH 
202.124.146.208,202.124.146.223,isp,PH 
202.124.146.224,202.124.146.239,business,PH 
202.124.146.240,202.124.147.79,isp,PH 
202.124.147.80,202.124.147.95,business,PH 
202.124.147.96,202.124.147.127,isp,PH 
202.124.147.128,202.124.147.143,education,PH 
202.124.147.144,202.124.149.255,isp,PH 
202.124.150.0,202.124.150.31,business,PH 
202.124.150.32,202.124.150.63,isp,PH 
202.124.150.64,202.124.150.71,business,PH 
202.124.150.72,202.124.150.79,isp,PH 
202.124.150.80,202.124.150.95,business,PH 
202.124.150.96,202.124.150.127,isp,PH 
202.124.150.128,202.124.150.191,business,PH 
202.124.150.192,202.124.150.223,isp,PH 
202.124.150.224,202.124.151.55,business,PH 
202.124.151.56,202.124.151.63,isp,PH 
202.124.151.64,202.124.151.127,education,PH 
202.124.151.128,202.124.152.255,isp,PH 
202.124.153.0,202.124.154.127,business,PH 
202.124.154.128,202.124.154.255,isp,PH 
202.124.155.0,202.124.155.255,business,PH 
202.124.156.0,202.124.156.255,isp,PH 
202.124.157.0,202.124.158.255,business,PH 
202.124.159.0,202.124.159.255,isp,PH 
202.124.160.0,202.124.178.31,isp,LK 
202.124.178.32,202.124.178.55,business,LK 
202.124.178.56,202.124.178.95,isp,LK 
202.124.178.96,202.124.178.111,business,LK 
202.124.178.112,202.124.178.175,isp,LK 
202.124.178.176,202.124.178.183,business,LK 
202.124.178.184,202.124.178.207,isp,LK 
202.124.178.208,202.124.178.215,business,LK 
202.124.178.216,202.124.191.255,isp,LK 
202.124.192.0,202.124.192.255,business,AU 
202.124.193.0,202.124.193.255,isp,PH 
202.124.194.0,202.124.194.255,business,IN 
202.124.195.0,202.124.195.255,hosting,AU 
202.124.196.0,202.124.197.255,business,ID 
202.124.198.0,202.124.199.255,education,ID 
202.124.200.0,202.124.201.255,business,TH 
202.124.202.0,202.124.202.255,education,AU 
202.124.203.0,202.124.203.255,business,ID 
202.124.204.0,202.124.204.255,hosting,VN 
202.124.205.0,202.124.205.255,education,ID 
202.124.206.0,202.124.207.255,hosting,AU 
202.124.208.0,202.124.212.255,business,JP 
202.124.213.0,202.124.213.15,education,JP 
202.124.213.16,202.124.220.127,business,JP 
202.124.220.128,202.124.220.143,education,JP 
202.124.220.144,202.124.223.31,business,JP 
202.124.223.32,202.124.223.47,education,JP 
202.124.223.48,202.124.223.255,business,JP 
202.124.224.0,202.124.239.255,isp,PW 
202.124.240.0,202.124.247.255,hosting,AU 
202.124.248.0,202.124.251.255,hosting,MY 
202.124.252.0,202.124.255.255,isp,PH 
