202.138.0.0,202.138.79.255,isp,AU 
202.138.80.0,202.138.95.255,business,JP 
202.138.96.0,202.138.98.255,business,IN 
202.138.99.0,202.138.99.255,isp,IN 
202.138.100.0,202.138.100.7,business,IN 
202.138.100.8,202.138.100.23,isp,IN 
202.138.100.24,202.138.100.31,business,IN 
202.138.100.32,202.138.100.39,isp,IN 
202.138.100.40,202.138.100.47,business,IN 
202.138.100.48,202.138.101.15,isp,IN 
202.138.101.16,202.138.101.55,business,IN 
202.138.101.56,202.138.101.63,isp,IN 
202.138.101.64,202.138.101.79,business,IN 
202.138.101.80,202.138.101.95,isp,IN 
202.138.101.96,202.138.101.135,business,IN 
202.138.101.136,202.138.101.159,isp,IN 
202.138.101.160,202.138.101.175,business,IN 
202.138.101.176,202.138.101.247,isp,IN 
202.138.101.248,202.138.113.255,business,IN 
202.138.114.0,202.138.114.255,isp,IN 
202.138.115.0,202.138.127.255,business,IN 
202.138.128.0,202.138.191.255,isp,PH 
202.138.192.0,202.138.193.31,isp,AU 
202.138.193.32,202.138.193.143,business,AU 
202.138.193.144,202.138.193.159,isp,AU 
202.138.193.160,202.138.193.191,business,AU 
202.138.193.192,202.138.193.255,isp,AU 
202.138.194.0,202.138.194.31,business,AU 
202.138.194.32,202.138.194.47,isp,AU 
202.138.194.48,202.138.194.95,business,AU 
202.138.194.96,202.138.194.159,isp,AU 
202.138.194.160,202.138.194.223,business,AU 
202.138.194.224,202.138.195.63,isp,AU 
202.138.195.64,202.138.195.111,business,AU 
202.138.195.112,202.138.195.127,isp,AU 
202.138.195.128,202.138.195.159,business,AU 
202.138.195.160,202.138.195.175,isp,AU 
202.138.195.176,202.138.195.191,business,AU 
202.138.195.192,202.138.195.239,isp,AU 
202.138.195.240,202.138.195.255,business,AU 
202.138.196.0,202.138.196.159,isp,AU 
202.138.196.160,202.138.196.175,business,AU 
202.138.196.176,202.138.196.223,isp,AU 
202.138.196.224,202.138.196.239,business,AU 
202.138.196.240,202.138.197.15,isp,AU 
202.138.197.16,202.138.197.31,business,AU 
202.138.197.32,202.138.197.47,isp,AU 
202.138.197.48,202.138.197.95,business,AU 
202.138.197.96,202.138.197.127,isp,AU 
202.138.197.128,202.138.197.159,business,AU 
202.138.197.160,202.138.197.191,isp,AU 
202.138.197.192,202.138.197.207,business,AU 
202.138.197.208,202.138.197.255,isp,AU 
202.138.198.0,202.138.198.79,business,AU 
202.138.198.80,202.138.198.191,isp,AU 
202.138.198.192,202.138.198.255,business,AU 
202.138.199.0,202.138.199.63,isp,AU 
202.138.199.64,202.138.199.127,business,AU 
202.138.199.128,202.138.200.255,isp,AU 
202.138.201.0,202.138.201.47,business,AU 
202.138.201.48,202.138.201.127,isp,AU 
202.138.201.128,202.138.201.143,business,AU 
202.138.201.144,202.138.201.175,isp,AU 
202.138.201.176,202.138.201.191,business,AU 
202.138.201.192,202.138.201.207,isp,AU 
202.138.201.208,202.138.201.223,business,AU 
202.138.201.224,202.138.202.127,isp,AU 
202.138.202.128,202.138.202.143,business,AU 
202.138.202.144,202.138.202.223,isp,AU 
202.138.202.224,202.138.202.239,business,AU 
202.138.202.240,202.138.202.255,isp,AU 
