202.231.0.0,202.231.63.255,education,JP,AS2907 
202.231.64.0,202.231.107.255,isp,JP,AS2519 
202.231.108.0,202.231.108.255,business,JP,AS2519 
202.231.109.0,202.231.109.127,isp,JP,AS2519 
202.231.109.128,202.231.109.255,business,JP,AS2519 
202.231.110.0,202.231.110.31,isp,JP,AS2519 
202.231.110.32,202.231.110.47,business,JP,AS2519 
202.231.110.48,202.231.127.255,isp,JP,AS2519 
202.231.128.0,202.231.155.255,isp,JP,AS4695 
202.231.156.0,202.231.156.255,hosting,JP,AS4695 
202.231.157.0,202.231.175.255,isp,JP,AS4695 
202.231.176.0,202.231.188.15,isp,JP,AS18278 
202.231.188.16,202.231.188.31,business,JP,AS18278 
202.231.188.32,202.231.188.103,isp,JP,AS18278 
202.231.188.104,202.231.188.111,business,JP,AS18278 
202.231.188.112,202.231.188.127,isp,JP,AS18278 
202.231.188.128,202.231.188.135,business,JP,AS18278 
202.231.188.136,202.231.189.71,isp,JP,AS18278 
202.231.189.72,202.231.189.79,education,JP,AS18278 
202.231.189.80,202.231.189.95,isp,JP,AS18278 
202.231.189.96,202.231.189.103,business,JP,AS18278 
202.231.189.104,202.231.189.175,isp,JP,AS18278 
202.231.189.176,202.231.189.183,education,JP,AS18278 
202.231.189.184,202.231.189.191,business,JP,AS18278 
202.231.189.192,202.231.191.255,isp,JP,AS18278 
202.231.192.0,202.231.193.255,isp,JP,AS4686 
202.231.194.0,202.231.194.255,business,JP,AS4686 
202.231.195.0,202.231.196.19,isp,JP,AS4686 
202.231.196.20,202.231.196.35,business,JP,AS4686 
202.231.196.36,202.231.199.127,isp,JP,AS4686 
202.231.199.128,202.231.199.191,business,JP,AS4686 
202.231.199.192,202.231.204.63,isp,JP,AS4686 
202.231.204.64,202.231.204.71,business,JP,AS4686 
202.231.204.72,202.231.204.175,isp,JP,AS4686 
202.231.204.176,202.231.204.191,business,JP,AS4686 
202.231.204.192,202.231.204.207,isp,JP,AS4686 
202.231.204.208,202.231.204.223,business,JP,AS4686 
202.231.204.224,202.231.204.255,isp,JP,AS4686 
202.231.205.0,202.231.205.31,business,JP,AS4686 
202.231.205.32,202.231.205.95,isp,JP,AS4686 
202.231.205.96,202.231.205.127,business,JP,AS4686 
202.231.205.128,202.231.205.143,isp,JP,AS4686 
202.231.205.144,202.231.205.159,business,JP,AS4686 
202.231.205.160,202.231.205.223,isp,JP,AS4686 
202.231.205.224,202.231.205.255,business,JP,AS4686 
202.231.206.0,202.231.206.79,isp,JP,AS4686 
202.231.206.80,202.231.206.87,business,JP,AS4686 
202.231.206.88,202.231.206.175,isp,JP,AS4686 
202.231.206.176,202.231.206.207,business,JP,AS4686 
202.231.206.208,202.231.206.239,isp,JP,AS4686 
202.231.206.240,202.231.207.255,business,JP,AS4686 
202.231.208.0,202.231.213.255,isp,JP,AS4686 
202.231.214.0,202.231.214.127,business,JP,AS4686 
202.231.214.128,202.231.223.255,isp,JP,AS4686 
202.231.224.0,202.231.224.63,business,JP,AS4686 
202.231.224.64,202.231.224.95,isp,JP,AS4686 
202.231.224.96,202.231.224.111,business,JP,AS4686 
