202.144.0.0,202.144.0.254,business,IN, 
202.144.0.255,202.144.4.255,isp,IN,AS9583 
202.144.5.0,202.144.5.254,business,IN, 
202.144.5.255,202.144.8.255,isp,IN,AS9583 
202.144.9.0,202.144.9.254,business,IN, 
202.144.9.255,202.144.18.255,isp,IN,AS9583 
202.144.19.0,202.144.19.254,business,IN, 
202.144.19.255,202.144.22.255,isp,IN,AS9583 
202.144.23.0,202.144.23.254,business,IN, 
202.144.23.255,202.144.99.255,isp,IN,AS9583 
202.144.100.0,202.144.100.254,business,IN, 
202.144.100.255,202.144.109.255,isp,IN,AS9583 
202.144.110.0,202.144.110.254,business,IN, 
202.144.110.255,202.144.127.255,isp,IN,AS9583 
202.144.128.0,202.144.136.135,isp,BT,AS18024 
202.144.136.136,202.144.136.255,isp,BT,AS17660 
202.144.137.0,202.144.141.119,isp,BT,AS18024 
202.144.141.120,202.144.141.127,isp,BT,AS17660 
202.144.141.128,202.144.141.159,isp,BT,AS18024 
202.144.141.160,202.144.141.167,isp,BT,AS17660 
202.144.141.168,202.144.142.211,isp,BT,AS18024 
202.144.142.212,202.144.142.223,isp,BT,AS17660 
202.144.142.224,202.144.142.239,isp,BT,AS18024 
202.144.142.240,202.144.142.255,isp,BT,AS17660 
202.144.143.0,202.144.143.111,isp,BT,AS18024 
202.144.143.112,202.144.143.127,business,BT,AS18024 
202.144.143.128,202.144.143.191,isp,BT,AS18024 
202.144.143.192,202.144.143.223,business,BT,AS18024 
202.144.143.224,202.144.144.143,isp,BT,AS18024 
202.144.144.144,202.144.144.159,isp,BT,AS17660 
202.144.144.160,202.144.144.207,isp,BT,AS18024 
202.144.144.208,202.144.144.223,isp,BT,AS17660 
202.144.144.224,202.144.145.255,isp,BT,AS18024 
202.144.146.0,202.144.146.15,isp,BT,AS17660 
202.144.146.16,202.144.146.31,isp,BT,AS18024 
202.144.146.32,202.144.146.47,isp,BT,AS17660 
202.144.146.48,202.144.146.63,business,BT,AS18024 
202.144.146.64,202.144.146.127,isp,BT,AS17660 
202.144.146.128,202.144.148.63,isp,BT,AS18024 
202.144.148.64,202.144.148.111,isp,BT,AS17660 
202.144.148.112,202.144.148.127,isp,BT,AS18024 
202.144.148.128,202.144.148.143,business,BT,AS18024 
202.144.148.144,202.144.148.175,isp,BT,AS18024 
202.144.148.176,202.144.148.191,education,BT,AS18024 
202.144.148.192,202.144.148.207,isp,BT,AS18024 
