202.157.0.0,202.157.63.255,business,JP 
202.157.64.0,202.157.95.255,isp,IN 
202.157.96.0,202.157.111.255,isp,JP 
202.157.112.0,202.157.127.255,business,JP 
202.157.128.0,202.157.128.63,business,SG 
202.157.128.64,202.157.128.103,hosting,SG 
202.157.128.104,202.157.128.119,business,SG 
202.157.128.120,202.157.128.127,hosting,SG 
202.157.128.128,202.157.128.175,business,SG 
202.157.128.176,202.157.128.191,hosting,SG 
202.157.128.192,202.157.128.255,business,SG 
202.157.129.0,202.157.175.255,hosting,SG 
202.157.176.0,202.157.177.255,hosting,ID 
202.157.178.0,202.157.181.255,hosting,AU 
202.157.182.0,202.157.183.255,hosting,MY 
202.157.184.0,202.157.189.255,hosting,ID 
202.157.190.0,202.157.191.255,business,MM 
202.157.192.0,202.157.223.255,isp,CN 
202.157.224.0,202.157.255.255,business,JP 
