202.189.0.0,202.189.3.255,business,CN,AS4847 
202.189.4.0,202.189.31.255,hosting,CN,AS139180 
202.189.32.0,202.189.63.255,business,CN, 
202.189.64.0,202.189.79.255,isp,AU,AS4826 
202.189.80.0,202.189.95.255,business,CN, 
202.189.96.0,202.189.127.255,education,HK,AS4528 
202.189.128.0,202.189.128.255,isp,KR,AS7473 
202.189.129.0,202.189.135.255,isp,SG,AS7473 
202.189.136.0,202.189.143.255,isp,HK,AS7473 
202.189.144.0,202.189.147.255,isp,JP,AS2514 
202.189.148.0,202.189.148.31,business,JP,AS2514 
202.189.148.32,202.189.148.159,isp,JP,AS2514 
202.189.148.160,202.189.148.191,business,JP,AS2514 
202.189.148.192,202.189.148.223,isp,JP,AS2514 
202.189.148.224,202.189.148.255,business,JP,AS2514 
202.189.149.0,202.189.153.63,isp,JP,AS2514 
202.189.153.64,202.189.153.255,business,JP,AS2514 
202.189.154.0,202.189.159.255,isp,JP,AS2514 
202.189.160.0,202.189.175.255,isp,NZ,AS9790 
202.189.176.0,202.189.181.191,hosting,JP,AS7671 
202.189.181.192,202.189.181.231,business,JP,AS7671 
202.189.181.232,202.189.182.127,hosting,JP,AS7671 
202.189.182.128,202.189.183.127,business,JP,AS7671 
202.189.183.128,202.189.183.255,hosting,JP,AS7671 
202.189.184.0,202.189.191.255,isp,CN, 
202.189.192.0,202.189.223.255,isp,JP,AS2519 
202.189.224.0,202.189.225.0,isp,IN,AS17762 
202.189.225.1,202.189.225.254,isp,IN,AS134540 
202.189.225.255,202.189.227.127,isp,IN,AS17762 
202.189.227.128,202.189.227.135,business,IN,AS17762 
202.189.227.136,202.189.230.235,isp,IN,AS17762 
202.189.230.236,202.189.230.255,isp,IN,AS134540 
202.189.231.0,202.189.231.191,isp,IN,AS17762 
202.189.231.192,202.189.231.199,isp,IN,AS134540 
202.189.231.200,202.189.231.203,business,IN,AS134540 
202.189.231.204,202.189.231.247,isp,IN,AS17762 
202.189.231.248,202.189.231.255,isp,IN,AS134540 
202.189.232.0,202.189.233.215,isp,IN,AS17762 
202.189.233.216,202.189.233.231,isp,IN,AS134540 
202.189.233.232,202.189.234.211,isp,IN,AS17762 
202.189.234.212,202.189.234.235,isp,IN,AS134540 
202.189.234.236,202.189.234.239,business,IN,AS134540 
202.189.234.240,202.189.234.251,isp,IN,AS17762 
202.189.234.252,202.189.234.255,business,IN,AS134540 
202.189.235.0,202.189.235.195,isp,IN,AS17762 
202.189.235.196,202.189.235.199,business,IN,AS17762 
202.189.235.200,202.189.235.235,isp,IN,AS17762 
202.189.235.236,202.189.235.239,business,IN,AS17762 
202.189.235.240,202.189.236.239,isp,IN,AS17762 
202.189.236.240,202.189.236.255,isp,IN,AS134540 
202.189.237.0,202.189.237.223,isp,IN,AS17762 
202.189.237.224,202.189.237.235,business,IN,AS17762 
202.189.237.236,202.189.237.243,isp,IN,AS17762 
202.189.237.244,202.189.237.247,business,IN,AS17762 
202.189.237.248,202.189.238.251,isp,IN,AS17762 
202.189.238.252,202.189.238.255,business,IN,AS134540 
202.189.239.0,202.189.239.203,isp,IN,AS17762 
202.189.239.204,202.189.239.215,business,IN,AS17762 
202.189.239.216,202.189.239.227,isp,IN,AS17762 
202.189.239.228,202.189.239.239,business,IN,AS17762 
202.189.239.240,202.189.240.219,isp,IN,AS17762 
202.189.240.220,202.189.240.231,isp,IN,AS134540 
202.189.240.232,202.189.240.235,isp,IN,AS17762 
202.189.240.236,202.189.240.247,isp,IN,AS134540 
202.189.240.248,202.189.240.251,isp,IN,AS17762 
202.189.240.252,202.189.240.255,isp,IN,AS134540 
202.189.241.0,202.189.241.99,isp,IN,AS17762 
202.189.241.100,202.189.241.103,isp,IN,AS134540 
202.189.241.104,202.189.241.179,isp,IN,AS17762 
202.189.241.180,202.189.241.183,business,IN,AS134540 
202.189.241.184,202.189.241.187,isp,IN,AS134540 
202.189.241.188,202.189.241.195,isp,IN,AS17762 
202.189.241.196,202.189.241.199,isp,IN,AS134540 
202.189.241.200,202.189.241.203,isp,IN,AS17762 
202.189.241.204,202.189.241.207,business,IN,AS134540 
202.189.241.208,202.189.241.211,isp,IN,AS134540 
202.189.241.212,202.189.241.215,isp,IN,AS17762 
202.189.241.216,202.189.241.219,business,IN,AS134540 
202.189.241.220,202.189.241.227,isp,IN,AS134540 
202.189.241.228,202.189.241.231,isp,IN,AS17762 
202.189.241.232,202.189.241.239,isp,IN,AS134540 
202.189.241.240,202.189.241.255,business,IN,AS134540 
202.189.242.0,202.189.242.123,isp,IN,AS17762 
202.189.242.124,202.189.242.127,isp,IN,AS134540 
202.189.242.128,202.189.242.235,isp,IN,AS17762 
202.189.242.236,202.189.242.239,isp,IN,AS134540 
202.189.242.240,202.189.242.247,business,IN,AS134540 
202.189.242.248,202.189.242.255,isp,IN,AS134540 
202.189.243.0,202.189.243.215,isp,IN,AS17762 
202.189.243.216,202.189.243.219,business,IN,AS17762 
202.189.243.220,202.189.243.239,isp,IN,AS17762 
202.189.243.240,202.189.243.247,business,IN,AS17762 
202.189.243.248,202.189.244.183,isp,IN,AS17762 
202.189.244.184,202.189.244.191,isp,IN,AS134540 
202.189.244.192,202.189.244.199,isp,IN,AS17762 
202.189.244.200,202.189.244.203,business,IN,AS134540 
202.189.244.204,202.189.244.211,isp,IN,AS17762 
202.189.244.212,202.189.244.215,business,IN,AS134540 
202.189.244.216,202.189.244.223,isp,IN,AS17762 
202.189.244.224,202.189.244.227,isp,IN,AS134540 
202.189.244.228,202.189.244.239,isp,IN,AS17762 
