202.161.0.0,202.161.31.255,isp,AU 
202.161.32.0,202.161.63.255,education,SG 
202.161.64.0,202.161.101.255,isp,AU 
202.161.102.0,202.161.102.23,business,AU 
202.161.102.24,202.161.102.27,isp,AU 
202.161.102.28,202.161.102.47,business,AU 
202.161.102.48,202.161.102.51,isp,AU 
202.161.102.52,202.161.102.87,business,AU 
202.161.102.88,202.161.102.91,isp,AU 
202.161.102.92,202.161.102.203,business,AU 
202.161.102.204,202.161.102.211,isp,AU 
202.161.102.212,202.161.102.251,business,AU 
202.161.102.252,202.161.109.255,isp,AU 
202.161.110.0,202.161.110.111,business,AU 
202.161.110.112,202.161.110.127,isp,AU 
202.161.110.128,202.161.110.239,business,AU 
202.161.110.240,202.161.117.255,isp,AU 
202.161.118.0,202.161.118.255,business,AU 
202.161.119.0,202.161.120.143,isp,AU 
202.161.120.144,202.161.120.147,business,AU 
202.161.120.148,202.161.127.103,isp,AU 
202.161.127.104,202.161.127.111,business,AU 
202.161.127.112,202.161.127.255,isp,AU 
202.161.128.0,202.161.134.255,business,US 
202.161.135.0,202.161.135.255,business,NP 
202.161.136.0,202.161.137.255,business,US 
202.161.138.0,202.161.138.255,isp,BD 
202.161.139.0,202.161.151.255,business,US 
202.161.152.0,202.161.152.255,business,BD 
202.161.153.0,202.161.158.255,business,US 
202.161.159.0,202.161.159.255,isp,NP 
202.161.160.0,202.161.175.255,isp,AU 
202.161.176.0,202.161.191.255,isp,BD 
202.161.192.0,202.161.251.255,business,JP 
202.161.252.0,202.161.255.255,isp,JP 
