202.171.0.0,202.171.30.255,business,ID,AS10217 
202.171.31.0,202.171.31.255,isp,ID,AS10217 
202.171.32.0,202.171.47.255,hosting,MY,AS23659 
202.171.48.0,202.171.63.255,isp,MY,AS24068 
202.171.64.0,202.171.79.255,isp,NC,AS17480 
202.171.80.0,202.171.95.255,isp,JP,AS18075 
202.171.96.0,202.171.111.255,isp,AU,AS24033 
202.171.112.0,202.171.127.255,isp,JP,AS9622 
202.171.128.0,202.171.133.127,business,JP,AS2514 
202.171.133.128,202.171.133.255,isp,JP,AS2514 
202.171.134.0,202.171.134.87,business,JP,AS2514 
202.171.134.88,202.171.134.95,isp,JP,AS2514 
202.171.134.96,202.171.134.223,business,JP,AS2514 
202.171.134.224,202.171.134.231,isp,JP,AS2514 
202.171.134.232,202.171.134.247,business,JP,AS2514 
202.171.134.248,202.171.134.255,isp,JP,AS2514 
202.171.135.0,202.171.135.87,business,JP,AS2514 
202.171.135.88,202.171.135.95,isp,JP,AS2514 
202.171.135.96,202.171.135.215,business,JP,AS2514 
202.171.135.216,202.171.135.223,isp,JP,AS2514 
202.171.135.224,202.171.135.255,business,JP,AS2514 
202.171.136.0,202.171.136.127,isp,JP,AS2514 
202.171.136.128,202.171.136.159,business,JP,AS2514 
202.171.136.160,202.171.136.167,isp,JP,AS2514 
202.171.136.168,202.171.137.127,business,JP,AS2514 
202.171.137.128,202.171.137.135,isp,JP,AS2514 
202.171.137.136,202.171.137.143,business,JP,AS2514 
202.171.137.144,202.171.137.151,education,JP,AS2514 
202.171.137.152,202.171.137.215,business,JP,AS2514 
202.171.137.216,202.171.137.223,isp,JP,AS2514 
202.171.137.224,202.171.138.191,business,JP,AS2514 
202.171.138.192,202.171.138.223,isp,JP,AS2514 
202.171.138.224,202.171.139.223,business,JP,AS2514 
202.171.139.224,202.171.139.231,isp,JP,AS2514 
202.171.139.232,202.171.139.247,business,JP,AS2514 
202.171.139.248,202.171.139.255,isp,JP,AS2514 
202.171.140.0,202.171.140.127,business,JP,AS2514 
202.171.140.128,202.171.140.135,isp,JP,AS2514 
202.171.140.136,202.171.141.87,business,JP,AS2514 
202.171.141.88,202.171.141.111,isp,JP,AS2514 
202.171.141.112,202.171.141.119,business,JP,AS2514 
202.171.141.120,202.171.141.127,isp,JP,AS2514 
202.171.141.128,202.171.141.167,business,JP,AS2514 
202.171.141.168,202.171.141.175,isp,JP,AS2514 
202.171.141.176,202.171.142.39,business,JP,AS2514 
202.171.142.40,202.171.142.47,isp,JP,AS2514 
202.171.142.48,202.171.142.103,business,JP,AS2514 
202.171.142.104,202.171.142.111,isp,JP,AS2514 
202.171.142.112,202.171.142.119,business,JP,AS2514 
202.171.142.120,202.171.142.127,isp,JP,AS2514 
202.171.142.128,202.171.143.15,business,JP,AS2514 
202.171.143.16,202.171.143.23,isp,JP,AS2514 
202.171.143.24,202.171.143.127,business,JP,AS2514 
202.171.143.128,202.171.143.143,isp,JP,AS2514 
202.171.143.144,202.171.144.231,business,JP,AS2514 
202.171.144.232,202.171.144.239,education,JP,AS2514 
202.171.144.240,202.171.144.247,isp,JP,AS2514 
202.171.144.248,202.171.145.191,business,JP,AS2514 
202.171.145.192,202.171.145.223,isp,JP,AS2514 
202.171.145.224,202.171.146.79,business,JP,AS2514 
202.171.146.80,202.171.146.95,isp,JP,AS2514 
202.171.146.96,202.171.146.127,business,JP,AS2514 
202.171.146.128,202.171.146.135,isp,JP,AS2514 
202.171.146.136,202.171.146.151,business,JP,AS2514 
202.171.146.152,202.171.146.159,isp,JP,AS2514 
202.171.146.160,202.171.146.239,business,JP,AS2514 
202.171.146.240,202.171.146.247,isp,JP,AS2514 
202.171.146.248,202.171.148.175,business,JP,AS2514 
202.171.148.176,202.171.148.191,isp,JP,AS2514 
202.171.148.192,202.171.149.143,business,JP,AS2514 
202.171.149.144,202.171.149.151,isp,JP,AS2514 
202.171.149.152,202.171.149.175,business,JP,AS2514 
202.171.149.176,202.171.149.191,isp,JP,AS2514 
202.171.149.192,202.171.149.199,business,JP,AS2514 
202.171.149.200,202.171.149.207,isp,JP,AS2514 
202.171.149.208,202.171.150.95,business,JP,AS2514 
202.171.150.96,202.171.150.111,education,JP,AS2514 
202.171.150.112,202.171.151.79,business,JP,AS2514 
202.171.151.80,202.171.151.95,isp,JP,AS2514 
202.171.151.96,202.171.151.127,business,JP,AS2514 
202.171.151.128,202.171.151.135,isp,JP,AS2514 
202.171.151.136,202.171.152.95,business,JP,AS2514 
202.171.152.96,202.171.152.111,isp,JP,AS2514 
202.171.152.112,202.171.153.47,business,JP,AS2514 
202.171.153.48,202.171.153.55,isp,JP,AS2514 
202.171.153.56,202.171.153.119,business,JP,AS2514 
202.171.153.120,202.171.153.127,isp,JP,AS2514 
202.171.153.128,202.171.153.151,business,JP,AS2514 
202.171.153.152,202.171.153.159,isp,JP,AS2514 
202.171.153.160,202.171.154.79,business,JP,AS2514 
202.171.154.80,202.171.154.87,isp,JP,AS2514 
202.171.154.88,202.171.154.175,business,JP,AS2514 
202.171.154.176,202.171.154.183,isp,JP,AS2514 
202.171.154.184,202.171.154.191,business,JP,AS2514 
202.171.154.192,202.171.154.199,isp,JP,AS2514 
202.171.154.200,202.171.154.215,business,JP,AS2514 
202.171.154.216,202.171.154.223,isp,JP,AS2514 
202.171.154.224,202.171.155.103,business,JP,AS2514 
202.171.155.104,202.171.155.111,isp,JP,AS2514 
202.171.155.112,202.171.156.199,business,JP,AS2514 
202.171.156.200,202.171.156.207,isp,JP,AS2514 
202.171.156.208,202.171.157.127,business,JP,AS2514 
202.171.157.128,202.171.157.151,isp,JP,AS2514 
202.171.157.152,202.171.158.31,business,JP,AS2514 
202.171.158.32,202.171.158.47,isp,JP,AS2514 
202.171.158.48,202.171.159.47,business,JP,AS2514 
202.171.159.48,202.171.159.55,isp,JP,AS2514 
202.171.159.56,202.171.159.63,business,JP,AS2514 
202.171.159.64,202.171.159.87,isp,JP,AS2514 
202.171.159.88,202.171.159.95,business,JP,AS2514 
202.171.159.96,202.171.159.103,isp,JP,AS2514 
202.171.159.104,202.171.159.135,business,JP,AS2514 
202.171.159.136,202.171.159.151,isp,JP,AS2514 
