59.148.196.162,59.148.196.162,business,HK,AS9269 
59.148.196.163,59.148.196.182,isp,HK,AS9269 
59.148.196.183,59.148.196.183,business,HK,AS9269 
59.148.196.184,59.148.196.246,isp,HK,AS9269 
59.148.196.247,59.148.196.247,business,HK,AS9269 
59.148.196.248,59.148.197.55,isp,HK,AS9269 
59.148.197.56,59.148.197.56,business,HK,AS9269 
59.148.197.57,59.148.199.153,isp,HK,AS9269 
59.148.199.154,59.148.199.154,business,HK,AS9269 
59.148.199.155,59.148.208.43,isp,HK,AS9269 
59.148.208.44,59.148.208.44,education,HK,AS9269 
59.148.208.45,59.148.208.90,isp,HK,AS9269 
59.148.208.91,59.148.208.91,business,HK,AS9269 
59.148.208.92,59.148.208.155,isp,HK,AS9269 
59.148.208.156,59.148.208.159,business,HK,AS9269 
59.148.208.160,59.148.210.15,isp,HK,AS9269 
59.148.210.16,59.148.210.19,business,HK,AS9269 
59.148.210.20,59.148.210.51,isp,HK,AS9269 
59.148.210.52,59.148.210.55,business,HK,AS9269 
59.148.210.56,59.148.211.111,isp,HK,AS9269 
59.148.211.112,59.148.211.115,business,HK,AS9269 
59.148.211.116,59.148.211.243,isp,HK,AS9269 
59.148.211.244,59.148.211.247,business,HK,AS9269 
59.148.211.248,59.148.212.79,isp,HK,AS9269 
59.148.212.80,59.148.212.87,business,HK,AS9269 
59.148.212.88,59.148.213.119,isp,HK,AS9269 
59.148.213.120,59.148.213.123,business,HK,AS9269 
59.148.213.124,59.148.214.39,isp,HK,AS9269 
59.148.214.40,59.148.214.47,business,HK,AS9269 
59.148.214.48,59.148.215.35,isp,HK,AS9269 
59.148.215.36,59.148.215.39,business,HK,AS9269 
59.148.215.40,59.148.215.43,isp,HK,AS9269 
59.148.215.44,59.148.215.47,business,HK,AS9269 
59.148.215.48,59.148.215.75,isp,HK,AS9269 
59.148.215.76,59.148.215.76,business,HK,AS9269 
59.148.215.77,59.148.215.163,isp,HK,AS9269 
59.148.215.164,59.148.215.167,business,HK,AS9269 
59.148.215.168,59.148.216.37,isp,HK,AS9269 
59.148.216.38,59.148.216.38,education,HK,AS9269 
59.148.216.39,59.148.216.104,isp,HK,AS9269 
59.148.216.105,59.148.216.105,business,HK,AS9269 
59.148.216.106,59.148.217.167,isp,HK,AS9269 
59.148.217.168,59.148.217.171,business,HK,AS9269 
59.148.217.172,59.148.217.175,isp,HK,AS9269 
59.148.217.176,59.148.217.179,business,HK,AS9269 
59.148.217.180,59.148.217.207,isp,HK,AS9269 
59.148.217.208,59.148.217.211,business,HK,AS9269 
59.148.217.212,59.148.218.39,isp,HK,AS9269 
59.148.218.40,59.148.218.43,business,HK,AS9269 
59.148.218.44,59.148.218.63,isp,HK,AS9269 
59.148.218.64,59.148.218.67,business,HK,AS9269 
59.148.218.68,59.148.218.95,isp,HK,AS9269 
59.148.218.96,59.148.218.99,business,HK,AS9269 
59.148.218.100,59.148.218.107,isp,HK,AS9269 
59.148.218.108,59.148.218.111,business,HK,AS9269 
59.148.218.112,59.148.218.207,isp,HK,AS9269 
59.148.218.208,59.148.218.211,business,HK,AS9269 
59.148.218.212,59.148.219.246,isp,HK,AS9269 
59.148.219.247,59.148.219.247,business,HK,AS9269 
59.148.219.248,59.148.219.249,isp,HK,AS9269 
59.148.219.250,59.148.219.250,business,HK,AS9269 
59.148.219.251,59.148.221.63,isp,HK,AS9269 
59.148.221.64,59.148.221.64,business,HK,AS9269 
59.148.221.65,59.148.222.24,isp,HK,AS9269 
59.148.222.25,59.148.222.25,business,HK,AS9269 
59.148.222.26,59.148.222.34,isp,HK,AS9269 
59.148.222.35,59.148.222.35,business,HK,AS9269 
59.148.222.36,59.148.222.70,isp,HK,AS9269 
59.148.222.71,59.148.222.71,business,HK,AS9269 
59.148.222.72,59.148.222.76,isp,HK,AS9269 
59.148.222.77,59.148.222.78,business,HK,AS9269 
59.148.222.79,59.148.222.133,isp,HK,AS9269 
59.148.222.134,59.148.222.134,business,HK,AS9269 
59.148.222.135,59.148.223.63,isp,HK,AS9269 
59.148.223.64,59.148.223.127,business,HK,AS9269 
59.148.223.128,59.148.224.55,isp,HK,AS9269 
59.148.224.56,59.148.224.56,education,HK,AS9269 
