59.157.2.0,59.157.7.255,business,JP 
59.157.8.0,59.157.127.255,isp,JP 
59.157.128.0,59.157.133.255,business,JP 
59.157.134.0,59.157.134.255,isp,JP 
59.157.135.0,59.157.135.255,business,JP 
59.157.136.0,59.157.136.23,isp,JP 
59.157.136.24,59.157.136.31,business,JP 
59.157.136.32,59.157.136.159,isp,JP 
59.157.136.160,59.157.138.255,business,JP 
59.157.139.0,59.157.140.191,isp,JP 
59.157.140.192,59.157.140.255,business,JP 
59.157.141.0,59.157.141.47,isp,JP 
59.157.141.48,59.157.141.63,business,JP 
59.157.141.64,59.157.141.111,isp,JP 
59.157.141.112,59.157.141.119,business,JP 
59.157.141.120,59.157.141.255,isp,JP 
59.157.142.0,59.157.143.255,business,JP 
59.157.144.0,59.157.148.255,isp,JP 
59.157.149.0,59.157.149.63,business,JP 
59.157.149.64,59.157.149.255,isp,JP 
59.157.150.0,59.157.150.31,business,JP 
59.157.150.32,59.157.151.111,isp,JP 
59.157.151.112,59.157.151.255,business,JP 
59.157.152.0,59.157.154.255,isp,JP 
59.157.155.0,59.157.155.7,business,JP 
59.157.155.8,59.157.155.15,isp,JP 
59.157.155.16,59.157.155.23,business,JP 
59.157.155.24,59.157.158.79,isp,JP 
59.157.158.80,59.157.158.95,business,JP 
59.157.158.96,59.157.159.127,isp,JP 
59.157.159.128,59.157.159.159,business,JP 
59.157.159.160,59.157.159.167,isp,JP 
59.157.159.168,59.157.159.199,business,JP 
59.157.159.200,59.157.168.175,isp,JP 
59.157.168.176,59.157.168.183,business,JP 
59.157.168.184,59.157.169.15,isp,JP 
59.157.169.16,59.157.169.23,business,JP 
59.157.169.24,59.157.169.167,isp,JP 
59.157.169.168,59.157.169.175,business,JP 
59.157.169.176,59.157.169.223,isp,JP 
59.157.169.224,59.157.169.239,business,JP 
59.157.169.240,59.157.170.143,isp,JP 
59.157.170.144,59.157.170.151,business,JP 
59.157.170.152,59.157.180.255,isp,JP 
59.157.181.0,59.157.181.7,business,JP 
59.157.181.8,59.157.181.31,isp,JP 
59.157.181.32,59.157.181.39,business,JP 
59.157.181.40,59.157.181.55,isp,JP 
59.157.181.56,59.157.181.71,business,JP 
59.157.181.72,59.157.181.103,isp,JP 
59.157.181.104,59.157.181.119,business,JP 
59.157.181.120,59.157.181.151,isp,JP 
59.157.181.152,59.157.181.159,business,JP 
59.157.181.160,59.157.181.175,isp,JP 
59.157.181.176,59.157.181.183,business,JP 
59.157.181.184,59.157.181.191,isp,JP 
59.157.181.192,59.157.181.199,business,JP 
59.157.181.200,59.157.182.7,isp,JP 
59.157.182.8,59.157.182.15,business,JP 
59.157.182.16,59.157.182.39,isp,JP 
59.157.182.40,59.157.182.47,business,JP 
59.157.182.48,59.157.182.55,isp,JP 
59.157.182.56,59.157.182.63,business,JP 
59.157.182.64,59.157.182.135,isp,JP 
59.157.182.136,59.157.182.143,business,JP 
59.157.182.144,59.157.182.175,isp,JP 
59.157.182.176,59.157.182.183,business,JP 
59.157.182.184,59.157.182.191,isp,JP 
59.157.182.192,59.157.182.199,business,JP 
59.157.182.200,59.157.186.71,isp,JP 
59.157.186.72,59.157.186.79,business,JP 
59.157.186.80,59.157.186.87,isp,JP 
59.157.186.88,59.157.186.95,business,JP 
59.157.186.96,59.157.186.119,isp,JP 
59.157.186.120,59.157.186.127,business,JP 
59.157.186.128,59.157.186.175,isp,JP 
59.157.186.176,59.157.186.183,business,JP 
59.157.186.184,59.157.186.255,isp,JP 
59.157.187.0,59.157.191.255,business,JP 
59.157.192.0,59.157.207.255,isp,JP 
59.157.208.0,59.157.233.255,business,JP 
59.157.234.0,59.157.235.255,isp,JP 
59.157.236.0,59.157.236.15,business,JP 
59.157.236.16,59.157.236.239,isp,JP 
59.157.236.240,59.157.236.255,business,JP 
59.157.237.0,59.157.237.255,isp,JP 
59.157.238.0,59.157.239.255,business,JP 
59.157.240.0,59.157.247.255,isp,JP 
59.157.248.0,59.157.253.255,business,JP 
59.157.254.0,59.157.254.127,isp,JP 
59.157.254.128,59.157.254.255,business,JP 
59.157.255.0,59.157.255.127,isp,JP 
59.157.255.128,59.157.255.191,business,JP 
59.157.255.192,59.158.1.159,isp,JP 
