218.107.0.0,218.107.7.255,business,CN,AS17622 
218.107.8.0,218.107.18.255,isp,CN,AS17622 
218.107.19.0,218.107.63.255,business,CN,AS17622 
218.107.64.0,218.107.127.255,isp,CN,AS9929 
218.107.128.0,218.107.128.15,business,CN,AS4808 
218.107.128.16,218.107.191.255,isp,CN,AS4808 
218.107.192.0,218.107.193.205,business,CN,AS4837 
218.107.193.206,218.107.193.207,isp,CN,AS4837 
218.107.193.208,218.107.193.223,business,CN,AS4837 
218.107.193.224,218.107.193.231,isp,CN,AS4837 
218.107.193.232,218.107.195.247,business,CN,AS4837 
218.107.195.248,218.107.195.255,isp,CN,AS4837 
218.107.196.0,218.107.196.15,business,CN,AS4837 
218.107.196.16,218.107.196.31,isp,CN,AS4837 
218.107.196.32,218.107.196.95,business,CN,AS4837 
218.107.196.96,218.107.196.96,isp,CN,AS4837 
218.107.196.97,218.107.196.192,business,CN,AS4837 
218.107.196.193,218.107.196.255,isp,CN,AS4837 
218.107.197.0,218.107.197.65,business,CN,AS4837 
218.107.197.66,218.107.197.94,isp,CN,AS4837 
218.107.197.95,218.107.197.139,business,CN,AS4837 
218.107.197.140,218.107.197.143,isp,CN,AS4837 
218.107.197.144,218.107.197.230,business,CN,AS4837 
218.107.197.231,218.107.197.231,isp,CN,AS4837 
218.107.197.232,218.107.197.255,business,CN,AS4837 
218.107.198.0,218.107.206.255,isp,CN,AS4837 
218.107.207.0,218.107.208.255,business,CN,AS4837 
218.107.209.0,218.107.216.4,isp,CN,AS4837 
218.107.216.5,218.107.216.6,business,CN,AS4837 
218.107.216.7,218.107.216.8,isp,CN,AS4837 
218.107.216.9,218.107.216.9,business,CN,AS4837 
218.107.216.10,218.107.216.20,isp,CN,AS4837 
218.107.216.21,218.107.216.21,business,CN,AS4837 
218.107.216.22,218.107.216.28,isp,CN,AS4837 
218.107.216.29,218.107.216.29,business,CN,AS4837 
218.107.216.30,218.107.216.31,isp,CN,AS4837 
218.107.216.32,218.107.216.63,business,CN,AS4837 
218.107.216.64,218.107.216.66,isp,CN,AS4837 
218.107.216.67,218.107.216.76,business,CN,AS4837 
218.107.216.77,218.107.216.95,isp,CN,AS4837 
218.107.216.96,218.107.216.159,business,CN,AS4837 
218.107.216.160,218.107.216.163,isp,CN,AS4837 
218.107.216.164,218.107.216.181,business,CN,AS4837 
218.107.216.182,218.107.216.182,isp,CN,AS4837 
218.107.216.183,218.107.216.183,business,CN,AS4837 
218.107.216.184,218.107.216.202,isp,CN,AS4837 
218.107.216.203,218.107.216.212,business,CN,AS4837 
218.107.216.213,218.107.216.223,isp,CN,AS4837 
218.107.216.224,218.107.216.239,business,CN,AS4837 
218.107.216.240,218.107.216.255,isp,CN,AS4837 
218.107.217.0,218.107.217.31,business,CN,AS4837 
218.107.217.32,218.107.217.255,isp,CN,AS4837 
218.107.218.0,218.107.218.168,business,CN,AS4837 
218.107.218.169,218.107.218.175,isp,CN,AS4837 
218.107.218.176,218.107.218.207,business,CN,AS4837 
218.107.218.208,218.107.218.223,isp,CN,AS4837 
218.107.218.224,218.107.219.23,business,CN,AS4837 
218.107.219.24,218.107.219.36,isp,CN,AS4837 
218.107.219.37,218.107.219.37,business,CN,AS4837 
218.107.219.38,218.107.219.255,isp,CN,AS4837 
218.107.220.0,218.107.220.215,business,CN,AS4837 
218.107.220.216,218.107.220.223,isp,CN,AS4837 
218.107.220.224,218.107.220.255,business,CN,AS4837 
218.107.221.0,218.107.221.255,isp,CN,AS4837 
218.107.222.0,218.107.223.255,business,CN,AS4837 
218.107.224.0,218.107.246.47,isp,CN,AS9929 
218.107.246.48,218.107.246.63,business,CN,AS9929 
218.107.246.64,218.107.254.73,isp,CN,AS9929 
218.107.254.74,218.107.254.74,business,CN,AS9929 
218.107.254.75,218.107.255.255,isp,CN,AS9929 
