218.247.0.0,218.247.31.255,business,CN,AS17964 
218.247.32.0,218.247.63.255,isp,CN,AS17816 
218.247.64.0,218.247.95.255,hosting,CN,AS139021 
218.247.96.0,218.247.127.255,business,CN,AS4808 
218.247.128.0,218.247.129.255,isp,CN,AS4808 
218.247.130.0,218.247.130.15,business,CN,AS4808 
218.247.130.16,218.247.130.63,isp,CN,AS4808 
218.247.130.64,218.247.130.127,business,CN,AS4808 
218.247.130.128,218.247.130.255,isp,CN,AS4808 
218.247.131.0,218.247.131.31,business,CN,AS4808 
218.247.131.32,218.247.131.95,isp,CN,AS4808 
218.247.131.96,218.247.131.127,business,CN,AS4808 
218.247.131.128,218.247.132.119,isp,CN,AS4808 
218.247.132.120,218.247.132.127,business,CN,AS4808 
218.247.132.128,218.247.133.255,isp,CN,AS4808 
218.247.134.0,218.247.135.255,business,CN,AS4808 
218.247.136.0,218.247.136.63,isp,CN,AS4808 
218.247.136.64,218.247.136.255,business,CN,AS4808 
218.247.137.0,218.247.137.63,isp,CN,AS4808 
218.247.137.64,218.247.137.95,business,CN,AS4808 
218.247.137.96,218.247.137.127,isp,CN,AS4808 
218.247.137.128,218.247.137.143,business,CN,AS4808 
218.247.137.144,218.247.137.151,isp,CN,AS4808 
218.247.137.152,218.247.137.223,business,CN,AS4808 
218.247.137.224,218.247.137.255,isp,CN,AS4808 
218.247.138.0,218.247.138.127,business,CN,AS4808 
218.247.138.128,218.247.138.159,isp,CN,AS4808 
218.247.138.160,218.247.138.191,business,CN,AS4808 
218.247.138.192,218.247.139.95,isp,CN,AS4808 
218.247.139.96,218.247.139.143,business,CN,AS4808 
218.247.139.144,218.247.139.191,isp,CN,AS4808 
218.247.139.192,218.247.139.223,business,CN,AS4808 
218.247.139.224,218.247.140.43,isp,CN,AS4808 
218.247.140.44,218.247.141.31,business,CN,AS4808 
218.247.141.32,218.247.141.47,isp,CN,AS4808 
218.247.141.48,218.247.141.255,business,CN,AS4808 
218.247.142.0,218.247.142.31,isp,CN,AS4808 
218.247.142.32,218.247.142.95,business,CN,AS4808 
218.247.142.96,218.247.142.227,isp,CN,AS4808 
218.247.142.228,218.247.142.255,business,CN,AS4808 
218.247.143.0,218.247.143.255,isp,CN,AS4808 
218.247.144.0,218.247.145.255,business,CN,AS4808 
218.247.146.0,218.247.146.123,isp,CN,AS4808 
218.247.146.124,218.247.146.127,business,CN,AS4808 
218.247.146.128,218.247.147.3,isp,CN,AS4808 
218.247.147.4,218.247.147.127,business,CN,AS4808 
218.247.147.128,218.247.147.207,isp,CN,AS4808 
218.247.147.208,218.247.147.211,business,CN,AS4808 
218.247.147.212,218.247.147.255,isp,CN,AS4808 
218.247.148.0,218.247.148.95,business,CN,AS4808 
218.247.148.96,218.247.148.103,isp,CN,AS4808 
218.247.148.104,218.247.148.111,business,CN,AS4808 
218.247.148.112,218.247.148.159,isp,CN,AS4808 
218.247.148.160,218.247.150.255,business,CN,AS4808 
218.247.151.0,218.247.151.103,isp,CN,AS4808 
218.247.151.104,218.247.151.127,business,CN,AS4808 
