140.101.31.240,140.101.31.255,business,GB 
140.101.32.0,140.101.62.255,business,US 
140.101.63.0,140.101.63.255,business,CA 
140.101.64.0,140.101.159.239,business,US 
140.101.159.240,140.101.159.255,business,SG 
140.101.160.0,140.101.160.255,business,PL 
140.101.161.0,140.101.161.255,hosting,AU 
140.101.162.0,140.101.162.239,business,US 
140.101.162.240,140.101.162.255,business,BR 
140.101.163.0,140.101.163.255,business,US 
140.101.164.0,140.101.164.255,hosting,US 
140.101.165.0,140.101.167.255,business,US 
140.101.168.0,140.101.168.255,hosting,US 
140.101.169.0,140.101.171.255,business,US 
140.101.172.0,140.101.175.255,hosting,DE 
140.101.176.0,140.101.207.239,business,US 
140.101.207.240,140.101.207.255,business,HK 
140.101.208.0,140.101.223.255,hosting,MY 
140.101.224.0,140.101.241.239,business,US 
140.101.241.240,140.101.241.255,business,AU 
140.101.242.0,140.102.255.255,business,US 
