110.173.48.0,110.173.63.255,business,HK 
110.173.64.0,110.173.95.255,isp,CN 
110.173.96.0,110.173.127.255,business,CN 
110.173.128.0,110.173.159.255,hosting,AU 
110.173.160.0,110.173.175.255,business,NZ 
110.173.176.0,110.173.191.255,hosting,IN 
110.173.192.0,110.173.223.255,business,CN 
110.173.224.0,110.173.225.127,hosting,AU 
110.173.225.128,110.173.225.255,business,AU 
110.173.226.0,110.173.227.255,hosting,AU 
110.173.228.0,110.173.231.255,business,AU 
110.173.232.0,110.173.239.255,isp,AU 
110.173.240.0,110.173.255.255,isp,JP 
