110.235.0.0,110.235.127.255,isp,HK,AS9269 
110.235.128.0,110.235.158.255,isp,PH,AS55821 
110.235.159.0,110.235.159.255,hosting,PH,AS152326 
110.235.160.0,110.235.191.255,isp,PH,AS55821 
110.235.192.0,110.235.215.255,isp,IN, 
110.235.216.0,110.235.219.255,business,IN,AS133982 
110.235.220.0,110.235.223.255,isp,KH,AS9902 
110.235.224.0,110.235.239.255,isp,IN,AS133982 
110.235.240.0,110.235.255.255,isp,KH,AS23673 
