96.241.21.64,96.241.21.95,business,US 
96.241.21.96,96.241.116.255,isp,US 
96.241.117.0,96.241.117.7,business,US 
96.241.117.8,96.241.175.31,isp,US 
96.241.175.32,96.241.175.39,business,US 
96.241.175.40,96.241.175.55,isp,US 
96.241.175.56,96.241.175.63,business,US 
96.241.175.64,96.241.175.87,isp,US 
96.241.175.88,96.241.175.103,business,US 
96.241.175.104,96.241.205.15,isp,US 
96.241.205.16,96.241.205.39,business,US 
96.241.205.40,96.241.223.39,isp,US 
96.241.223.40,96.241.223.55,business,US 
96.241.223.56,96.241.223.63,isp,US 
96.241.223.64,96.241.223.79,business,US 
96.241.223.80,96.241.230.15,isp,US 
96.241.230.16,96.241.230.31,business,US 
96.241.230.32,96.241.230.47,isp,US 
96.241.230.48,96.241.230.55,business,US 
96.241.230.56,96.241.230.63,isp,US 
96.241.230.64,96.241.230.79,business,US 
96.241.230.80,96.241.230.87,isp,US 
96.241.230.88,96.241.230.95,business,US 
96.241.230.96,96.241.230.127,isp,US 
96.241.230.128,96.241.230.135,business,US 
96.241.230.136,96.242.3.39,isp,US 
