96.125.0.0,96.125.127.255,education,US,AS2055 
96.125.128.0,96.125.143.255,isp,CA,AS7311 
96.125.144.0,96.125.159.255,business,DE, 
96.125.160.0,96.125.165.255,hosting,US,AS19871 
96.125.166.0,96.125.166.42,business,US, 
96.125.166.43,96.125.166.43,education,US, 
96.125.166.44,96.125.166.226,business,US, 
96.125.166.227,96.125.166.227,isp,US, 
96.125.166.228,96.125.167.10,business,US, 
96.125.167.11,96.125.167.11,education,US, 
96.125.167.12,96.125.167.255,business,US, 
96.125.168.0,96.125.173.255,hosting,US,AS19871 
96.125.174.0,96.125.175.255,hosting,US,AS46606 
96.125.176.0,96.125.177.255,hosting,CA,AS13768 
96.125.178.0,96.125.179.255,hosting,US,AS13767 
96.125.180.0,96.125.191.255,hosting,CA,AS13768 
96.125.192.0,96.125.207.255,isp,CA,AS40864 
96.125.208.0,96.125.208.31,isp,CA,AS21724 
96.125.208.32,96.125.208.39,isp,,AS21724 
96.125.208.40,96.125.210.135,isp,CA,AS21724 
96.125.210.136,96.125.210.143,isp,,AS21724 
96.125.210.144,96.125.210.175,isp,CA,AS21724 
96.125.210.176,96.125.210.183,isp,,AS21724 
96.125.210.184,96.125.213.183,isp,CA,AS21724 
96.125.213.184,96.125.213.191,isp,,AS21724 
96.125.213.192,96.125.213.199,isp,CA,AS21724 
96.125.213.200,96.125.213.207,isp,,AS21724 
96.125.213.208,96.125.215.151,isp,CA,AS21724 
96.125.215.152,96.125.215.159,isp,,AS21724 
96.125.215.160,96.125.218.31,isp,CA,AS21724 
96.125.218.32,96.125.218.39,isp,,AS21724 
96.125.218.40,96.125.219.71,isp,CA,AS21724 
96.125.219.72,96.125.219.79,isp,,AS21724 
96.125.219.80,96.125.220.23,isp,CA,AS21724 
96.125.220.24,96.125.220.31,isp,,AS21724 
96.125.220.32,96.125.220.103,isp,CA,AS21724 
96.125.220.104,96.125.220.111,isp,,AS21724 
96.125.220.112,96.125.220.255,isp,CA,AS21724 
96.125.221.0,96.125.221.7,isp,,AS21724 
96.125.221.8,96.125.221.95,isp,CA,AS21724 
96.125.221.96,96.125.221.103,isp,,AS21724 
96.125.221.104,96.125.221.167,isp,CA,AS21724 
96.125.221.168,96.125.221.175,isp,,AS21724 
96.125.221.176,96.125.223.239,isp,CA,AS21724 
96.125.223.240,96.125.223.247,isp,,AS21724 
96.125.223.248,96.125.223.255,isp,CA,AS21724 
96.125.224.0,96.125.239.255,isp,US,AS27221 
96.125.240.0,96.125.255.255,isp,CA,AS803 
