129.232.0.0,129.232.127.255,isp,LS,AS33567 
129.232.128.0,129.232.139.255,hosting,ZA,AS37153 
129.232.140.0,129.232.140.255,business,ZA,AS37153 
129.232.141.0,129.232.221.255,hosting,ZA,AS37153 
129.232.222.0,129.232.222.255,business,ZA,AS37153 
129.232.223.0,129.232.247.255,hosting,ZA,AS37153 
129.232.248.0,129.232.248.255,isp,ZA,AS37153 
129.232.249.0,129.232.249.255,business,ZA,AS37153 
129.232.250.0,129.232.253.255,hosting,ZA,AS37153 
129.232.254.0,129.232.255.255,business,ZA,AS37153 
