69.147.0.0,69.147.1.255,education,US,AS36037 
69.147.2.0,69.147.2.255,education,US,AS6461 
69.147.3.0,69.147.3.255,education,US,AS17025 
69.147.4.0,69.147.4.255,education,US,AS36037 
69.147.5.0,69.147.5.255,education,US,AS17025 
69.147.6.0,69.147.63.255,education,US,AS36037 
69.147.64.0,69.147.127.255,business,US,AS10310 
69.147.128.0,69.147.129.255,business,US,AS209 
69.147.130.0,69.147.130.255,isp,US,AS209 
69.147.131.0,69.147.131.255,business,US,AS209 
69.147.132.0,69.147.132.135,isp,US,AS209 
69.147.132.136,69.147.132.143,business,US,AS23126 
69.147.132.144,69.147.132.159,isp,US,AS23126 
69.147.132.160,69.147.132.215,isp,US,AS209 
69.147.132.216,69.147.132.223,isp,US,AS23126 
69.147.132.224,69.147.132.231,business,US,AS23126 
69.147.132.232,69.147.132.247,isp,US,AS23126 
69.147.132.248,69.147.133.87,isp,US,AS209 
69.147.133.88,69.147.133.111,isp,US,AS23126 
69.147.133.112,69.147.133.127,business,US,AS23126 
69.147.133.128,69.147.133.135,isp,US,AS209 
69.147.133.136,69.147.133.151,isp,US,AS23126 
69.147.133.152,69.147.133.159,business,US,AS23126 
69.147.133.160,69.147.133.167,isp,US,AS23126 
69.147.133.168,69.147.133.175,business,US,AS23126 
69.147.133.176,69.147.133.183,isp,US,AS209 
69.147.133.184,69.147.133.199,isp,US,AS23126 
69.147.133.200,69.147.133.207,business,US,AS23126 
69.147.133.208,69.147.133.223,isp,US,AS23126 
69.147.133.224,69.147.133.255,business,US,AS23126 
69.147.134.0,69.147.134.255,isp,US,AS23126 
69.147.135.0,69.147.138.255,isp,US,AS209 
69.147.139.0,69.147.139.255,education,US,AS209 
69.147.140.0,69.147.141.95,isp,US,AS209 
69.147.141.96,69.147.141.127,business,US,AS22561 
69.147.141.128,69.147.142.255,isp,US,AS209 
69.147.143.0,69.147.143.255,business,US,AS209 
69.147.144.0,69.147.144.255,business,US,AS5006 
69.147.145.0,69.147.147.47,isp,US,AS209 
69.147.147.48,69.147.147.63,isp,US,AS23126 
69.147.147.64,69.147.151.255,isp,US,AS209 
69.147.152.0,69.147.152.255,business,US,AS22561 
69.147.153.0,69.147.153.255,business,US,AS209 
69.147.154.0,69.147.157.119,isp,US,AS209 
69.147.157.120,69.147.157.127,business,US,AS23126 
69.147.157.128,69.147.158.207,isp,US,AS209 
69.147.158.208,69.147.158.223,business,US,AS23126 
69.147.158.224,69.147.159.255,isp,US,AS209 
69.147.160.0,69.147.160.255,hosting,US,AS17378 
69.147.161.0,69.147.161.7,business,US,AS17378 
69.147.161.8,69.147.161.63,hosting,US,AS17378 
69.147.161.64,69.147.161.127,business,US,AS17378 
69.147.161.128,69.147.164.63,hosting,US,AS17378 
69.147.164.64,69.147.164.87,business,US,AS17378 
69.147.164.88,69.147.164.95,hosting,US,AS17378 
69.147.164.96,69.147.164.111,business,US,AS17378 
69.147.164.112,69.147.164.127,hosting,US,AS17378 
69.147.164.128,69.147.164.135,business,US,AS17378 
69.147.164.136,69.147.164.143,hosting,US,AS17378 
69.147.164.144,69.147.164.151,business,US,AS17378 
69.147.164.152,69.147.164.167,hosting,US,AS17378 
69.147.164.168,69.147.164.191,business,US,AS17378 
69.147.164.192,69.147.164.207,hosting,US,AS17378 
69.147.164.208,69.147.164.215,business,US,AS17378 
69.147.164.216,69.147.164.223,hosting,US,AS17378 
69.147.164.224,69.147.164.239,business,US,AS17378 
69.147.164.240,69.147.164.247,hosting,US,AS17378 
69.147.164.248,69.147.164.255,business,US,AS17378 
69.147.165.0,69.147.166.27,hosting,US,AS17378 
69.147.166.28,69.147.166.31,business,US,AS17378 
69.147.166.32,69.147.166.79,hosting,US,AS17378 
69.147.166.80,69.147.166.87,business,US,AS17378 
69.147.166.88,69.147.166.159,hosting,US,AS17378 
69.147.166.160,69.147.166.191,business,US,AS17378 
69.147.166.192,69.147.166.255,hosting,US,AS17378 
69.147.167.0,69.147.167.63,business,US,AS17378 
69.147.167.64,69.147.167.95,hosting,US,AS17378 
69.147.167.96,69.147.167.111,business,US,AS17378 
69.147.167.112,69.147.167.127,hosting,US,AS17378 
69.147.167.128,69.147.167.255,business,US,AS17378 
69.147.168.0,69.147.168.95,hosting,US,AS17378 
69.147.168.96,69.147.168.127,education,US,AS17378 
69.147.168.128,69.147.168.199,hosting,US,AS17378 
69.147.168.200,69.147.168.207,education,US,AS17378 
69.147.168.208,69.147.168.255,hosting,US,AS17378 
69.147.169.0,69.147.169.7,education,US,AS17378 
69.147.169.8,69.147.169.47,hosting,US,AS17378 
69.147.169.48,69.147.169.55,business,US,AS17378 
69.147.169.56,69.147.169.63,hosting,US,AS17378 
69.147.169.64,69.147.169.71,business,US,AS17378 
69.147.169.72,69.147.169.79,education,US,AS17378 
