79.173.0.0,79.173.63.255,business,PL,AS39834 
79.173.64.0,79.173.67.255,isp,RU,AS43966 
79.173.68.0,79.173.71.255,isp,RU,AS196726 
79.173.72.0,79.173.73.255,business,RU, 
79.173.74.0,79.173.76.255,isp,RU,AS31277 
79.173.77.0,79.173.77.255,business,RU,AS43966 
79.173.78.0,79.173.78.255,business,RU,AS43951 
79.173.79.0,79.173.79.255,isp,RU,AS50741 
79.173.80.0,79.173.95.255,business,RU,AS43966 
79.173.96.0,79.173.99.255,isp,RU,AS48234 
79.173.100.0,79.173.103.255,business,RU,AS48234 
79.173.104.0,79.173.111.255,isp,RU,AS41058 
79.173.112.0,79.173.127.255,business,RU,AS44270 
79.173.128.0,79.173.128.255,isp,GB,AS5631 
79.173.129.0,79.173.129.55,business,GB,AS5631 
79.173.129.56,79.173.129.119,isp,GB,AS5631 
79.173.129.120,79.173.129.127,business,DE,AS5631 
79.173.129.128,79.173.130.255,isp,GB,AS5631 
79.173.131.0,79.173.131.7,business,GB,AS5631 
79.173.131.8,79.173.132.255,isp,GB,AS5631 
79.173.133.0,79.173.133.31,business,GB,AS5631 
79.173.133.32,79.173.133.63,business,DE,AS5631 
79.173.133.64,79.173.133.255,isp,GB,AS5631 
79.173.134.0,79.173.134.143,business,GB,AS5631 
79.173.134.144,79.173.134.151,business,NO,AS5631 
79.173.134.152,79.173.138.167,business,GB,AS5631 
79.173.138.168,79.173.138.183,business,DE,AS5631 
79.173.138.184,79.173.138.191,business,GB,AS5631 
79.173.138.192,79.173.138.207,business,DE,AS5631 
79.173.138.208,79.173.140.31,business,GB,AS5631 
79.173.140.32,79.173.140.63,business,DE,AS5631 
79.173.140.64,79.173.140.159,business,GB,AS5631 
79.173.140.160,79.173.140.191,isp,GB,AS5631 
79.173.140.192,79.173.141.15,business,GB,AS5631 
79.173.141.16,79.173.141.19,isp,GB,AS5631 
79.173.141.20,79.173.142.55,business,GB,AS5631 
79.173.142.56,79.173.142.63,isp,GB,AS5631 
79.173.142.64,79.173.142.71,business,GB,AS5631 
79.173.142.72,79.173.142.79,isp,GB,AS5631 
79.173.142.80,79.173.142.95,business,DE,AS5631 
79.173.142.96,79.173.143.127,business,GB,AS5631 
79.173.143.128,79.173.143.143,isp,GB,AS5631 
79.173.143.144,79.173.144.63,business,GB,AS5631 
79.173.144.64,79.173.144.71,isp,GB,AS5631 
79.173.144.72,79.173.144.87,business,GB,AS5631 
79.173.144.88,79.173.144.95,isp,GB,AS5631 
79.173.144.96,79.173.144.127,business,GB,AS5631 
79.173.144.128,79.173.144.135,isp,GB,AS5631 
