79.132.0.0,79.132.31.255,isp,BG,AS29084 
79.132.32.0,79.132.63.255,isp,FR,AS43763 
79.132.64.0,79.132.95.255,isp,DE,AS62387 
79.132.96.0,79.132.98.255,isp,RU,AS15774 
79.132.99.0,79.132.99.15,business,RU,AS15774 
79.132.99.16,79.132.99.31,isp,RU,AS15774 
79.132.99.32,79.132.99.47,business,RU,AS15774 
79.132.99.48,79.132.99.127,isp,RU,AS15774 
79.132.99.128,79.132.99.255,business,RU,AS15774 
79.132.100.0,79.132.101.255,isp,RU,AS15774 
79.132.102.0,79.132.102.255,business,RU,AS15774 
79.132.103.0,79.132.127.255,isp,RU,AS15774 
79.132.128.0,79.132.129.255,hosting,NL,AS58329 
79.132.130.0,79.132.130.255,hosting,DE,AS39378 
79.132.131.0,79.132.131.255,business,DE, 
79.132.132.0,79.132.133.255,hosting,NL,AS58329 
79.132.134.0,79.132.134.255,business,DE, 
79.132.135.0,79.132.135.255,hosting,ES,AS200220 
79.132.136.0,79.132.136.255,hosting,DE,AS44051 
79.132.137.0,79.132.137.255,hosting,NL,AS58329 
79.132.138.0,79.132.138.255,hosting,DE,AS44051 
79.132.139.0,79.132.139.255,hosting,NL,AS58329 
79.132.140.0,79.132.140.255,hosting,DE,AS44051 
79.132.141.0,79.132.141.255,hosting,CH,AS51395 
79.132.142.0,79.132.143.255,hosting,DE,AS44051 
79.132.144.0,79.132.159.255,isp,FR,AS44407 
79.132.160.0,79.132.175.255,isp,LT,AS24852 
79.132.176.0,79.132.191.255,isp,DE,AS62387 
79.132.192.0,79.132.193.255,hosting,IR,AS31476 
79.132.194.0,79.132.194.255,hosting,IQ,AS211181 
79.132.195.0,79.132.195.255,isp,IQ, 
79.132.196.0,79.132.199.255,isp,IQ,AS57324 
79.132.200.0,79.132.203.255,isp,IR,AS206065 
79.132.204.0,79.132.215.255,hosting,IR,AS24631 
79.132.216.0,79.132.219.255,isp,IR,AS206065 
79.132.220.0,79.132.223.255,hosting,IR,AS24631 
79.132.224.0,79.132.254.255,isp,BE,AS9031 
79.132.255.0,79.132.255.255,isp,BE,AS60853 
