79.127.0.0,79.127.43.255,hosting,IR,AS43754 
79.127.44.0,79.127.45.255,isp,IR,AS44400 
79.127.46.0,79.127.46.255,business,IR,AS43415 
79.127.47.0,79.127.59.255,hosting,IR,AS43754 
79.127.60.0,79.127.61.255,isp,IR,AS44400 
79.127.62.0,79.127.63.255,hosting,IR,AS43754 
79.127.64.0,79.127.64.255,business,IR,AS61209 
79.127.65.0,79.127.65.255,business,IR,AS34837 
79.127.66.0,79.127.72.255,hosting,IR,AS43754 
79.127.73.0,79.127.73.255,business,IR,AS214263 
79.127.74.0,79.127.127.255,hosting,IR,AS43754 
79.127.128.0,79.127.128.255,hosting,NL,AS212238 
79.127.129.0,79.127.129.255,hosting,JP,AS212238 
79.127.130.0,79.127.130.255,business,AU, 
79.127.131.0,79.127.131.255,hosting,PT,AS212238 
79.127.132.0,79.127.132.255,hosting,US,AS212238 
79.127.133.0,79.127.133.255,business,HU, 
79.127.134.0,79.127.134.255,hosting,FR,AS212238 
79.127.135.0,79.127.135.255,hosting,AU,AS212238 
79.127.136.0,79.127.136.255,hosting,US,AS212238 
79.127.137.0,79.127.137.255,hosting,BR,AS60068 
79.127.138.0,79.127.138.255,hosting,FR,AS60068 
79.127.139.0,79.127.139.255,hosting,ES,AS212238 
79.127.140.0,79.127.140.255,hosting,NL,AS60068 
79.127.141.0,79.127.141.255,hosting,DE,AS212238 
79.127.142.0,79.127.142.255,business,GB, 
79.127.143.0,79.127.143.255,hosting,AU,AS60068 
79.127.144.0,79.127.144.255,hosting,HR,AS212238 
79.127.145.0,79.127.146.255,hosting,GB,AS212238 
79.127.147.0,79.127.147.255,hosting,US,AS212238 
79.127.148.0,79.127.148.255,hosting,US,AS60068 
79.127.149.0,79.127.149.255,hosting,NG,AS212238 
79.127.150.0,79.127.150.255,hosting,NO,AS212238 
79.127.151.0,79.127.151.255,hosting,NO,AS60068 
79.127.152.0,79.127.152.255,hosting,CL,AS60068 
79.127.153.0,79.127.153.255,hosting,GB,AS60068 
79.127.154.0,79.127.154.255,hosting,CZ,AS212238 
79.127.155.0,79.127.155.255,hosting,GB,AS60068 
79.127.156.0,79.127.156.255,hosting,DE,AS212238 
79.127.157.0,79.127.157.255,hosting,GB,AS60068 
79.127.158.0,79.127.158.255,hosting,JP,AS60068 
79.127.159.0,79.127.159.255,hosting,GB,AS60068 
79.127.160.0,79.127.160.255,business,US, 
79.127.161.0,79.127.190.255,hosting,GB,AS60068 
79.127.191.0,79.127.193.255,business,GB, 
79.127.194.0,79.127.195.255,hosting,GB,AS60068 
79.127.196.0,79.127.196.255,hosting,FR,AS60068 
79.127.197.0,79.127.197.255,hosting,US,AS60068 
79.127.198.0,79.127.198.255,hosting,GB,AS60068 
79.127.199.0,79.127.199.255,hosting,US,AS60068 
79.127.200.0,79.127.200.255,hosting,CA,AS60068 
79.127.201.0,79.127.202.255,hosting,US,AS60068 
79.127.203.0,79.127.203.255,hosting,NL,AS60068 
79.127.204.0,79.127.204.255,hosting,CZ,AS60068 
79.127.205.0,79.127.206.255,hosting,US,AS60068 
79.127.207.0,79.127.207.255,hosting,CH,AS60068 
79.127.208.0,79.127.208.255,hosting,BR,AS60068 
79.127.209.0,79.127.209.255,hosting,CL,AS60068 
79.127.210.0,79.127.211.255,hosting,DE,AS60068 
79.127.212.0,79.127.212.255,hosting,IE,AS60068 
79.127.213.0,79.127.213.255,hosting,SG,AS60068 
79.127.214.0,79.127.214.255,hosting,CO,AS60068 
79.127.215.0,79.127.215.255,hosting,FR,AS60068 
79.127.216.0,79.127.216.255,hosting,DE,AS60068 
79.127.217.0,79.127.217.255,hosting,US,AS60068 
79.127.218.0,79.127.218.255,hosting,GR,AS60068 
79.127.219.0,79.127.223.255,hosting,US,AS60068 
79.127.224.0,79.127.224.255,hosting,BE,AS60068 
79.127.225.0,79.127.225.255,hosting,HK,AS60068 
79.127.226.0,79.127.226.255,hosting,DE,AS60068 
79.127.227.0,79.127.227.255,hosting,NL,AS60068 
79.127.228.0,79.127.228.255,business,IT, 
79.127.229.0,79.127.229.255,hosting,MX,AS60068 
79.127.230.0,79.127.230.255,hosting,SG,AS60068 
79.127.231.0,79.127.232.255,hosting,US,AS60068 
79.127.233.0,79.127.233.255,hosting,CA,AS60068 
79.127.234.0,79.127.234.255,hosting,US,AS60068 
79.127.235.0,79.127.235.255,hosting,SG,AS60068 
79.127.236.0,79.127.237.255,hosting,GB,AS60068 
79.127.238.0,79.127.238.255,hosting,US,AS60068 
79.127.239.0,79.127.239.255,hosting,NL,AS60068 
79.127.240.0,79.127.241.255,hosting,DE,AS60068 
79.127.242.0,79.127.243.255,hosting,US,AS60068 
79.127.244.0,79.127.244.255,hosting,CA,AS60068 
79.127.245.0,79.127.245.255,hosting,US,AS60068 
79.127.246.0,79.127.246.255,hosting,IT,AS60068 
79.127.247.0,79.127.247.255,hosting,ES,AS60068 
79.127.248.0,79.127.248.255,hosting,US,AS60068 
79.127.249.0,79.127.249.255,hosting,SE,AS60068 
79.127.250.0,79.127.251.255,hosting,US,AS60068 
79.127.252.0,79.127.252.255,hosting,PE,AS60068 
79.127.253.0,79.127.253.255,hosting,DE,AS60068 
79.127.254.0,79.127.254.255,hosting,CA,AS60068 
79.127.255.0,79.127.255.255,hosting,GB,AS60068 
