79.134.0.0,79.134.31.255,business,RU,AS8427 
79.134.32.0,79.134.47.255,isp,KZ,AS39824 
79.134.48.0,79.134.55.255,isp,BG,AS25076 
79.134.56.0,79.134.63.255,isp,BG,AS42459 
79.134.64.0,79.134.84.255,business,RU,AS42132 
79.134.85.0,79.134.86.255,isp,RU,AS42132 
79.134.87.0,79.134.90.255,business,RU, 
79.134.91.0,79.134.95.255,business,RU,AS42132 
79.134.96.0,79.134.127.255,hosting,FI,AS16302 
79.134.128.0,79.134.159.255,isp,JO,AS44702 
79.134.160.0,79.134.164.255,business,BG,AS12829 
79.134.165.0,79.134.165.255,isp,BG,AS12829 
79.134.166.0,79.134.166.255,business,BG,AS12829 
79.134.167.0,79.134.167.255,isp,BG,AS12829 
79.134.168.0,79.134.170.255,isp,BG,AS13306 
79.134.171.0,79.134.171.255,isp,BG,AS31420 
79.134.172.0,79.134.175.255,isp,BG,AS25206 
79.134.176.0,79.134.181.255,isp,BG,AS31420 
79.134.182.0,79.134.182.255,business,BG, 
79.134.183.0,79.134.183.255,isp,BG,AS25206 
79.134.184.0,79.134.187.255,isp,BG,AS13306 
79.134.188.0,79.134.191.255,isp,BG,AS21230 
79.134.192.0,79.134.192.55,isp,RU,AS8492 
79.134.192.56,79.134.192.63,business,RU,AS8492 
79.134.192.64,79.134.192.67,isp,RU,AS8492 
79.134.192.68,79.134.192.71,business,RU,AS8492 
79.134.192.72,79.134.192.75,isp,RU,AS8492 
79.134.192.76,79.134.192.79,business,RU,AS8492 
79.134.192.80,79.134.192.103,isp,RU,AS8492 
79.134.192.104,79.134.192.107,business,RU,AS8492 
79.134.192.108,79.134.192.203,isp,RU,AS8492 
79.134.192.204,79.134.192.207,business,RU,AS8492 
79.134.192.208,79.134.192.231,isp,RU,AS8492 
79.134.192.232,79.134.192.235,business,RU,AS8492 
79.134.192.236,79.134.194.123,isp,RU,AS8492 
79.134.194.124,79.134.194.131,business,RU,AS8492 
79.134.194.132,79.134.194.167,isp,RU,AS8492 
79.134.194.168,79.134.194.171,business,RU,AS8492 
79.134.194.172,79.134.194.199,isp,RU,AS8492 
79.134.194.200,79.134.194.203,business,RU,AS8492 
79.134.194.204,79.134.194.219,isp,RU,AS8492 
79.134.194.220,79.134.194.223,business,RU,AS8492 
79.134.194.224,79.134.194.251,isp,RU,AS8492 
79.134.194.252,79.134.194.255,business,RU,AS8492 
79.134.195.0,79.134.195.59,isp,RU,AS8492 
79.134.195.60,79.134.195.63,business,RU,AS8492 
79.134.195.64,79.134.195.167,isp,RU,AS8492 
79.134.195.168,79.134.195.175,business,RU,AS8492 
79.134.195.176,79.134.195.183,isp,RU,AS8492 
79.134.195.184,79.134.195.187,business,RU,AS8492 
79.134.195.188,79.134.195.207,isp,RU,AS8492 
79.134.195.208,79.134.195.211,business,RU,AS8492 
79.134.195.212,79.134.195.243,isp,RU,AS8492 
79.134.195.244,79.134.195.247,business,RU,AS8492 
79.134.195.248,79.134.196.31,isp,RU,AS8492 
79.134.196.32,79.134.196.35,business,RU,AS8492 
