141.0.97.0,141.0.99.255,isp,NO,AS29695 
141.0.100.0,141.0.101.255,business,NO,AS29695 
141.0.102.0,141.0.107.255,isp,NO,AS29695 
141.0.108.0,141.0.109.255,business,NO,AS29695 
141.0.110.0,141.0.127.255,isp,NO,AS29695 
141.0.128.0,141.0.143.255,isp,NO,AS206260 
141.0.144.0,141.0.159.255,isp,GB,AS56478 
141.0.160.0,141.0.160.255,business,GB,AS20860 
141.0.161.0,141.0.162.255,hosting,GB,AS20860 
141.0.163.0,141.0.163.255,business,GB,AS20860 
141.0.164.0,141.0.167.255,hosting,GB,AS20860 
141.0.168.0,141.0.168.255,hosting,NL,AS46652 
141.0.169.0,141.0.170.255,hosting,NL,AS14061 
141.0.171.0,141.0.171.255,business,NL,AS46652 
141.0.172.0,141.0.175.255,hosting,NL,AS46652 
141.0.176.0,141.0.183.255,isp,RU,AS197235 
141.0.184.0,141.0.186.255,hosting,FR,AS30741 
141.0.187.0,141.0.187.71,business,FR,AS30741 
141.0.187.72,141.0.191.255,hosting,FR,AS30741 
141.0.192.0,141.0.192.255,isp,NL,AS3257 
141.0.193.0,141.0.193.15,business,GB,AS3257 
141.0.193.16,141.0.199.255,isp,NL,AS3257 
141.0.200.0,141.0.200.255,hosting,FR,AS39405 
141.0.201.0,141.0.201.63,business,FR,AS39405 
141.0.201.64,141.0.201.95,hosting,FR,AS39405 
141.0.201.96,141.0.201.107,business,FR,AS39405 
141.0.201.108,141.0.201.143,hosting,FR,AS39405 
141.0.201.144,141.0.201.191,business,FR,AS39405 
141.0.201.192,141.0.201.255,hosting,FR,AS39405 
141.0.202.0,141.0.202.31,business,FR,AS39405 
141.0.202.32,141.0.202.71,hosting,FR,AS39405 
141.0.202.72,141.0.202.79,business,FR,AS39405 
141.0.202.80,141.0.202.127,hosting,FR,AS39405 
141.0.202.128,141.0.202.159,business,FR,AS39405 
141.0.202.160,141.0.202.207,hosting,FR,AS39405 
141.0.202.208,141.0.202.215,business,FR,AS39405 
141.0.202.216,141.0.202.237,hosting,FR,AS39405 
141.0.202.238,141.0.202.239,business,FR,AS39405 
141.0.202.240,141.0.203.255,hosting,FR,AS39405 
141.0.204.0,141.0.204.3,business,FR,AS39405 
141.0.204.4,141.0.204.5,hosting,FR,AS39405 
141.0.204.6,141.0.204.7,education,FR,AS39405 
141.0.204.8,141.0.204.11,business,FR,AS39405 
141.0.204.12,141.0.204.15,hosting,FR,AS39405 
141.0.204.16,141.0.204.19,business,FR,AS39405 
141.0.204.20,141.0.204.23,hosting,FR,AS39405 
141.0.204.24,141.0.204.39,business,FR,AS39405 
141.0.204.40,141.0.204.47,hosting,FR,AS39405 
141.0.204.48,141.0.204.59,business,FR,AS39405 
141.0.204.60,141.0.204.63,hosting,FR,AS39405 
141.0.204.64,141.0.204.103,business,FR,AS39405 
141.0.204.104,141.0.204.111,hosting,FR,AS39405 
141.0.204.112,141.0.204.135,business,FR,AS39405 
141.0.204.136,141.0.204.141,hosting,FR,AS39405 
141.0.204.142,141.0.204.142,business,FR,AS39405 
141.0.204.143,141.0.204.143,hosting,FR,AS39405 
141.0.204.144,141.0.204.151,business,FR,AS39405 
141.0.204.152,141.0.204.167,hosting,FR,AS39405 
141.0.204.168,141.0.204.171,business,FR,AS39405 
141.0.204.172,141.0.204.175,education,FR,AS39405 
141.0.204.176,141.0.204.179,hosting,FR,AS39405 
