141.195.0.0,141.195.7.255,education,US 
141.195.8.0,141.195.63.255,isp,NO 
141.195.64.0,141.195.65.255,isp,GB 
141.195.66.0,141.195.66.255,business,GB 
141.195.67.0,141.195.77.255,isp,GB 
141.195.78.0,141.195.79.255,isp,NL 
141.195.80.0,141.195.95.255,hosting,CH 
141.195.96.0,141.195.97.255,hosting,US 
141.195.98.0,141.195.98.15,business,GB 
141.195.98.16,141.195.103.255,hosting,US 
141.195.104.0,141.195.107.255,business,US 
141.195.108.0,141.195.111.255,isp,US 
141.195.112.0,141.195.113.255,isp,CA 
141.195.114.0,141.195.115.255,isp,US 
141.195.116.0,141.195.119.255,hosting,US 
141.195.120.0,141.195.123.255,hosting,IT 
141.195.124.0,141.195.126.255,business,US 
141.195.127.0,141.195.127.255,hosting,SG 
141.195.128.0,141.195.255.255,isp,GB 
