178.235.0.0,178.235.13.255,isp,PL 
178.235.14.0,178.235.15.255,business,PL 
178.235.16.0,178.235.148.31,isp,PL 
178.235.148.32,178.235.148.39,education,PL 
178.235.148.40,178.235.148.47,business,PL 
178.235.148.48,178.235.148.79,isp,PL 
178.235.148.80,178.235.148.87,business,PL 
178.235.148.88,178.235.148.95,isp,PL 
178.235.148.96,178.235.148.127,business,PL 
178.235.148.128,178.235.148.191,isp,PL 
178.235.148.192,178.235.148.207,business,PL 
178.235.148.208,178.235.148.223,isp,PL 
178.235.148.224,178.235.148.236,business,PL 
178.235.148.237,178.235.148.255,isp,PL 
178.235.149.0,178.235.149.31,business,PL 
178.235.149.32,178.235.149.95,isp,PL 
178.235.149.96,178.235.149.103,business,PL 
178.235.149.104,178.235.149.151,isp,PL 
178.235.149.152,178.235.149.255,business,PL 
178.235.150.0,178.235.241.255,isp,PL 
178.235.242.0,178.235.243.255,business,PL 
178.235.244.0,178.235.255.255,isp,PL 
