178.215.0.0,178.215.63.255,business,IR,AS51241 
178.215.64.0,178.215.127.255,isp,RU,AS49342 
178.215.128.0,178.215.143.255,business,GB, 
178.215.144.0,178.215.159.255,isp,RU,AS56426 
178.215.160.0,178.215.175.255,isp,UA,AS15377 
178.215.176.0,178.215.191.255,isp,UA,AS39399 
178.215.192.0,178.215.207.255,isp,PL,AS51337 
178.215.208.0,178.215.223.255,isp,PS,AS51336 
178.215.224.0,178.215.224.255,hosting,US,AS401116 
178.215.225.0,178.215.226.255,business,IT, 
178.215.227.0,178.215.227.255,hosting,BG,AS16276 
178.215.228.0,178.215.231.255,hosting,DE,AS48927 
178.215.232.0,178.215.235.255,isp,RU,AS209955 
178.215.236.0,178.215.236.255,hosting,FR,AS214961 
178.215.237.0,178.215.237.255,isp,US,AS216156 
178.215.238.0,178.215.238.255,hosting,BR,AS215479 
178.215.239.0,178.215.239.255,hosting,TR,AS197450 
178.215.240.0,178.215.255.255,isp,UA,AS48081 
