84.245.0.0,84.245.47.255,isp,NL,AS25596 
84.245.48.0,84.245.56.255,isp,SE,AS1299 
84.245.57.0,84.245.57.255,hosting,IT,AS60798 
84.245.58.0,84.245.63.255,isp,SE,AS1299 
84.245.64.0,84.245.73.255,hosting,SK,AS5578 
84.245.74.0,84.245.74.31,isp,SK,AS5578 
84.245.74.32,84.245.74.255,hosting,SK,AS5578 
84.245.75.0,84.245.75.31,isp,SK,AS5578 
84.245.75.32,84.245.75.255,hosting,SK,AS5578 
84.245.76.0,84.245.76.63,isp,SK,AS5578 
84.245.76.64,84.245.76.127,hosting,SK,AS5578 
84.245.76.128,84.245.76.135,business,SK,AS5578 
84.245.76.136,84.245.76.255,hosting,SK,AS5578 
84.245.77.0,84.245.77.31,isp,SK,AS5578 
84.245.77.32,84.245.87.255,hosting,SK,AS5578 
84.245.88.0,84.245.89.255,business,SK,AS206198 
84.245.90.0,84.245.90.255,hosting,SK,AS5578 
84.245.91.0,84.245.91.63,business,SK,AS5578 
84.245.91.64,84.245.94.255,hosting,SK,AS5578 
84.245.95.0,84.245.95.255,isp,SK,AS202819 
84.245.96.0,84.245.96.255,isp,SK,AS57801 
84.245.97.0,84.245.102.255,hosting,SK,AS5578 
84.245.103.0,84.245.103.31,business,SK,AS5578 
84.245.103.32,84.245.103.143,hosting,SK,AS5578 
84.245.103.144,84.245.103.151,business,SK,AS5578 
84.245.103.152,84.245.106.255,hosting,SK,AS5578 
84.245.107.0,84.245.107.255,isp,SK,AS5578 
84.245.108.0,84.245.127.255,hosting,SK,AS5578 
84.245.128.0,84.245.128.12,isp,DE,AS20676 
84.245.128.13,84.245.128.16,business,DE,AS20676 
84.245.128.17,84.245.128.20,isp,DE,AS20676 
84.245.128.21,84.245.128.21,business,DE,AS20676 
84.245.128.22,84.245.128.47,isp,DE,AS20676 
84.245.128.48,84.245.128.51,business,DE,AS20676 
84.245.128.52,84.245.128.63,isp,DE,AS20676 
84.245.128.64,84.245.128.71,business,DE,AS20676 
84.245.128.72,84.245.128.114,isp,DE,AS20676 
84.245.128.115,84.245.128.115,business,DE,AS20676 
84.245.128.116,84.245.128.119,isp,DE,AS20676 
84.245.128.120,84.245.128.127,business,DE,AS20676 
84.245.128.128,84.245.128.133,isp,DE,AS20676 
84.245.128.134,84.245.128.134,business,DE,AS20676 
84.245.128.135,84.245.128.135,isp,DE,AS20676 
84.245.128.136,84.245.128.143,business,DE,AS20676 
84.245.128.144,84.245.128.159,isp,DE,AS20676 
84.245.128.160,84.245.128.167,business,DE,AS20676 
84.245.128.168,84.245.128.183,isp,DE,AS20676 
84.245.128.184,84.245.128.185,business,DE,AS20676 
84.245.128.186,84.245.128.186,isp,DE,AS20676 
84.245.128.187,84.245.128.187,business,DE,AS20676 
84.245.128.188,84.245.128.199,isp,DE,AS20676 
84.245.128.200,84.245.128.207,business,DE,AS20676 
84.245.128.208,84.245.128.215,isp,DE,AS20676 
84.245.128.216,84.245.128.217,business,DE,AS20676 
84.245.128.218,84.245.128.239,isp,DE,AS20676 
84.245.128.240,84.245.128.254,business,DE,AS20676 
84.245.128.255,84.245.129.15,isp,DE,AS20676 
84.245.129.16,84.245.129.23,business,DE,AS20676 
84.245.129.24,84.245.129.47,isp,DE,AS20676 
84.245.129.48,84.245.129.48,business,DE,AS20676 
84.245.129.49,84.245.129.51,isp,DE,AS20676 
84.245.129.52,84.245.129.55,business,DE,AS20676 
84.245.129.56,84.245.129.63,isp,DE,AS20676 
84.245.129.64,84.245.129.79,business,DE,AS20676 
84.245.129.80,84.245.129.83,isp,DE,AS20676 
84.245.129.84,84.245.129.84,business,DE,AS20676 
84.245.129.85,84.245.129.103,isp,DE,AS20676 
84.245.129.104,84.245.129.108,business,DE,AS20676 
84.245.129.109,84.245.129.119,isp,DE,AS20676 
84.245.129.120,84.245.129.123,business,DE,AS20676 
84.245.129.124,84.245.129.151,isp,DE,AS20676 
84.245.129.152,84.245.129.159,business,DE,AS20676 
84.245.129.160,84.245.130.15,isp,DE,AS20676 
84.245.130.16,84.245.130.17,business,DE,AS20676 
84.245.130.18,84.245.130.23,isp,DE,AS20676 
84.245.130.24,84.245.130.31,business,DE,AS20676 
84.245.130.32,84.245.130.39,isp,DE,AS20676 
84.245.130.40,84.245.130.43,business,DE,AS20676 
84.245.130.44,84.245.130.46,isp,DE,AS20676 
84.245.130.47,84.245.130.47,business,DE,AS20676 
84.245.130.48,84.245.130.51,isp,DE,AS20676 
84.245.130.52,84.245.130.55,business,DE,AS20676 
84.245.130.56,84.245.130.87,isp,DE,AS20676 
84.245.130.88,84.245.130.95,business,DE,AS20676 
84.245.130.96,84.245.130.116,isp,DE,AS20676 
84.245.130.117,84.245.130.118,business,DE,AS20676 
84.245.130.119,84.245.130.130,isp,DE,AS20676 
84.245.130.131,84.245.130.131,business,DE,AS20676 
84.245.130.132,84.245.130.133,isp,DE,AS20676 
84.245.130.134,84.245.130.134,business,DE,AS20676 
84.245.130.135,84.245.130.175,isp,DE,AS20676 
84.245.130.176,84.245.130.183,business,DE,AS20676 
84.245.130.184,84.245.130.184,isp,DE,AS20676 
84.245.130.185,84.245.130.185,business,DE,AS20676 
84.245.130.186,84.245.130.188,isp,DE,AS20676 
84.245.130.189,84.245.130.189,business,DE,AS20676 
84.245.130.190,84.245.130.194,isp,DE,AS20676 
84.245.130.195,84.245.130.195,business,DE,AS20676 
84.245.130.196,84.245.130.196,isp,DE,AS20676 
84.245.130.197,84.245.130.197,business,DE,AS20676 
84.245.130.198,84.245.130.203,isp,DE,AS20676 
84.245.130.204,84.245.130.204,business,DE,AS20676 
84.245.130.205,84.245.130.206,isp,DE,AS20676 
84.245.130.207,84.245.130.209,business,DE,AS20676 
84.245.130.210,84.245.130.218,isp,DE,AS20676 
84.245.130.219,84.245.130.219,business,DE,AS20676 
84.245.130.220,84.245.130.239,isp,DE,AS20676 
84.245.130.240,84.245.130.240,business,DE,AS20676 
84.245.130.241,84.245.130.243,isp,DE,AS20676 
84.245.130.244,84.245.130.244,business,DE,AS20676 
84.245.130.245,84.245.130.247,isp,DE,AS20676 
84.245.130.248,84.245.130.255,business,DE,AS20676 
84.245.131.0,84.245.131.11,isp,DE,AS20676 
84.245.131.12,84.245.131.12,business,DE,AS20676 
84.245.131.13,84.245.131.19,isp,DE,AS20676 
84.245.131.20,84.245.131.24,business,DE,AS20676 
84.245.131.25,84.245.131.28,isp,DE,AS20676 
84.245.131.29,84.245.131.29,business,DE,AS20676 
84.245.131.30,84.245.131.39,isp,DE,AS20676 
84.245.131.40,84.245.131.40,business,DE,AS20676 
84.245.131.41,84.245.131.45,isp,DE,AS20676 
84.245.131.46,84.245.131.47,business,DE,AS20676 
84.245.131.48,84.245.131.51,isp,DE,AS20676 
84.245.131.52,84.245.131.52,business,DE,AS20676 
84.245.131.53,84.245.131.53,isp,DE,AS20676 
84.245.131.54,84.245.131.54,business,DE,AS20676 
84.245.131.55,84.245.131.88,isp,DE,AS20676 
84.245.131.89,84.245.131.90,business,DE,AS20676 
84.245.131.91,84.245.131.94,isp,DE,AS20676 
84.245.131.95,84.245.131.95,business,DE,AS20676 
84.245.131.96,84.245.131.98,isp,DE,AS20676 
84.245.131.99,84.245.131.99,business,DE,AS20676 
84.245.131.100,84.245.131.127,isp,DE,AS20676 
84.245.131.128,84.245.131.135,business,DE,AS20676 
84.245.131.136,84.245.131.167,isp,DE,AS20676 
84.245.131.168,84.245.131.177,business,DE,AS20676 
84.245.131.178,84.245.131.178,isp,DE,AS20676 
84.245.131.179,84.245.131.181,business,DE,AS20676 
84.245.131.182,84.245.131.183,isp,DE,AS20676 
84.245.131.184,84.245.131.187,business,DE,AS20676 
84.245.131.188,84.245.131.199,isp,DE,AS20676 
84.245.131.200,84.245.131.207,business,DE,AS20676 
84.245.131.208,84.245.131.215,isp,DE,AS20676 
84.245.131.216,84.245.131.219,business,DE,AS20676 
84.245.131.220,84.245.131.231,isp,DE,AS20676 
84.245.131.232,84.245.131.239,business,DE,AS20676 
84.245.131.240,84.245.132.127,isp,DE,AS20676 
84.245.132.128,84.245.132.135,business,DE,AS20676 
84.245.132.136,84.245.132.161,isp,DE,AS20676 
84.245.132.162,84.245.132.162,business,DE,AS20676 
84.245.132.163,84.245.132.183,isp,DE,AS20676 
84.245.132.184,84.245.132.191,business,DE,AS20676 
84.245.132.192,84.245.132.199,isp,DE,AS20676 
84.245.132.200,84.245.132.207,business,DE,AS20676 
84.245.132.208,84.245.132.230,isp,DE,AS20676 
84.245.132.231,84.245.132.232,business,DE,AS20676 
84.245.132.233,84.245.132.233,isp,DE,AS20676 
84.245.132.234,84.245.132.234,business,DE,AS20676 
84.245.132.235,84.245.132.237,isp,DE,AS20676 
84.245.132.238,84.245.132.238,business,DE,AS20676 
84.245.132.239,84.245.132.239,isp,DE,AS20676 
84.245.132.240,84.245.132.247,business,DE,AS20676 
84.245.132.248,84.245.132.255,isp,DE,AS20676 
