84.241.0.0,84.241.63.255,isp,IR 
84.241.64.0,84.241.127.255,business,CH 
84.241.128.0,84.241.128.55,business,NL 
84.241.128.56,84.241.128.63,hosting,NL 
84.241.128.64,84.241.128.119,business,NL 
84.241.128.120,84.241.128.127,hosting,NL 
84.241.128.128,84.241.129.159,business,NL 
84.241.129.160,84.241.129.167,hosting,NL 
84.241.129.168,84.241.129.223,business,NL 
84.241.129.224,84.241.129.239,hosting,NL 
84.241.129.240,84.241.129.255,business,NL 
84.241.130.0,84.241.130.19,hosting,NL 
84.241.130.20,84.241.130.25,business,NL 
84.241.130.26,84.241.130.29,hosting,NL 
84.241.130.30,84.241.130.30,business,NL 
84.241.130.31,84.241.130.31,hosting,NL 
84.241.130.32,84.241.130.79,business,NL 
84.241.130.80,84.241.130.87,isp,NL 
84.241.130.88,84.241.130.111,business,NL 
84.241.130.112,84.241.130.127,hosting,NL 
84.241.130.128,84.241.130.143,business,NL 
84.241.130.144,84.241.130.159,isp,NL 
84.241.130.160,84.241.130.160,hosting,NL 
84.241.130.161,84.241.130.162,business,NL 
84.241.130.163,84.241.130.164,hosting,NL 
84.241.130.165,84.241.130.167,business,NL 
84.241.130.168,84.241.130.168,hosting,NL 
84.241.130.169,84.241.130.180,business,NL 
84.241.130.181,84.241.130.185,hosting,NL 
84.241.130.186,84.241.130.187,business,NL 
84.241.130.188,84.241.130.189,hosting,NL 
84.241.130.190,84.241.130.190,business,NL 
84.241.130.191,84.241.130.255,hosting,NL 
84.241.131.0,84.241.136.31,business,NL 
84.241.136.32,84.241.136.39,isp,NL 
84.241.136.40,84.241.136.47,business,NL 
84.241.136.48,84.241.136.55,isp,NL 
84.241.136.56,84.241.136.63,business,NL 
84.241.136.64,84.241.136.71,hosting,NL 
84.241.136.72,84.241.136.255,business,NL 
84.241.137.0,84.241.137.63,hosting,NL 
84.241.137.64,84.241.137.95,isp,NL 
84.241.137.96,84.241.138.255,hosting,NL 
84.241.139.0,84.241.139.255,business,NL 
84.241.140.0,84.241.143.255,isp,NL 
84.241.144.0,84.241.151.255,business,NL 
84.241.152.0,84.241.153.255,isp,NL 
84.241.154.0,84.241.154.63,hosting,NL 
84.241.154.64,84.241.159.7,business,NL 
84.241.159.8,84.241.159.63,hosting,NL 
84.241.159.64,84.241.159.95,business,NL 
84.241.159.96,84.241.159.127,isp,NL 
84.241.159.128,84.241.167.255,business,NL 
84.241.168.0,84.241.168.255,hosting,NL 
84.241.169.0,84.241.169.127,business,NL 
84.241.169.128,84.241.169.143,hosting,NL 
84.241.169.144,84.241.169.159,business,NL 
