84.240.0.0,84.240.63.255,isp,LT,AS21211 
84.240.64.0,84.240.95.255,isp,FI,AS20904 
84.240.96.0,84.240.103.255,isp,FI, 
84.240.104.0,84.240.127.255,business,FI, 
84.240.128.0,84.240.131.255,business,IT,AS2594 
84.240.132.0,84.240.132.255,hosting,IT,AS2594 
84.240.133.0,84.240.191.255,business,IT,AS2594 
84.240.192.0,84.240.206.15,isp,KZ,AS9198 
84.240.206.16,84.240.206.23,business,KZ,AS9198 
84.240.206.24,84.240.206.79,isp,KZ,AS9198 
84.240.206.80,84.240.206.87,business,KZ,AS9198 
84.240.206.88,84.240.206.111,isp,KZ,AS9198 
84.240.206.112,84.240.206.127,business,KZ,AS9198 
84.240.206.128,84.240.206.143,isp,KZ,AS9198 
84.240.206.144,84.240.206.151,business,KZ,AS9198 
84.240.206.152,84.240.206.159,isp,KZ,AS9198 
84.240.206.160,84.240.207.7,business,KZ,AS9198 
84.240.207.8,84.240.207.11,isp,KZ,AS9198 
84.240.207.12,84.240.207.15,business,KZ,AS9198 
84.240.207.16,84.240.207.31,isp,KZ,AS9198 
84.240.207.32,84.240.207.47,business,KZ,AS9198 
84.240.207.48,84.240.207.63,isp,KZ,AS9198 
84.240.207.64,84.240.207.67,business,KZ,AS9198 
84.240.207.68,84.240.207.71,isp,KZ,AS9198 
84.240.207.72,84.240.207.87,business,KZ,AS9198 
84.240.207.88,84.240.207.127,isp,KZ,AS9198 
84.240.207.128,84.240.207.143,business,KZ,AS9198 
84.240.207.144,84.240.207.175,isp,KZ,AS9198 
84.240.207.176,84.240.207.255,business,KZ,AS9198 
84.240.208.0,84.240.223.255,isp,KZ,AS9198 
84.240.224.0,84.240.224.7,business,KZ,AS9198 
84.240.224.8,84.240.224.11,isp,KZ,AS9198 
84.240.224.12,84.240.224.15,business,KZ,AS9198 
84.240.224.16,84.240.224.31,isp,KZ,AS9198 
84.240.224.32,84.240.224.47,business,KZ,AS9198 
84.240.224.48,84.240.224.103,isp,KZ,AS9198 
84.240.224.104,84.240.224.107,business,KZ,AS9198 
84.240.224.108,84.240.224.119,isp,KZ,AS9198 
84.240.224.120,84.240.224.123,business,KZ,AS9198 
84.240.224.124,84.240.224.135,isp,KZ,AS9198 
84.240.224.136,84.240.224.139,business,KZ,AS9198 
