84.255.0.0,84.255.63.255,isp,MT 
84.255.64.0,84.255.127.255,business,DK 
84.255.128.0,84.255.191.255,isp,BH 
84.255.192.0,84.255.205.97,isp,SI 
84.255.205.98,84.255.205.98,business,SI 
84.255.205.99,84.255.211.255,isp,SI 
84.255.212.0,84.255.212.7,business,SI 
84.255.212.8,84.255.212.63,isp,SI 
84.255.212.64,84.255.212.71,business,SI 
84.255.212.72,84.255.212.79,isp,SI 
84.255.212.80,84.255.212.95,business,SI 
84.255.212.96,84.255.212.127,isp,SI 
84.255.212.128,84.255.213.255,business,SI 
84.255.214.0,84.255.214.31,isp,SI 
84.255.214.32,84.255.214.47,business,SI 
84.255.214.48,84.255.214.55,isp,SI 
84.255.214.56,84.255.214.255,business,SI 
84.255.215.0,84.255.215.143,isp,SI 
84.255.215.144,84.255.215.159,business,SI 
84.255.215.160,84.255.215.175,isp,SI 
84.255.215.176,84.255.215.191,business,SI 
84.255.215.192,84.255.223.135,isp,SI 
84.255.223.136,84.255.223.143,business,SI 
84.255.223.144,84.255.227.15,isp,SI 
84.255.227.16,84.255.227.23,business,SI 
84.255.227.24,84.255.227.63,isp,SI 
84.255.227.64,84.255.227.143,business,SI 
84.255.227.144,84.255.227.159,isp,SI 
84.255.227.160,84.255.227.183,business,SI 
84.255.227.184,84.255.227.199,isp,SI 
84.255.227.200,84.255.227.223,business,SI 
84.255.227.224,84.255.227.239,isp,SI 
84.255.227.240,84.255.227.255,business,SI 
84.255.228.0,84.255.228.31,isp,SI 
84.255.228.32,84.255.228.46,business,SI 
84.255.228.47,84.255.228.47,isp,SI 
84.255.228.48,84.255.228.87,business,SI 
84.255.228.88,84.255.228.95,isp,SI 
84.255.228.96,84.255.228.111,business,SI 
84.255.228.112,84.255.228.159,isp,SI 
84.255.228.160,84.255.228.167,business,SI 
84.255.228.168,84.255.228.191,isp,SI 
84.255.228.192,84.255.228.207,business,SI 
84.255.228.208,84.255.228.223,isp,SI 
84.255.228.224,84.255.228.255,business,SI 
84.255.229.0,84.255.247.255,isp,SI 
84.255.248.0,84.255.248.15,business,SI 
84.255.248.16,84.255.248.31,isp,SI 
84.255.248.32,84.255.248.63,business,SI 
84.255.248.64,84.255.248.87,isp,SI 
84.255.248.88,84.255.248.95,business,SI 
84.255.248.96,84.255.248.127,isp,SI 
84.255.248.128,84.255.248.167,business,SI 
84.255.248.168,84.255.248.191,isp,SI 
84.255.248.192,84.255.248.215,business,SI 
84.255.248.216,84.255.248.239,isp,SI 
84.255.248.240,84.255.248.255,business,SI 
84.255.249.0,84.255.250.255,isp,SI 
84.255.251.0,84.255.251.15,business,SI 
84.255.251.16,84.255.251.31,isp,SI 
84.255.251.32,84.255.251.79,business,SI 
84.255.251.80,84.255.251.95,isp,SI 
84.255.251.96,84.255.251.103,business,SI 
84.255.251.104,84.255.251.119,isp,SI 
84.255.251.120,84.255.251.127,business,SI 
84.255.251.128,84.255.251.143,isp,SI 
84.255.251.144,84.255.251.255,business,SI 
84.255.252.0,84.255.252.31,isp,SI 
84.255.252.32,84.255.252.95,business,SI 
84.255.252.96,84.255.252.135,isp,SI 
84.255.252.136,84.255.252.143,business,SI 
84.255.252.144,84.255.254.0,isp,SI 
84.255.254.1,84.255.254.1,business,SI 
84.255.254.2,84.255.255.255,isp,SI 
