84.234.0.0,84.234.15.255,isp,PL,AS43939 
84.234.16.0,84.234.31.255,business,CH, 
84.234.32.0,84.234.47.255,isp,PL,AS43939 
84.234.48.0,84.234.63.255,isp,MD, 
84.234.64.0,84.234.79.255,hosting,FI,AS58003 
84.234.80.0,84.234.95.255,business,DK, 
84.234.96.0,84.234.99.255,hosting,RO,AS51177 
84.234.100.0,84.234.103.255,isp,IT,AS13097 
84.234.104.0,84.234.107.255,business,RU,AS207839 
84.234.108.0,84.234.111.255,isp,UA,AS39848 
84.234.112.0,84.234.113.255,isp,PL,AS34969 
84.234.114.0,84.234.115.255,isp,PL,AS205679 
84.234.116.0,84.234.116.255,isp,PL,AS207998 
84.234.117.0,84.234.117.255,isp,PL,AS203551 
84.234.118.0,84.234.119.255,isp,PL,AS208141 
84.234.120.0,84.234.121.255,isp,PL,AS205384 
84.234.122.0,84.234.122.255,isp,PL,AS34969 
84.234.123.0,84.234.123.255,isp,PL,AS41959 
84.234.124.0,84.234.124.255,business,PL,AS200672 
84.234.125.0,84.234.125.255,business,PL,AS42832 
84.234.126.0,84.234.126.255,isp,PL,AS211528 
84.234.127.0,84.234.127.255,business,PL,AS216439 
84.234.128.0,84.234.134.255,business,NO,AS29695 
84.234.135.0,84.234.135.255,isp,NO,AS29695 
84.234.136.0,84.234.136.63,business,NO,AS29695 
84.234.136.64,84.234.136.255,isp,NO,AS29695 
84.234.137.0,84.234.137.255,business,NO,AS29695 
84.234.138.0,84.234.139.255,isp,NO,AS29695 
84.234.140.0,84.234.141.255,business,NO,AS29695 
84.234.142.0,84.234.142.31,isp,NO,AS29695 
84.234.142.32,84.234.142.63,business,NO,AS29695 
84.234.142.64,84.234.142.159,isp,NO,AS29695 
84.234.142.160,84.234.142.175,business,NO,AS29695 
84.234.142.176,84.234.142.191,isp,NO,AS29695 
84.234.142.192,84.234.143.63,business,NO,AS29695 
84.234.143.64,84.234.143.127,isp,NO,AS29695 
84.234.143.128,84.234.145.191,business,NO,AS29695 
84.234.145.192,84.234.145.255,isp,NO,AS29695 
84.234.146.0,84.234.147.103,business,NO,AS29695 
84.234.147.104,84.234.147.111,isp,NO,AS29695 
84.234.147.112,84.234.147.119,business,NO,AS29695 
84.234.147.120,84.234.147.127,isp,NO,AS29695 
84.234.147.128,84.234.147.191,business,NO,AS29695 
84.234.147.192,84.234.147.207,education,NO,AS29695 
84.234.147.208,84.234.147.215,business,NO,AS29695 
84.234.147.216,84.234.147.223,isp,NO,AS29695 
84.234.147.224,84.234.147.255,business,NO,AS29695 
84.234.148.0,84.234.149.255,isp,NO,AS29695 
84.234.150.0,84.234.151.31,business,NO,AS29695 
84.234.151.32,84.234.151.255,isp,NO,AS29695 
84.234.152.0,84.234.152.255,business,NO,AS29695 
84.234.153.0,84.234.159.255,isp,NO,AS29695 
84.234.160.0,84.234.161.255,business,NO,AS29695 
84.234.162.0,84.234.162.7,isp,NO,AS29695 
84.234.162.8,84.234.162.31,business,NO,AS29695 
84.234.162.32,84.234.162.47,isp,NO,AS29695 
84.234.162.48,84.234.162.71,business,NO,AS29695 
84.234.162.72,84.234.162.79,isp,NO,AS29695 
84.234.162.80,84.234.162.87,business,NO,AS29695 
84.234.162.88,84.234.162.127,isp,NO,AS29695 
84.234.162.128,84.234.162.191,business,NO,AS29695 
84.234.162.192,84.234.162.223,isp,NO,AS29695 
84.234.162.224,84.234.164.31,business,NO,AS29695 
84.234.164.32,84.234.164.63,isp,NO,AS29695 
84.234.164.64,84.234.164.95,business,NO,AS29695 
84.234.164.96,84.234.164.255,isp,NO,AS29695 
84.234.165.0,84.234.167.255,business,NO,AS29695 
84.234.168.0,84.234.171.255,isp,NO,AS29695 
84.234.172.0,84.234.172.63,business,NO,AS29695 
84.234.172.64,84.234.172.255,isp,NO,AS29695 
84.234.173.0,84.234.173.255,business,NO,AS29695 
84.234.174.0,84.234.174.63,isp,NO,AS29695 
84.234.174.64,84.234.174.127,business,NO,AS29695 
84.234.174.128,84.234.175.127,isp,NO,AS29695 
84.234.175.128,84.234.175.255,business,NO,AS29695 
84.234.176.0,84.234.177.255,isp,NO,AS29695 
84.234.178.0,84.234.179.47,business,NO,AS29695 
84.234.179.48,84.234.179.63,isp,NO,AS29695 
84.234.179.64,84.234.179.199,business,NO,AS29695 
84.234.179.200,84.234.179.207,isp,NO,AS29695 
84.234.179.208,84.234.179.215,business,NO,AS29695 
84.234.179.216,84.234.179.223,isp,NO,AS29695 
84.234.179.224,84.234.180.127,business,NO,AS29695 
84.234.180.128,84.234.180.255,isp,NO,AS29695 
84.234.181.0,84.234.186.127,business,NO,AS29695 
84.234.186.128,84.234.186.255,isp,NO,AS29695 
84.234.187.0,84.234.191.63,business,NO,AS29695 
84.234.191.64,84.234.191.127,isp,NO,AS29695 
84.234.191.128,84.234.191.191,business,NO,AS29695 
84.234.191.192,84.234.191.255,isp,NO,AS29695 
84.234.192.0,84.234.192.127,business,NO,AS29695 
84.234.192.128,84.234.192.255,isp,NO,AS29695 
84.234.193.0,84.234.194.255,business,NO,AS29695 
84.234.195.0,84.234.195.255,isp,NO,AS29695 
84.234.196.0,84.234.198.63,business,NO,AS29695 
84.234.198.64,84.234.198.255,isp,NO,AS29695 
84.234.199.0,84.234.202.127,business,NO,AS29695 
84.234.202.128,84.234.202.255,isp,NO,AS29695 
84.234.203.0,84.234.206.47,business,NO,AS29695 
84.234.206.48,84.234.206.63,isp,NO,AS29695 
84.234.206.64,84.234.206.103,business,NO,AS29695 
84.234.206.104,84.234.206.159,isp,NO,AS29695 
84.234.206.160,84.234.207.255,business,NO,AS29695 
84.234.208.0,84.234.208.255,isp,NO,AS29695 
84.234.209.0,84.234.209.255,business,NO,AS29695 
84.234.210.0,84.234.210.255,isp,NO,AS29695 
84.234.211.0,84.234.214.127,business,NO,AS29695 
84.234.214.128,84.234.214.255,isp,NO,AS29695 
84.234.215.0,84.234.215.255,business,NO,AS29695 
84.234.216.0,84.234.217.255,isp,NO,AS29695 
84.234.218.0,84.234.219.255,business,NO,AS29695 
84.234.220.0,84.234.220.255,isp,NO,AS29695 
84.234.221.0,84.234.221.255,business,NO,AS29695 
84.234.222.0,84.234.225.255,isp,NO,AS29695 
84.234.226.0,84.234.226.255,business,NO,AS29695 
84.234.227.0,84.234.227.255,isp,NO,AS29695 
84.234.228.0,84.234.228.255,business,NO,AS29695 
84.234.229.0,84.234.229.255,isp,NO,AS29695 
84.234.230.0,84.234.230.255,business,NO,AS29695 
84.234.231.0,84.234.231.31,isp,NO,AS29695 
84.234.231.32,84.234.231.63,business,NO,AS29695 
84.234.231.64,84.234.231.95,isp,NO,AS29695 
84.234.231.96,84.234.231.127,business,NO,AS29695 
84.234.231.128,84.234.231.159,isp,NO,AS29695 
84.234.231.160,84.234.231.191,business,NO,AS29695 
84.234.231.192,84.234.231.223,isp,NO,AS29695 
84.234.231.224,84.234.231.255,business,NO,AS29695 
84.234.232.0,84.234.232.31,isp,NO,AS29695 
84.234.232.32,84.234.232.63,business,NO,AS29695 
84.234.232.64,84.234.232.95,isp,NO,AS29695 
84.234.232.96,84.234.232.127,business,NO,AS29695 
84.234.232.128,84.234.232.159,isp,NO,AS29695 
84.234.232.160,84.234.232.191,business,NO,AS29695 
84.234.232.192,84.234.232.223,isp,NO,AS29695 
84.234.232.224,84.234.232.255,business,NO,AS29695 
84.234.233.0,84.234.233.255,isp,NO,AS29695 
84.234.234.0,84.234.237.255,business,NO,AS29695 
84.234.238.0,84.234.238.255,isp,NO,AS29695 
84.234.239.0,84.234.240.63,business,NO,AS29695 
84.234.240.64,84.234.240.95,isp,NO,AS29695 
84.234.240.96,84.234.241.255,business,NO,AS29695 
84.234.242.0,84.234.242.255,isp,NO,AS29695 
84.234.243.0,84.234.246.127,business,NO,AS29695 
84.234.246.128,84.234.247.255,isp,NO,AS29695 
84.234.248.0,84.234.250.15,business,NO,AS29695 
84.234.250.16,84.234.250.95,isp,NO,AS29695 
84.234.250.96,84.234.251.15,business,NO,AS29695 
84.234.251.16,84.234.251.31,isp,NO,AS29695 
84.234.251.32,84.234.251.95,business,NO,AS29695 
84.234.251.96,84.234.251.111,isp,NO,AS29695 
84.234.251.112,84.234.251.223,business,NO,AS29695 
84.234.251.224,84.234.251.231,isp,NO,AS29695 
84.234.251.232,84.234.251.255,business,NO,AS29695 
84.234.252.0,84.234.253.255,isp,NO,AS29695 
84.234.254.0,84.234.255.255,business,NO,AS29695 
