190.112.44.0,190.112.47.255,business,AR 
190.112.48.0,190.112.51.255,isp,CL 
190.112.52.0,190.112.55.255,hosting,UY 
190.112.56.0,190.112.127.255,isp,AR 
190.112.128.0,190.112.135.255,isp,BR 
190.112.136.0,190.112.136.47,isp,AR 
190.112.136.48,190.112.136.63,business,AR 
190.112.136.64,190.112.139.255,isp,AR 
190.112.140.0,190.112.149.11,isp,BR 
190.112.149.12,190.112.149.15,business,BR 
190.112.149.16,190.112.149.23,isp,BR 
190.112.149.24,190.112.149.27,business,BR 
190.112.149.28,190.112.149.31,isp,BR 
190.112.149.32,190.112.149.35,business,BR 
190.112.149.36,190.112.149.87,isp,BR 
190.112.149.88,190.112.149.91,business,BR 
190.112.149.92,190.112.149.95,isp,BR 
190.112.149.96,190.112.149.99,business,BR 
190.112.149.100,190.112.159.255,isp,BR 
190.112.160.0,190.112.163.255,business,MX 
190.112.164.0,190.112.167.255,isp,BR 
190.112.168.0,190.112.171.255,isp,PY 
190.112.172.0,190.112.175.255,isp,BR 
190.112.176.0,190.112.176.255,isp,AR 
190.112.177.0,190.112.177.255,business,AR 
190.112.178.0,190.112.191.255,isp,AR 
190.112.192.0,190.112.195.255,business,US 
190.112.196.0,190.112.199.255,isp,AR 
190.112.200.0,190.112.201.255,business,US 
190.112.202.0,190.112.202.255,business,AR 
190.112.203.0,190.112.203.255,business,US 
190.112.204.0,190.112.207.255,isp,BR 
190.112.208.0,190.112.215.255,isp,PY 
190.112.216.0,190.112.219.255,isp,AR 
190.112.220.0,190.112.223.47,hosting,CR 
190.112.223.48,190.112.223.63,business,VG 
190.112.223.64,190.112.223.255,hosting,CR 
190.112.224.0,190.112.225.15,isp,CW 
190.112.225.16,190.112.225.23,business,CW 
190.112.225.24,190.112.225.31,isp,CW 
190.112.225.32,190.112.225.39,business,CW 
190.112.225.40,190.112.225.55,isp,CW 
190.112.225.56,190.112.225.63,business,CW 
190.112.225.64,190.112.225.95,isp,CW 
190.112.225.96,190.112.225.103,business,CW 
190.112.225.104,190.112.225.111,isp,CW 
190.112.225.112,190.112.225.159,business,CW 
190.112.225.160,190.112.225.199,isp,CW 
190.112.225.200,190.112.225.215,business,CW 
190.112.225.216,190.112.225.231,isp,CW 
190.112.225.232,190.112.225.239,business,CW 
190.112.225.240,190.112.226.143,isp,CW 
190.112.226.144,190.112.226.167,business,CW 
190.112.226.168,190.112.226.199,isp,CW 
190.112.226.200,190.112.226.215,business,CW 
190.112.226.216,190.112.245.215,isp,CW 
190.112.245.216,190.112.245.223,business,CW 
190.112.245.224,190.112.254.111,isp,CW 
190.112.254.112,190.112.254.119,business,CW 
190.112.254.120,190.112.254.199,isp,CW 
190.112.254.200,190.112.254.207,business,CW 
190.112.254.208,190.112.255.71,isp,CW 
190.112.255.72,190.112.255.87,business,CW 
190.112.255.88,190.112.255.255,isp,CW 
