190.239.0.0,190.239.49.255,business,PE,AS6147 
190.239.50.0,190.239.95.255,isp,PE,AS6147 
190.239.96.0,190.239.105.255,business,PE,AS6147 
190.239.106.0,190.239.127.255,isp,PE,AS6147 
190.239.128.0,190.239.162.255,business,PE,AS6147 
190.239.163.0,190.239.166.255,isp,PE,AS6147 
190.239.167.0,190.239.169.255,business,PE,AS6147 
190.239.170.0,190.239.172.255,isp,PE,AS6147 
190.239.173.0,190.239.173.255,business,PE,AS6147 
190.239.174.0,190.239.176.255,isp,PE,AS6147 
190.239.177.0,190.239.177.255,business,PE,AS6147 
190.239.178.0,190.239.178.255,isp,PE,AS6147 
190.239.179.0,190.239.179.255,business,PE,AS6147 
190.239.180.0,190.239.182.255,isp,PE,AS6147 
190.239.183.0,190.239.183.255,business,PE,AS6147 
190.239.184.0,190.239.184.255,isp,PE,AS6147 
190.239.185.0,190.239.185.255,business,PE,AS6147 
190.239.186.0,190.239.189.255,isp,PE,AS6147 
190.239.190.0,190.239.190.255,business,PE,AS6147 
190.239.191.0,190.239.192.255,isp,PE,AS6147 
190.239.193.0,190.239.200.255,business,PE,AS6147 
190.239.201.0,190.239.201.255,isp,PE,AS6147 
190.239.202.0,190.239.214.255,business,PE,AS6147 
190.239.215.0,190.239.215.255,isp,PE,AS6147 
190.239.216.0,190.239.217.255,business,PE,AS6147 
190.239.218.0,190.239.246.255,isp,PE,AS6147 
190.239.247.0,190.239.255.255,business,PE,AS6147 
