190.110.0.0,190.110.31.255,isp,MX 
190.110.32.0,190.110.39.255,isp,DO 
190.110.40.0,190.110.48.3,isp,EC 
190.110.48.4,190.110.48.7,business,EC 
190.110.48.8,190.110.63.255,isp,EC 
190.110.64.0,190.110.91.255,business,CO 
190.110.92.0,190.110.95.255,isp,PE 
190.110.96.0,190.110.99.255,isp,CL 
190.110.100.0,190.110.103.255,education,CL 
190.110.104.0,190.110.109.31,isp,CL 
190.110.109.32,190.110.109.39,business,CL 
190.110.109.40,190.110.109.87,isp,CL 
190.110.109.88,190.110.109.95,business,CL 
190.110.109.96,190.110.109.143,isp,CL 
190.110.109.144,190.110.109.151,business,CL 
190.110.109.152,190.110.111.255,isp,CL 
190.110.112.0,190.110.119.255,isp,AR 
190.110.120.0,190.110.120.63,business,CL 
190.110.120.64,190.110.120.159,hosting,CL 
190.110.120.160,190.110.120.175,business,CL 
190.110.120.176,190.110.120.191,hosting,CL 
190.110.120.192,190.110.120.207,business,CL 
190.110.120.208,190.110.120.255,hosting,CL 
190.110.121.0,190.110.121.15,education,CL 
190.110.121.16,190.110.121.31,hosting,CL 
190.110.121.32,190.110.121.47,isp,CL 
190.110.121.48,190.110.121.183,hosting,CL 
190.110.121.184,190.110.121.191,education,CL 
190.110.121.192,190.110.125.63,hosting,CL 
190.110.125.64,190.110.125.95,education,CL 
190.110.125.96,190.110.125.255,hosting,CL 
190.110.126.0,190.110.126.255,business,CL 
190.110.127.0,190.110.127.127,education,CL 
190.110.127.128,190.110.127.255,business,CL 
190.110.128.0,190.110.175.255,isp,CL 
190.110.176.0,190.110.183.255,isp,AR 
190.110.184.0,190.110.191.255,business,AR 
190.110.192.0,190.110.192.63,isp,EC 
190.110.192.64,190.110.192.71,business,EC 
190.110.192.72,190.110.192.95,isp,EC 
190.110.192.96,190.110.192.111,business,EC 
190.110.192.112,190.110.192.119,isp,EC 
190.110.192.120,190.110.192.127,education,EC 
190.110.192.128,190.110.192.199,isp,EC 
190.110.192.200,190.110.192.223,business,EC 
190.110.192.224,190.110.192.239,isp,EC 
190.110.192.240,190.110.192.247,business,EC 
190.110.192.248,190.110.192.255,isp,EC 
190.110.193.0,190.110.193.23,business,EC 
190.110.193.24,190.110.193.103,isp,EC 
190.110.193.104,190.110.193.111,business,EC 
190.110.193.112,190.110.193.119,isp,EC 
190.110.193.120,190.110.193.143,business,EC 
190.110.193.144,190.110.193.151,isp,EC 
190.110.193.152,190.110.193.183,business,EC 
190.110.193.184,190.110.193.199,isp,EC 
190.110.193.200,190.110.193.207,business,EC 
190.110.193.208,190.110.193.247,isp,EC 
190.110.193.248,190.110.194.31,business,EC 
190.110.194.32,190.110.194.95,isp,EC 
190.110.194.96,190.110.194.127,business,EC 
190.110.194.128,190.110.194.143,isp,EC 
190.110.194.144,190.110.194.151,business,EC 
190.110.194.152,190.110.194.159,isp,EC 
190.110.194.160,190.110.194.167,business,EC 
190.110.194.168,190.110.195.79,isp,EC 
190.110.195.80,190.110.195.87,business,EC 
190.110.195.88,190.110.195.95,isp,EC 
190.110.195.96,190.110.195.103,business,EC 
190.110.195.104,190.110.195.135,isp,EC 
190.110.195.136,190.110.195.143,business,EC 
190.110.195.144,190.110.196.7,isp,EC 
190.110.196.8,190.110.196.15,education,EC 
190.110.196.16,190.110.196.103,isp,EC 
190.110.196.104,190.110.196.111,business,EC 
190.110.196.112,190.110.196.143,isp,EC 
190.110.196.144,190.110.196.151,business,EC 
190.110.196.152,190.110.197.55,isp,EC 
190.110.197.56,190.110.197.79,business,EC 
190.110.197.80,190.110.197.87,isp,EC 
190.110.197.88,190.110.197.95,business,EC 
190.110.197.96,190.110.197.103,isp,EC 
190.110.197.104,190.110.197.119,business,EC 
190.110.197.120,190.110.197.127,isp,EC 
190.110.197.128,190.110.197.143,business,EC 
190.110.197.144,190.110.197.167,isp,EC 
190.110.197.168,190.110.197.175,business,EC 
190.110.197.176,190.110.197.183,isp,EC 
190.110.197.184,190.110.197.191,business,EC 
190.110.197.192,190.110.197.207,isp,EC 
190.110.197.208,190.110.197.231,business,EC 
190.110.197.232,190.110.198.55,isp,EC 
190.110.198.56,190.110.198.63,business,EC 
190.110.198.64,190.110.198.151,isp,EC 
190.110.198.152,190.110.198.159,business,EC 
190.110.198.160,190.110.201.15,isp,EC 
190.110.201.16,190.110.201.16,business,EC 
190.110.201.17,190.110.201.193,isp,EC 
190.110.201.194,190.110.201.197,business,EC 
190.110.201.198,190.110.201.198,isp,EC 
190.110.201.199,190.110.201.200,business,EC 
190.110.201.201,190.110.201.202,isp,EC 
190.110.201.203,190.110.201.207,business,EC 
