190.187.0.0,190.187.99.55,isp,PE 
190.187.99.56,190.187.99.63,business,PE 
190.187.99.64,190.187.133.71,isp,PE 
190.187.133.72,190.187.133.79,business,PE 
190.187.133.80,190.187.133.95,isp,PE 
190.187.133.96,190.187.133.103,business,PE 
190.187.133.104,190.187.133.215,isp,PE 
190.187.133.216,190.187.133.223,business,PE 
190.187.133.224,190.187.136.175,isp,PE 
190.187.136.176,190.187.136.183,business,PE 
190.187.136.184,190.187.136.255,isp,PE 
190.187.137.0,190.187.137.15,business,PE 
190.187.137.16,190.187.137.127,isp,PE 
190.187.137.128,190.187.137.143,business,PE 
190.187.137.144,190.187.138.71,isp,PE 
190.187.138.72,190.187.138.79,business,PE 
190.187.138.80,190.187.254.255,isp,PE 
190.187.255.0,190.187.255.255,isp,CO 
