190.102.0.0,190.102.31.255,isp,SX 
190.102.32.0,190.102.35.255,isp,MX 
190.102.36.0,190.102.39.255,hosting,MX 
190.102.40.0,190.102.43.255,hosting,BR 
190.102.44.0,190.102.55.255,isp,BR 
190.102.56.0,190.102.63.255,isp,PA 
190.102.64.0,190.102.95.255,isp,HT 
190.102.96.0,190.102.97.255,business,US 
190.102.98.0,190.102.99.255,hosting,US 
190.102.100.0,190.102.103.255,hosting,CA 
190.102.104.0,190.102.115.255,hosting,US 
190.102.116.0,190.102.119.255,business,US 
190.102.120.0,190.102.127.255,isp,CO 
190.102.128.0,190.102.128.255,business,PE 
190.102.129.0,190.102.129.239,hosting,PE 
190.102.129.240,190.102.129.255,business,PE 
190.102.130.0,190.102.130.31,education,PE 
190.102.130.32,190.102.130.95,hosting,PE 
190.102.130.96,190.102.130.127,education,PE 
190.102.130.128,190.102.130.159,hosting,PE 
190.102.130.160,190.102.130.175,isp,PE 
190.102.130.176,190.102.130.191,business,PE 
190.102.130.192,190.102.130.223,hosting,PE 
190.102.130.224,190.102.130.239,business,PE 
190.102.130.240,190.102.131.47,hosting,PE 
190.102.131.48,190.102.131.63,business,PE 
190.102.131.64,190.102.131.191,hosting,PE 
190.102.131.192,190.102.131.195,business,PE 
190.102.131.196,190.102.132.15,hosting,PE 
190.102.132.16,190.102.132.23,education,PE 
190.102.132.24,190.102.132.55,hosting,PE 
190.102.132.56,190.102.132.63,business,PE 
190.102.132.64,190.102.132.71,education,PE 
190.102.132.72,190.102.132.119,hosting,PE 
190.102.132.120,190.102.132.127,business,PE 
190.102.132.128,190.102.132.175,hosting,PE 
190.102.132.176,190.102.132.183,education,PE 
190.102.132.184,190.102.132.191,business,PE 
190.102.132.192,190.102.132.223,hosting,PE 
190.102.132.224,190.102.132.255,business,PE 
190.102.133.0,190.102.133.31,hosting,PE 
190.102.133.32,190.102.133.63,education,PE 
190.102.133.64,190.102.133.95,hosting,PE 
190.102.133.96,190.102.133.255,business,PE 
190.102.134.0,190.102.134.63,hosting,PE 
190.102.134.64,190.102.134.79,business,PE 
190.102.134.80,190.102.134.111,hosting,PE 
190.102.134.112,190.102.134.119,business,PE 
190.102.134.120,190.102.134.127,hosting,PE 
190.102.134.128,190.102.134.135,education,PE 
190.102.134.136,190.102.134.143,hosting,PE 
190.102.134.144,190.102.134.151,education,PE 
190.102.134.152,190.102.134.183,business,PE 
190.102.134.184,190.102.135.103,hosting,PE 
190.102.135.104,190.102.135.111,business,PE 
190.102.135.112,190.102.135.183,hosting,PE 
190.102.135.184,190.102.135.191,business,PE 
190.102.135.192,190.102.135.247,hosting,PE 
190.102.135.248,190.102.136.15,business,PE 
190.102.136.16,190.102.136.87,hosting,PE 
190.102.136.88,190.102.136.91,business,PE 
190.102.136.92,190.102.136.127,hosting,PE 
190.102.136.128,190.102.136.143,business,PE 
190.102.136.144,190.102.136.159,hosting,PE 
190.102.136.160,190.102.136.175,business,PE 
190.102.136.176,190.102.136.191,hosting,PE 
190.102.136.192,190.102.136.223,business,PE 
190.102.136.224,190.102.137.7,hosting,PE 
190.102.137.8,190.102.137.15,business,PE 
190.102.137.16,190.102.137.71,hosting,PE 
190.102.137.72,190.102.137.79,business,PE 
190.102.137.80,190.102.137.207,hosting,PE 
190.102.137.208,190.102.137.215,business,PE 
190.102.137.216,190.102.138.47,hosting,PE 
190.102.138.48,190.102.138.55,education,PE 
190.102.138.56,190.102.138.63,business,PE 
190.102.138.64,190.102.138.79,hosting,PE 
190.102.138.80,190.102.138.87,education,PE 
190.102.138.88,190.102.138.95,business,PE 
190.102.138.96,190.102.138.119,hosting,PE 
190.102.138.120,190.102.138.127,business,PE 
190.102.138.128,190.102.138.143,hosting,PE 
190.102.138.144,190.102.138.151,business,PE 
190.102.138.152,190.102.138.159,hosting,PE 
190.102.138.160,190.102.138.175,business,PE 
