190.182.0.0,190.182.69.215,isp,CO,AS8163 
190.182.69.216,190.182.69.223,business,CO,AS8163 
190.182.69.224,190.182.127.255,isp,CO,AS8163 
190.182.128.0,190.182.129.255,isp,AR,AS27983 
190.182.130.0,190.182.131.255,business,AR,AS27983 
190.182.132.0,190.182.144.255,isp,AR,AS27983 
190.182.145.0,190.182.147.255,business,AR,AS27983 
190.182.148.0,190.182.177.255,isp,AR,AS27983 
190.182.178.0,190.182.179.255,business,AR,AS27983 
190.182.180.0,190.182.183.255,isp,AR,AS27983 
190.182.184.0,190.182.185.255,business,AR,AS27983 
190.182.186.0,190.182.193.255,isp,AR,AS27983 
190.182.194.0,190.182.197.255,business,AR,AS27983 
190.182.198.0,190.182.209.255,isp,AR,AS27983 
190.182.210.0,190.182.211.255,business,AR,AS27983 
190.182.212.0,190.182.219.255,isp,AR,AS27983 
190.182.220.0,190.182.223.255,business,AR,AS27983 
190.182.224.0,190.182.235.255,isp,AR,AS27983 
190.182.236.0,190.182.239.255,business,AR,AS27983 
190.182.240.0,190.182.249.255,isp,AR,AS27983 
190.182.250.0,190.182.251.255,business,AR,AS265719 
190.182.252.0,190.182.255.255,isp,AR,AS267876 
