217.136.0.0,217.136.31.255,business,BE 
217.136.32.0,217.136.170.255,isp,BE 
217.136.171.0,217.136.171.255,business,BE 
217.136.172.0,217.136.179.255,isp,BE 
217.136.180.0,217.136.187.63,business,BE 
217.136.187.64,217.136.219.255,isp,BE 
217.136.220.0,217.136.233.255,business,BE 
217.136.234.0,217.136.237.255,isp,BE 
217.136.238.0,217.136.242.255,business,BE 
217.136.243.0,217.136.250.255,isp,BE 
217.136.251.0,217.136.255.243,business,BE 
217.136.255.244,217.136.255.255,isp,BE 
